bioguide,district,had_challenger,inc_name,inc_party,inc_ran,inc_won,runnerup_party,runnerup_votes,winner_party,winner_votes
M001153,AK,1,Murkowski,R,1,1,D,36200,R,138149
Y000033,AK-AL,1,"Young, Don",R,1,1,D,"111,019",R,"155,088"
S000320,AL,1,Shelby,R,1,1,D,"748,709",R,"1,335,104"
B001289,AL-01,0,"Byrne, Bradley",R,1,1,write in,"7,810",R,"208,083"
R000591,AL-02,1,"Roby, Martha",R,1,1,D,"112,089",R,"134,886"
R000575,AL-03,1,"Rogers, Mike",R,1,1,D,"94,549",R,"192,164"
A000055,AL-04,0,"Aderholt, Rob",R,1,1,write in,"3,519",R,"235,925"
B001274,AL-05,1,"Brooks, Mo",R,1,1,D,"102,234",R,"205,647"
P000609,AL-06,1,"Palmer, Gary",R,1,1,D,"83,709",R,"245,313"
S001185,AL-07,0,"Sewell, Terri",D,1,1,write in,"3,698",D,"229,330"
B001236,AR,1,Boozman,R,1,1,D,"400,602",R,"661,984"
C001087,AR-01,1,"Crawford, Rick",R,1,1,L,"57,181",R,"183,866"
H001072,AR-02,1,"Hill, French",R,1,1,D,"111,347",R,"176,472"
W000809,AR-03,1,"Womack, Steve",R,1,1,L,"63,715",R,"217,192"
W000821,AR-04,1,"Westerman, Bruce",R,1,1,L,"61,274",R,"182,885"
M000303,AZ,1,McCain,R,1,1,D,"1,031,245",R,"1,359,267"
O000171,AZ-01,0,"O'Halleran, Tom",D,0,0,R,"121,745",D,"142,219"
M001197,AZ-02,1,"McSally, Martha",R,1,1,D,"135,873",R,"179,806"
G000551,AZ-03,0,"Grijalva, Raul",D,1,1,write in,"2,062",D,"148,973"
G000565,AZ-04,1,"Gosar, Paul",R,1,1,D,"81,296",R,"203,487"
B001302,AZ-05,0,"Biggs, Andy",R,0,0,D,"114,940",R,"205,184"
S001183,AZ-06,1,"Schweikert, David",R,1,1,D,"122,866",R,"201,578"
G000574,AZ-07,1,"Gallego, Ruben",D,1,1,R,"39,286",D,"119,465"
F000448,AZ-08,1,"Franks, Trent",R,1,1,G,"93,954",R,"204,942"
S001191,AZ-09,1,"Sinema, Kyrsten",D,1,1,R,"108,350",D,"169,055"
B000711,CA,0,Boxer,D,0,0,D,"4,701,417",D,"7,542,753"
L000578,CA-01,1,"LaMalfa, Doug",R,1,1,D,"128,588",R,"185,448"
H001068,CA-02,1,"Huffman, Jared",D,1,1,R,"76,572",D,"254,194"
G000559,CA-03,1,"Garamendi, John",D,1,1,R,"104,453",D,"152,513"
M001177,CA-04,1,"McClintock, Tom",R,1,1,D,"130,845",R,"220,133"
T000460,CA-05,1,"Thompson, Mike",D,1,1,R,"67,565",D,"224,526"
M001163,CA-06,1,"Matsui, Doris",D,1,1,R,"57,848",D,"177,565"
B001287,CA-07,1,"Bera, Ami",D,1,1,R,"145,168",D,"152,133"
C001094,CA-08,1,"Cook, Paul",R,1,1,D,"83,035",R,"136,972"
M001166,CA-09,1,"McNerney, Jerry",D,1,1,R,"98,992",D,"133,163"
D000612,CA-10,1,"Denham, Jeff",R,1,1,D,"116,470",R,"124,671"
D000623,CA-11,1,"DeSaulnier, Mark",D,1,1,R,"83,341",D,"214,868"
P000197,CA-12,1,"Pelosi, Nancy",D,1,1,I,"64,810",D,"274,035"
L000551,CA-13,1,"Lee, Barbara",D,1,1,R,"29,754",D,"293,117"
S001175,CA-14,1,"Speier, Jackie",D,1,1,R,"54,817",D,"231,630"
S001193,CA-15,1,"Swalwell, Eric",D,1,1,R,"70,619",D,"198,578"
C001059,CA-16,1,"Costa, Jim",D,1,1,R,"70,483",D,"97,473"
K000389,CA-17,1,"Khanna, Ro",D,1,0,D,"90,924",D,"142,268"
E000215,CA-18,1,"Eshoo, Anna",D,1,1,R,"93,470",D,"230,460"
L000397,CA-19,1,"Lofgren, Zoe",D,1,1,R,"64,061",D,"181,802"
P000613,CA-20,0,"Panetta, Jimmy",D,0,0,R,"74,811",D,"180,980"
V000129,CA-21,1,"Valadao, David",R,1,1,D,"57,282",R,"75,126"
N000181,CA-22,1,"Nunes, Devin",R,1,1,D,"76,211",R,"158,755"
M001165,CA-23,1,"McCarthy, Kevin",R,1,1,D,"74,468",R,"167,116"
C001112,CA-24,0,"Carbajal, Salud",D,0,0,D,"144,780",D,"166,034"
K000387,CA-25,1,"Knight, Steve",R,1,1,D,"122,406",R,"138,755"
B001285,CA-26,1,"Brownley, Julia",D,1,1,R,"111,059",D,"169,248"
C001080,CA-27,1,"Chu, Judy",D,1,1,R,"81,655",D,"168,977"
S001150,CA-28,1,"Schiff, Adam",D,1,1,R,"59,526",D,"210,883"
C001097,CA-29,1,"Cardenas, Tony",D,1,1,D,"43,417",D,"128,407"
S000344,CA-30,1,"Sherman, Brad",D,1,1,R,"77,325",D,"205,279"
A000371,CA-31,1,"Aguilar, Pete",D,1,1,R,"94,866",D,"121,070"
N000179,CA-32,1,"Napolitano, Grace",D,1,1,D,"71,720",D,"114,926"
L000582,CA-33,1,"Lieu, Ted",D,1,1,R,"110,822",D,"219,397"
B000287,CA-34,1,"Becerra, Xavier",D,1,1,D,"36,314",D,"122,842"
T000474,CA-35,1,"Torres, Norma",D,1,1,R,"47,309",D,"124,044"
R000599,CA-36,1,"Ruiz, Raul",D,1,1,R,"88,269",D,"144,348"
B001270,CA-37,1,"Bass, Karen",D,1,1,D,"44,782",D,"192,490"
S000030,CA-38,1,"Sanchez, Linda",D,1,1,R,"68,524",D,"163,590"
R000487,CA-39,1,"Royce, Ed",R,1,1,D,"112,679",R,"150,777"
R000486,CA-40,1,"Roybal-Allard, Lucille",D,1,1,I,"24,743",D,"106,554"
T000472,CA-41,1,"Takano, Mark",D,1,1,R,"69,159",D,"128,164"
C000059,CA-42,1,"Calvert, Ken",R,1,1,D,"104,689",R,"149,547"
W000187,CA-43,1,"Waters, Maxine",D,1,1,R,"52,499",D,"167,017"
B001300,CA-44,1,"Barragan, Nanette",D,1,1,D,"85,289",D,"93,124"
W000820,CA-45,1,"Walters, Mimi",R,1,1,D,"129,231",R,"182,618"
C001110,CA-46,0,"Correa, Lou",D,0,0,D,"49,345",D,"115,248"
L000579,CA-47,1,"Lowenthal, Alan",D,1,1,R,"88,109",D,"154,759"
R000409,CA-48,1,"Rohrabacher, Dana",R,1,1,D,"127,715",R,"178,701"
I000056,CA-49,1,"Issa, Darrell",R,1,1,R,"154,267",R,"155,888"
H000981,CA-50,1,"Hunter, Duncan",R,1,1,D,"103,646",R,"179,937"
V000130,CA-51,1,"Vargas, Juan",D,1,1,R,"54,362",D,"145,162"
P000608,CA-52,1,"Peters, Scott",D,1,1,R,"139,403",D,"181,253"
D000598,CA-53,1,"Davis, Susan",D,1,1,R,"97,968",D,"198,988"
B001267,CO,1,Bennet,D,1,1,R,"1,215,318",D,"1,370,710"
D000197,CO-01,1,"DeGette, Diana",D,1,1,R,"105,030",D,"257,254"
P000598,CO-02,1,"Polis, Jared",D,1,1,R,"170,001",D,"260,175"
T000470,CO-03,1,"Tipton, Scott",R,1,1,D,"150,914",R,"204,220"
B001297,CO-04,1,"Buck, Ken",R,1,1,D,"123,642",R,"248,230"
L000564,CO-05,1,"Lamborn, Doug",R,1,1,D,"111,676",R,"225,445"
C001077,CO-06,1,"Coffman, Mike",R,1,1,D,"160,372",R,"191,626"
P000593,CO-07,1,"Perlmutter, Ed",D,1,1,R,"144,066",D,"199,758"
B001277,CT,1,Blumenthal,D,1,1,R,"552,621",D,"1,008,714"
L000557,CT-01,1,"Larson, John",D,1,1,R,"105,674",D,"200,686"
C001069,CT-02,1,"Courtney, Joe",D,1,1,R,"111,149",D,"208,818"
D000216,CT-03,1,"DeLauro, Rosa",D,1,1,R,"95,786",D,"213,572"
H001047,CT-04,1,"Himes, Jim",D,1,1,R,"125,724",D,"187,811"
E000293,CT-05,1,"Esty, Elizabeth",D,1,1,R,"129,801",D,"179,252"
B001303,DE-AL,1,"Blunt Rochester, Lisa",D,1,1,R,"172,301",D,"233,554"
R000595,FL,1,Rubio,R,1,1,D,"4,122,088",R,"4,835,191"
G000578,FL-01,0,"Gaetz, Matt",R,0,0,R,"114,079",D,"255,107"
D000628,FL-02,0,"Dunn, Neal",D,0,0,D,"102,801",R,"231,163"
Y000065,FL-03,1,"Yoho, Ted",R,1,1,D,"136,338",R,"193,843"
R000609,FL-04,1,"Rutherford, John",R,1,1,D,"113,088",R,"287,509"
L000586,FL-05,1,"Lawson, Al",D,1,1,R,"108,325",D,"194,549"
