Member,Name,PartyState,bioguide,LastName,FirstName,Party,State,State_Abbrev
"Chiles, Lawton (Democratic - Florida)","Chiles, Lawton",Democratic - Florida,C000356,Chiles, Lawton,Democratic,Florida,FL
"Chisholm, Shirley (Democratic - New York)","Chisholm, Shirley",Democratic - New York,C000371,Chisholm, Shirley,Democratic,New York,NY
"Chocola, Chris (Republican - Indiana)","Chocola, Chris",Republican - Indiana,C001052,Chocola, Chris,Republican,Indiana,IN
"Christensen, Donna M. (Democratic - Virgin Islands)","Christensen, Donna M.",Democratic - Virgin Islands,C000380,Christensen, Donna M.,Democratic,Virgin Islands,
"Christensen, Jon (Republican - Nebraska)","Christensen, Jon",Republican - Nebraska,C000377,Christensen, Jon,Republican,Nebraska,NE
"Chrysler, Dick (Republican - Michigan)","Chrysler, Dick",Republican - Michigan,C000385,Chrysler, Dick,Republican,Michigan,MI
"Chu, Judy (Democratic - California)","Chu, Judy",Democratic - California,C001080,Chu, Judy,Democratic,California,CA
"Church, Frank (Democratic - Idaho)","Church, Frank",Democratic - Idaho,C000388,Church, Frank,Democratic,Idaho,ID
"Cicilline, David N. (Democratic - Rhode Island)","Cicilline, David N.",Democratic - Rhode Island,C001084,Cicilline, David N.,Democratic,Rhode Island,RI
"Clancy, Donald D. (Republican - Ohio)","Clancy, Donald D.",Republican - Ohio,C000409,Clancy, Donald D.,Republican,Ohio,OH
"Clark, Dick (Democratic - Iowa)","Clark, Dick",Democratic - Iowa,C000448,Clark, Dick,Democratic,Iowa,IA
"Clark, Frank M. (Democratic - Pennsylvania)","Clark, Frank M.",Democratic - Pennsylvania,C000431,Clark, Frank M.,Democratic,Pennsylvania,PA
"Clark, Katherine M. (Democratic - Massachusetts)","Clark, Katherine M.",Democratic - Massachusetts,C001101,Clark, Katherine M.,Democratic,Massachusetts,MA
"Clarke, Hansen (Democratic - Michigan)","Clarke, Hansen",Democratic - Michigan,C001085,Clarke, Hansen,Democratic,Michigan,MI
"Clarke, James McC. (Democratic - North Carolina)","Clarke, James McC.",Democratic - North Carolina,C000462,Clarke, James McC.,Democratic,North Carolina,NC
"Clarke, Yvette D. (Democratic - New York)","Clarke, Yvette D.",Democratic - New York,C001067,Clarke, Yvette D.,Democratic,New York,NY
"Clausen, Don H. (Republican - California)","Clausen, Don H.",Republican - California,C000475,Clausen, Don H.,Republican,California,CA
"Clawson, Curt (Republican - Florida)","Clawson, Curt",Republican - Florida,C001102,Clawson, Curt,Republican,Florida,FL
"Clawson, Del (Republican - California)","Clawson, Del",Republican - California,C000476,Clawson, Del,Republican,California,CA
"Clay, William (Bill) (Democratic - Missouri)",#REF!,,C000488,#REF!,,,,
"Clay, Wm. Lacy (Democratic - Missouri)","Clay, Wm. Lacy",Democratic - Missouri,C001049,Clay, Wm. Lacy,Democratic,Missouri,MO
"Clayton, Eva M. (Democratic - North Carolina)","Clayton, Eva M.",Democratic - North Carolina,C000494,Clayton, Eva M.,Democratic,North Carolina,NC
"Cleaver, Emanuel (Democratic - Missouri)","Cleaver, Emanuel",Democratic - Missouri,C001061,Cleaver, Emanuel,Democratic,Missouri,MO
"Cleland, Max (Democratic - Georgia)","Cleland, Max",Democratic - Georgia,C001034,Cleland, Max,Democratic,Georgia,GA
"Clement, Bob (Democratic - Tennessee)","Clement, Bob",Democratic - Tennessee,C000503,Clement, Bob,Democratic,Tennessee,TN
"Cleveland, James C. (Republican - New Hampshire)","Cleveland, James C.",Republican - New Hampshire,C000512,Cleveland, James C.,Republican,New Hampshire,NH
"Clinger, William F., Jr. (Republican - Pennsylvania)","Clinger, William F., Jr.",Republican - Pennsylvania,C000523,Clinger," William F., Jr.",Republican,Pennsylvania,PA
"Clinton, Hillary Rodham (Democratic - New York)","Clinton, Hillary Rodham",Democratic - New York,C001041,Clinton, Hillary Rodham,Democratic,New York,NY
"Clyburn, James E. (Democratic - South Carolina)","Clyburn, James E.",Democratic - South Carolina,C000537,Clyburn, James E.,Democratic,South Carolina,SC
"Coats, Daniel (Republican - Indiana)","Coats, Daniel",Republican - Indiana,C000542,Coats, Daniel,Republican,Indiana,IN
"Cobey, William W. (Republican - North Carolina)","Cobey, William W.",Republican - North Carolina,C000555,Cobey, William W.,Republican,North Carolina,NC
"Coble, Howard (Republican - North Carolina)","Coble, Howard",Republican - North Carolina,C000556,Coble, Howard,Republican,North Carolina,NC
"Coburn, Tom (Republican - Oklahoma)","Coburn, Tom",Republican - Oklahoma,C000560,Coburn, Tom,Republican,Oklahoma,OK
"Cochran, Thad (Republican - Mississippi)","Cochran, Thad",Republican - Mississippi,C000567,Cochran, Thad,Republican,Mississippi,MS
"Coelho, Anthony Lee (Democratic - California)","Coelho, Anthony Lee",Democratic - California,C000581,Coelho, Anthony Lee,Democratic,California,CA
"Coffman, Mike (Republican - Colorado)","Coffman, Mike",Republican - Colorado,C001077,Coffman, Mike,Republican,Colorado,CO
"Cohen, Steve (Democratic - Tennessee)","Cohen, Steve",Democratic - Tennessee,C001068,Cohen, Steve,Democratic,Tennessee,TN
"Cohen, William S. (Republican - Maine)","Cohen, William S.",Republican - Maine,C000598,Cohen, William S.,Republican,Maine,ME
"Cole, Tom (Republican - Oklahoma)","Cole, Tom",Republican - Oklahoma,C001053,Cole, Tom,Republican,Oklahoma,OK
"Coleman, E. Thomas (Republican - Missouri)","Coleman, E. Thomas",Republican - Missouri,C000618,Coleman, E. Thomas,Republican,Missouri,MO
"Coleman, Norm (Republican - Minnesota)","Coleman, Norm",Republican - Minnesota,C001057,Coleman, Norm,Republican,Minnesota,MN
"Coleman, Ronald D. (Democratic - Texas)","Coleman, Ronald D.",Democratic - Texas,C000621,Coleman, Ronald D.,Democratic,Texas,TX
"Collier, Harold R. (Republican - Illinois)","Collier, Harold R.",Republican - Illinois,C000629,Collier, Harold R.,Republican,Illinois,IL
"Collins, Barbara-Rose (Democratic - Michigan)","Collins, Barbara-Rose",Democratic - Michigan,C000633,Collins, Barbara-Rose,Democratic,Michigan,MI
"Collins, Cardiss (Democratic - Illinois)","Collins, Cardiss",Democratic - Illinois,C000634,Collins, Cardiss,Democratic,Illinois,IL
"Collins, Chris (Republican - New York)","Collins, Chris",Republican - New York,C001092,Collins, Chris,Republican,New York,NY
"Collins, Doug (Republican - Georgia)","Collins, Doug",Republican - Georgia,C001093,Collins, Doug,Republican,Georgia,GA
"Collins, James M. (Republican - Texas)","Collins, James M.",Republican - Texas,C000638,Collins, James M.,Republican,Texas,TX
"Collins, Mac (Republican - Georgia)","Collins, Mac",Republican - Georgia,C000640,Collins, Mac,Republican,Georgia,GA
"Collins, Susan M. (Republican - Maine)","Collins, Susan M.",Republican - Maine,C001035,Collins, Susan M.,Republican,Maine,ME
"Colordao, Antonio (Democratic - Puerto Rico)","Colordao, Antonio",Democratic - Puerto Rico,C000646,Colordao, Antonio,Democratic,Puerto Rico,
"Combest, Larry (Republican - Texas)","Combest, Larry",Republican - Texas,C000653,Combest, Larry,Republican,Texas,TX
"Comer, James (Republican - Kentucky)","Comer, James",Republican - Kentucky,C001108,Comer, James,Republican,Kentucky,KY
"Comstock, Barbara (Republican - Virginia)","Comstock, Barbara",Republican - Virginia,C001105,Comstock, Barbara,Republican,Virginia,VA
"Conable, Barber B., Jr. (Republican - New York)","Conable, Barber B., Jr.",Republican - New York,C000666,Conable," Barber B., Jr.",Republican,New York,NY
"Conaway, K. Michael (Republican - Texas)","Conaway, K. Michael",Republican - Texas,C001062,Conaway, K. Michael,Republican,Texas,TX
"Condit, Gary A. (Democratic - California)","Condit, Gary A.",Democratic - California,C000670,Condit, Gary A.,Democratic,California,CA
"Conlan, John B. (Republican - Arizona)","Conlan, John B.",Republican - Arizona,C000682,Conlan, John B.,Republican,Arizona,AZ
"Connolly, Gerald E. (Democratic - Virginia)","Connolly, Gerald E.",Democratic - Virginia,C001078,Connolly, Gerald E.,Democratic,Virginia,VA
"Conrad, Kent (Democratic - North Dakota)","Conrad, Kent",Democratic - North Dakota,C000705,Conrad, Kent,Democratic,North Dakota,ND
"Conte, Silvio O. (Republican - Massachusetts)","Conte, Silvio O.",Republican - Massachusetts,C000709,Conte, Silvio O.,Republican,Massachusetts,MA
"Conyers, John, Jr. (Democratic - Michigan)","Conyers, John, Jr.",Democratic - Michigan,C000714,Conyers," John, Jr.",Democratic,Michigan,MI
"Cook, Marlow W. (Republican - Kentucky)","Cook, Marlow W.",Republican - Kentucky,C000721,Cook, Marlow W.,Republican,Kentucky,KY
"Cook, Merrill (Republican - Utah)","Cook, Merrill",Republican - Utah,C000722,Cook, Merrill,Republican,Utah,UT
"Cook, Paul (Republican - California)","Cook, Paul",Republican - California,C001094,Cook, Paul,Republican,California,CA
"Cooksey, John (Republican - Louisiana)","Cooksey, John",Republican - Louisiana,C000735,Cooksey, John,Republican,Louisiana,LA
"Cooley, Wes (Republican - Oregon)","Cooley, Wes",Republican - Oregon,C000737,Cooley, Wes,Republican,Oregon,OR
"Coons, Christopher A. (Democratic - Delaware)","Coons, Christopher A.",Democratic - Delaware,C001088,Coons, Christopher A.,Democratic,Delaware,DE
"Cooper, Jim (Democratic - Tennessee)","Cooper, Jim",Democratic - Tennessee,C000754,Cooper, Jim,Democratic,Tennessee,TN
"Coppersmith, Sam (Democratic - Arizona)","Coppersmith, Sam",Democratic - Arizona,C000767,Coppersmith, Sam,Democratic,Arizona,AZ
"Corcoran, Tom (Republican - Illinois)","Corcoran, Tom",Republican - Illinois,C000773,Corcoran, Tom,Republican,Illinois,IL
"Corker, Bob (Republican - Tennessee)","Corker, Bob",Republican - Tennessee,C001071,Corker, Bob,Republican,Tennessee,TN
"Corman, James C. (Democratic - California)","Corman, James C.",Democratic - California,C000780,Corman, James C.,Democratic,California,CA
"Cornell, Robert J. (Democratic - Wisconsin)","Cornell, Robert J.",Democratic - Wisconsin,C000782,Cornell, Robert J.,Democratic,Wisconsin,WI
"Cornwell, David L. (Democratic - Indiana)","Cornwell, David L.",Democratic - Indiana,C000787,Cornwell, David L.,Democratic,Indiana,IN
"Cornyn, John (Republican - Texas)","Cornyn, John",Republican - Texas,C001056,Cornyn, John,Republican,Texas,TX
"Corrada, Baltasar (Independent - Puerto Rico)","Corrada, Baltasar",Independent - Puerto Rico,C000788,Corrada, Baltasar,Independent,Puerto Rico,
"Correa, J. Luis (Democratic - California)","Correa, J. Luis",Democratic - California,C001110,Correa, J. Luis,Democratic,California,CA
"Cortez Masto, Catherine (Democratic - Nevada)","Cortez Masto, Catherine",Democratic - Nevada,C001113,Cortez Masto, Catherine,Democratic,Nevada,NV
"Corzine, Jon S. (Democratic - New Jersey)","Corzine, Jon S.",Democratic - New Jersey,C001042,Corzine, Jon S.,Democratic,New Jersey,NJ
"Costa, Jim (Democratic - California)","Costa, Jim",Democratic - California,C001059,Costa, Jim,Democratic,California,CA
"Costello, Jerry F. (Democratic - Illinois)","Costello, Jerry F.",Democratic - Illinois,C000794,Costello, Jerry F.,Democratic,Illinois,IL
"Costello, Ryan A. (Republican - Pennsylvania)","Costello, Ryan A.",Republican - Pennsylvania,C001106,Costello, Ryan A.,Republican,Pennsylvania,PA
"Cotter, William R. (Democratic - Connecticut)","Cotter, William R.",Democratic - Connecticut,C000799,Cotter, William R.,Democratic,Connecticut,CT
"Cotton, Norris (Republican - New Hampshire)","Cotton, Norris",Republican - New Hampshire,C000802,Cotton, Norris,Republican,New Hampshire,NH
"Cotton, Tom (Republican - Arkansas)","Cotton, Tom",Republican - Arkansas,C001095,Cotton, Tom,Republican,Arkansas,AR
"Coughlin, Lawrence (Republican - Pennsylvania)","Coughlin, Lawrence",Republican - Pennsylvania,C000807,Coughlin, Lawrence,Republican,Pennsylvania,PA
"Courter, Jim (Republican - New Jersey)","Courter, Jim",Republican - New Jersey,C000809,Courter, Jim,Republican,New Jersey,NJ
"Courtney, Joe (Democratic - Connecticut)","Courtney, Joe",Democratic - Connecticut,C001069,Courtney, Joe,Democratic,Connecticut,CT
"Coverdell, Paul (Republican - Georgia)","Coverdell, Paul",Republican - Georgia,C000813,Coverdell, Paul,Republican,Georgia,GA
"Cowan, William M. (Democratic - Massachusetts)","Cowan, William M.",Democratic - Massachusetts,C001099,Cowan, William M.,Democratic,Massachusetts,MA
"Cox, Christopher (Republican - California)","Cox, Christopher",Republican - California,C000830,Cox, Christopher,Republican,California,CA
"Cox, John W., Jr. (Democratic - Illinois)","Cox, John W., Jr.",Democratic - Illinois,C000836,Cox," John W., Jr.",Democratic,Illinois,IL
"Coyne, James K. (Republican - Pennsylvania)","Coyne, James K.",Republican - Pennsylvania,C000845,Coyne, James K.,Republican,Pennsylvania,PA
"Coyne, William J. (Democratic - Pennsylvania)","Coyne, William J.",Democratic - Pennsylvania,C000846,Coyne, William J.,Democratic,Pennsylvania,PA
"Craig, Larry E. (Republican - Idaho)","Craig, Larry E.",Republican - Idaho,C000858,Craig, Larry E.,Republican,Idaho,ID
"Cramer, Kevin (Republican - North Dakota)","Cramer, Kevin",Republican - North Dakota,C001096,Cramer, Kevin,Republican,North Dakota,ND
"Cramer, Robert E. (Bud), Jr. (Democratic - Alabama)",#REF!,,C000868,#REF!,,,,
"Crane, Daniel B. (Republican - Illinois)","Crane, Daniel B.",Republican - Illinois,C000871,Crane, Daniel B.,Republican,Illinois,IL
"Crane, Philip M. (Republican - Illinois)","Crane, Philip M.",Republican - Illinois,C000873,Crane, Philip M.,Republican,Illinois,IL
"Cranston, Alan (Democratic - California)","Cranston, Alan",Democratic - California,C000877,Cranston, Alan,Democratic,California,CA
"Crapo, Mike (Republican - Idaho)","Crapo, Mike",Republican - Idaho,C000880,Crapo, Mike,Republican,Idaho,ID
"Cravaack, Chip (Republican - Minnesota)","Cravaack, Chip",Republican - Minnesota,C001086,Cravaack, Chip,Republican,Minnesota,MN
"Crawford, Eric A. ""Rick"" (Republican - Arkansas)","Crawford, Eric A. ""Rick""",Republican - Arkansas,C001087,Crawford," Eric A. ""Rick""",Republican,Arkansas,AR
"Cremeans, Frank A. (Republican - Ohio)","Cremeans, Frank A.",Republican - Ohio,C000903,Cremeans, Frank A.,Republican,Ohio,OH
"Crenshaw, Ander (Republican - Florida)","Crenshaw, Ander",Republican - Florida,C001045,Crenshaw, Ander,Republican,Florida,FL
"Crist, Charlie (Democratic - Florida)","Crist, Charlie",Democratic - Florida,C001111,Crist, Charlie,Democratic,Florida,FL
"Critz, Mark S. (Democratic - Pennsylvania)","Critz, Mark S.",Democratic - Pennsylvania,C001081,Critz, Mark S.,Democratic,Pennsylvania,PA
"Crockett, George W., Jr. (Democratic - Michigan)","Crockett, George W., Jr.",Democratic - Michigan,C000919,Crockett," George W., Jr.",Democratic,Michigan,MI
"Cronin, Paul W. (Republican - Massachusetts)","Cronin, Paul W.",Republican - Massachusetts,C000925,Cronin, Paul W.,Republican,Massachusetts,MA
"Crowley, Joseph (Democratic - New York)","Crowley, Joseph",Democratic - New York,C001038,Crowley, Joseph,Democratic,New York,NY
"Cruz, Ted (Republican - Texas)","Cruz, Ted",Republican - Texas,C001098,Cruz, Ted,Republican,Texas,TX
"Cubin, Barbara (Republican - Wyoming)","Cubin, Barbara",Republican - Wyoming,C000962,Cubin, Barbara,Republican,Wyoming,WY
"Cuellar, Henry (Democratic - Texas)","Cuellar, Henry",Democratic - Texas,C001063,Cuellar, Henry,Democratic,Texas,TX
"Culberson, John Abney (Republican - Texas)","Culberson, John Abney",Republican - Texas,C001048,Culberson, John Abney,Republican,Texas,TX
"Culver, John C. (Democratic - Iowa)","Culver, John C.",Democratic - Iowa,C000979,Culver, John C.,Democratic,Iowa,IA
"Cummings, Elijah E. (Democratic - Maryland)","Cummings, Elijah E.",Democratic - Maryland,C000984,Cummings, Elijah E.,Democratic,Maryland,MD
"Cunningham, John E. (Jack) (Republican - Washington)",#REF!,,C000992,#REF!,,,,
"Cunningham, Randy (Duke) (Republican - California)",#REF!,,C000994,#REF!,,,,
"Curbelo, Carlos (Republican - Florida)","Curbelo, Carlos",Republican - Florida,C001107,Curbelo, Carlos,Republican,Florida,FL
"Curson, David Alan (Democratic - Michigan)","Curson, David Alan",Democratic - Michigan,C001089,Curson, David Alan,Democratic,Michigan,MI
"Curtis, Carl T. (Republican - Nebraska)","Curtis, Carl T.",Republican - Nebraska,C001006,Curtis, Carl T.,Republican,Nebraska,NE
"D'Amato, Alfonse (Republican - New York)","D'Amato, Alfonse",Republican - New York,D000018,D'Amato, Alfonse,Republican,New York,NY
"D'Amours, Norman E. (Democratic - New Hampshire)","D'Amours, Norman E.",Democratic - New Hampshire,D000017,D'Amours, Norman E.,Democratic,New Hampshire,NH
"Dahlkemper, Kathleen A. (Democratic - Pennsylvania)","Dahlkemper, Kathleen A.",Democratic - Pennsylvania,D000608,Dahlkemper, Kathleen A.,Democratic,Pennsylvania,PA
"Daines, Steve (Republican - Montana)","Daines, Steve",Republican - Montana,D000618,Daines, Steve,Republican,Montana,MT
"Danforth, John C. (Republican - Missouri)","Danforth, John C.",Republican - Missouri,D000030,Danforth, John C.,Republican,Missouri,MO
"Daniel, Robert W., Jr. (Republican - Virginia)","Daniel, Robert W., Jr.",Republican - Virginia,D000037,Daniel," Robert W., Jr.",Republican,Virginia,VA
"Daniel, W. C. (Dan) (Democratic - Virginia)",#REF!,,D000038,#REF!,,,,
"Daniels, Dominick V. (Democratic - New Jersey)","Daniels, Dominick V.",Democratic - New Jersey,D000041,Daniels, Dominick V.,Democratic,New Jersey,NJ
"Danielson, George E. (Democratic - California)","Danielson, George E.",Democratic - California,D000043,Danielson, George E.,Democratic,California,CA
"Dannemeyer, William E. (Republican - California)","Dannemeyer, William E.",Republican - California,D000044,Dannemeyer, William E.,Republican,California,CA
"Danner, Pat (Democratic - Missouri)","Danner, Pat",Democratic - Missouri,D000046,Danner, Pat,Democratic,Missouri,MO
"Darden, George (Buddy) (Democratic - Georgia)",#REF!,,D000051,#REF!,,,,
"Daschle, Thomas A. (Democratic - South Dakota)","Daschle, Thomas A.",Democratic - South Dakota,D000064,Daschle, Thomas A.,Democratic,South Dakota,SD
"Daub, Hal (Republican - Nebraska)","Daub, Hal",Republican - Nebraska,D000065,Daub, Hal,Republican,Nebraska,NE
"Davidson, Warren (Republican - Ohio)","Davidson, Warren",Republican - Ohio,D000626,Davidson, Warren,Republican,Ohio,OH
"Davis, Artur (Democratic - Alabama)","Davis, Artur",Democratic - Alabama,D000602,Davis, Artur,Democratic,Alabama,AL
"Davis, Danny K. (Democratic - Illinois)","Davis, Danny K.",Democratic - Illinois,D000096,Davis, Danny K.,Democratic,Illinois,IL
"Davis, David (Republican - Tennessee)","Davis, David",Republican - Tennessee,D000606,Davis, David,Republican,Tennessee,TN
"Davis, Geoff (Republican - Kentucky)","Davis, Geoff",Republican - Kentucky,D000603,Davis, Geoff,Republican,Kentucky,KY
"Davis, Glenn R. (Republican - Wisconsin)","Davis, Glenn R.",Republican - Wisconsin,D000102,Davis, Glenn R.,Republican,Wisconsin,WI
"Davis, Jack (Republican - Illinois)","Davis, Jack",Republican - Illinois,D000106,Davis, Jack,Republican,Illinois,IL
"Davis, Jim (Democratic - Florida)","Davis, Jim",Democratic - Florida,D000114,Davis, Jim,Democratic,Florida,FL
"Davis, Jo Ann (Republican - Virginia)","Davis, Jo Ann",Republican - Virginia,D000597,Davis, Jo Ann,Republican,Virginia,VA
"Davis, John W. (Democratic - Georgia)","Davis, John W.",Democratic - Georgia,D000122,Davis, John W.,Democratic,Georgia,GA
"Davis, Lincoln (Democratic - Tennessee)","Davis, Lincoln",Democratic - Tennessee,D000599,Davis, Lincoln,Democratic,Tennessee,TN
"Davis, Mendel J. (Democratic - South Carolina)","Davis, Mendel J.",Democratic - South Carolina,D000125,Davis, Mendel J.,Democratic,South Carolina,SC
"Davis, Robert W. (Republican - Michigan)","Davis, Robert W.",Republican - Michigan,D000131,Davis, Robert W.,Republican,Michigan,MI
"Davis, Rodney (Republican - Illinois)","Davis, Rodney",Republican - Illinois,D000619,Davis, Rodney,Republican,Illinois,IL
"Davis, Susan A. (Democratic - California)","Davis, Susan A.",Democratic - California,D000598,Davis, Susan A.,Democratic,California,CA
"Davis, Tom (Republican - Virginia)","Davis, Tom",Republican - Virginia,D000136,Davis, Tom,Republican,Virginia,VA
"Dayton, Mark (Democratic - Minnesota)","Dayton, Mark",Democratic - Minnesota,D000596,Dayton, Mark,Democratic,Minnesota,MN
"de la Garza, E. (Democratic - Texas)","de la Garza, E.",Democratic - Texas,D000203,de la Garza, E.,Democratic,Texas,TX
"de Lugo, Ron (Democratic - Virgin Islands)","de Lugo, Ron",Democratic - Virgin Islands,D000209,de Lugo, Ron,Democratic,Virgin Islands,
"Deal, Nathan (Democratic - Georgia)","Deal, Nathan",Democratic - Georgia,D000168,Deal, Nathan,Democratic,Georgia,GA
"Deckard, Joel (Republican - Indiana)","Deckard, Joel",Republican - Indiana,D000183,Deckard, Joel,Republican,Indiana,IN
"DeConcini, Dennis (Democratic - Arizona)","DeConcini, Dennis",Democratic - Arizona,D000185,DeConcini, Dennis,Democratic,Arizona,AZ
"DeFazio, Peter A. (Democratic - Oregon)","DeFazio, Peter A.",Democratic - Oregon,D000191,DeFazio, Peter A.,Democratic,Oregon,OR
"DeGette, Diana (Democratic - Colorado)","DeGette, Diana",Democratic - Colorado,D000197,DeGette, Diana,Democratic,Colorado,CO
"Delahunt, Bill (Democratic - Massachusetts)","Delahunt, Bill",Democratic - Massachusetts,D000210,Delahunt, Bill,Democratic,Massachusetts,MA
"Delaney, James J. (Democratic - New York)","Delaney, James J.",Democratic - New York,D000211,Delaney, James J.,Democratic,New York,NY
"Delaney, John K. (Democratic - Maryland)","Delaney, John K.",Democratic - Maryland,D000620,Delaney, John K.,Democratic,Maryland,MD
"DeLauro, Rosa L. (Democratic - Connecticut)","DeLauro, Rosa L.",Democratic - Connecticut,D000216,DeLauro, Rosa L.,Democratic,Connecticut,CT
"DeLay, Tom (Republican - Texas)","DeLay, Tom",Republican - Texas,D000217,DeLay, Tom,Republican,Texas,TX
"DelBene, Suzan K. (Democratic - Washington)","DelBene, Suzan K.",Democratic - Washington,D000617,DelBene, Suzan K.,Democratic,Washington,WA
"Dellenback, John (Republican - Oregon)","Dellenback, John",Republican - Oregon,D000220,Dellenback, John,Republican,Oregon,OR
"Dellums, Ronald V. (Democratic - California)","Dellums, Ronald V.",Democratic - California,D000222,Dellums, Ronald V.,Democratic,California,CA
"Demings, Val Butler (Democratic - Florida)","Demings, Val Butler",Democratic - Florida,D000627,Demings, Val Butler,Democratic,Florida,FL
"DeMint, Jim (Republican - South Carolina)","DeMint, Jim",Republican - South Carolina,D000595,DeMint, Jim,Republican,South Carolina,SC
"DeNardis, Lawrence J. (Republican - Connecticut)","DeNardis, Lawrence J.",Republican - Connecticut,D000231,DeNardis, Lawrence J.,Republican,Connecticut,CT
"Denham, Jeff (Republican - California)","Denham, Jeff",Republican - California,D000612,Denham, Jeff,Republican,California,CA
"Denholm, Frank E. (Democratic - South Dakota)","Denholm, Frank E.",Democratic - South Dakota,D000234,Denholm, Frank E.,Democratic,South Dakota,SD
"Dennis, David W. (Republican - Indiana)","Dennis, David W.",Republican - Indiana,D000241,Dennis, David W.,Republican,Indiana,IN
"Dent, Charles W. (Republican - Pennsylvania)","Dent, Charles W.",Republican - Pennsylvania,D000604,Dent, Charles W.,Republican,Pennsylvania,PA
"Dent, John H. (Democratic - Pennsylvania)","Dent, John H.",Democratic - Pennsylvania,D000255,Dent, John H.,Democratic,Pennsylvania,PA
"Denton, Jeremiah (Republican - Alabama)","Denton, Jeremiah",Republican - Alabama,D000259,Denton, Jeremiah,Republican,Alabama,AL
"Derrick, Butler C. (Democratic - South Carolina)","Derrick, Butler C.",Democratic - South Carolina,D000267,Derrick, Butler C.,Democratic,South Carolina,SC
"Derwinski, Edward J. (Republican - Illinois)","Derwinski, Edward J.",Republican - Illinois,D000269,Derwinski, Edward J.,Republican,Illinois,IL
"DeSantis, Ron (Republican - Florida)","DeSantis, Ron",Republican - Florida,D000621,DeSantis, Ron,Republican,Florida,FL
"DeSaulnier, Mark (Democratic - California)","DeSaulnier, Mark",Democratic - California,D000623,DeSaulnier, Mark,Democratic,California,CA
"DesJarlais, Scott (Republican - Tennessee)","DesJarlais, Scott",Republican - Tennessee,D000616,DesJarlais, Scott,Republican,Tennessee,TN
"Deutch, Theodore E. (Democratic - Florida)","Deutch, Theodore E.",Democratic - Florida,D000610,Deutch, Theodore E.,Democratic,Florida,FL
"Deutsch, Peter (Democratic - Florida)","Deutsch, Peter",Democratic - Florida,D000275,Deutsch, Peter,Democratic,Florida,FL
"Devine, Samuel L. (Republican - Ohio)","Devine, Samuel L.",Republican - Ohio,D000279,Devine, Samuel L.,Republican,Ohio,OH
"DeWine, Mike (Republican - Ohio)","DeWine, Mike",Republican - Ohio,D000294,DeWine, Mike,Republican,Ohio,OH
"Diaz-Balart, Lincoln (Republican - Florida)","Diaz-Balart, Lincoln",Republican - Florida,D000299,Diaz-Balart, Lincoln,Republican,Florida,FL
"Diaz-Balart, Mario (Republican - Florida)","Diaz-Balart, Mario",Republican - Florida,D000600,Diaz-Balart, Mario,Republican,Florida,FL
"Dickey, Jay (Republican - Arkansas)","Dickey, Jay",Republican - Arkansas,D000312,Dickey, Jay,Republican,Arkansas,AR
"Dickinson, William L. (Republican - Alabama)","Dickinson, William L.",Republican - Alabama,D000326,Dickinson, William L.,Republican,Alabama,AL
"Dicks, Norman D. (Democratic - Washington)","Dicks, Norman D.",Democratic - Washington,D000327,Dicks, Norman D.,Democratic,Washington,WA
"Diggs, Charles C., Jr. (Democratic - Michigan)","Diggs, Charles C., Jr.",Democratic - Michigan,D000344,Diggs," Charles C., Jr.",Democratic,Michigan,MI
"Dingell, Debbie (Democratic - Michigan)","Dingell, Debbie",Democratic - Michigan,D000624,Dingell, Debbie,Democratic,Michigan,MI
"Dingell, John D. (Democratic - Michigan)","Dingell, John D.",Democratic - Michigan,D000355,Dingell, John D.,Democratic,Michigan,MI
"DioGuardi, Joseph J. (Republican - New York)","DioGuardi, Joseph J.",Republican - New York,D000359,DioGuardi, Joseph J.,Republican,New York,NY
"Dixon, Alan J. (Democratic - Illinois)","Dixon, Alan J.",Democratic - Illinois,D000366,Dixon, Alan J.,Democratic,Illinois,IL
"Dixon, Julian C. (Democratic - California)","Dixon, Julian C.",Democratic - California,D000373,Dixon, Julian C.,Democratic,California,CA
"Djou, Charles K. (Republican - Hawaii)","Djou, Charles K.",Republican - Hawaii,D000611,Djou, Charles K.,Republican,Hawaii,HI
"Dodd, Christopher J. (Democratic - Connecticut)","Dodd, Christopher J.",Democratic - Connecticut,D000388,Dodd, Christopher J.,Democratic,Connecticut,CT
"Doggett, Lloyd (Democratic - Texas)","Doggett, Lloyd",Democratic - Texas,D000399,Doggett, Lloyd,Democratic,Texas,TX
"Dold, Robert J. (Republican - Illinois)","Dold, Robert J.",Republican - Illinois,D000613,Dold, Robert J.,Republican,Illinois,IL
"Dole, Elizabeth (Republican - North Carolina)","Dole, Elizabeth",Republican - North Carolina,D000601,Dole, Elizabeth,Republican,North Carolina,NC
"Dole, Robert J. (Republican - Kansas)","Dole, Robert J.",Republican - Kansas,D000401,Dole, Robert J.,Republican,Kansas,KS
"Domenici, Pete V. (Republican - New Mexico)","Domenici, Pete V.",Republican - New Mexico,D000407,Domenici, Pete V.,Republican,New Mexico,NM
"Dominick, Peter H. (Republican - Colorado)","Dominick, Peter H.",Republican - Colorado,D000409,Dominick, Peter H.,Republican,Colorado,CO
"Donnelly, Brian J. (Democratic - Massachusetts)","Donnelly, Brian J.",Democratic - Massachusetts,D000416,Donnelly, Brian J.,Democratic,Massachusetts,MA
"Donnelly, Joe (Democratic - Indiana)","Donnelly, Joe",Democratic - Indiana,D000607,Donnelly, Joe,Democratic,Indiana,IN
