,id.bioguide,handle,state,district,type,party,name.last
406,C001093,repdougcollins,GA,9.0,rep,Republican,Collins
407,G000571,tulsipress,HI,2.0,rep,Democrat,Gabbard
408,D000622,repduckworth,IL,8.0,rep,Democrat,Duckworth
409,D000619,rodneydavis,IL,13.0,rep,Republican,Davis
410,B001286,repcheri,IL,17.0,rep,Democrat,Bustos
411,W000813,repwalorski,IN,2.0,rep,Republican,Walorski
412,B001284,susanwbrooks,IN,5.0,rep,Republican,Brooks
413,M001189,replukemesser,IN,6.0,rep,Republican,Messer
414,B001282,repandybarr,KY,6.0,rep,Republican,Barr
415,W000817,senwarren,MA,None,sen,Democrat,Warren
416,K000379,repjoekennedy,MA,4.0,rep,Democrat,Kennedy
417,D000620,repjohndelaney,MD,6.0,rep,Democrat,Delaney
418,K000383,senangusking,ME,None,sen,Independent,King
419,K000380,repdankildee,MI,5.0,rep,Democrat,Kildee
420,N000127,usrepricknolan,MN,8.0,rep,Democrat,Nolan
421,W000812,repannwagner,MO,2.0,rep,Republican,Wagner
422,D000618,stevedaines,MT,None,sen,Republican,Daines
423,H001067,reprichhudson,NC,8.0,rep,Republican,Hudson
424,P000606,reppittenger,NC,9.0,rep,Republican,Pittenger
425,M001187,repmarkmeadows,NC,11.0,rep,Republican,Meadows
426,H001065,repholding,NC,13.0,rep,Republican,Holding
427,H001069,senatorheitkamp,ND,None,sen,Democrat,Heitkamp
428,C001096,repkevincramer,ND,0.0,rep,Republican,Cramer
429,F000463,senatorfischer,NE,None,sen,Republican,Fischer
430,K000382,repanniekuster,NH,2.0,rep,Democrat,Kuster
431,L000580,replujangrisham,NM,1.0,rep,Democrat,Lujan Grisham
432,M001188,repgracemeng,NY,6.0,rep,Democrat,Meng
433,J000294,repjeffries,NY,8.0,rep,Democrat,Jeffries
434,M001185,repseanmaloney,NY,18.0,rep,Democrat,Maloney
435,C001092,repchriscollins,NY,27.0,rep,Republican,Collins
436,W000815,repbradwenstrup,OH,2.0,rep,Republican,Wenstrup
437,B001281,repbeatty,OH,3.0,rep,Democrat,Beatty
438,J000295,repdavejoyce,OH,14.0,rep,Republican,Joyce
439,B001283,repjbridenstine,OK,1.0,rep,Republican,Bridenstine
440,M001190,repmullin,OK,2.0,rep,Republican,Mullin
441,P000605,repscottperry,PA,4.0,rep,Republican,Perry
442,R000598,keithrothfus,PA,12.0,rep,Republican,Rothfus
443,C001090,repcartwright,PA,17.0,rep,Democrat,Cartwright
444,R000597,reptomrice,SC,7.0,rep,Republican,Rice
445,C001098,sentedcruz,TX,None,sen,Republican,Cruz
446,W000814,txrandy14,TX,14.0,rep,Republican,Weber
447,O000170,repbetoorourke,TX,16.0,rep,Democrat,O'Rourke
448,C001091,joaquincastrotx,TX,20.0,rep,Democrat,Castro
449,W000816,reprwilliams,TX,25.0,rep,Republican,Williams
450,V000131,repveasey,TX,33.0,rep,Democrat,Veasey
451,V000132,repfilemonvela,TX,34.0,rep,Democrat,Vela
452,S001192,repchrisstewart,UT,2.0,rep,Republican,Stewart
453,K000384,senkaineoffice,VA,None,sen,Democrat,Kaine
454,K000381,repderekkilmer,WA,6.0,rep,Democrat,Kilmer
455,H001064,repdennyheck,WA,10.0,rep,Democrat,Heck
456,P000607,repmarkpocan,WI,2.0,rep,Democrat,Pocan
457,K000385,reprobinkelly,IL,2.0,rep,Democrat,Kelly
458,S000051,repsanfordsc,SC,1.0,rep,Republican,Sanford
459,S001195,repjasonsmith,MO,8.0,rep,Republican,Smith
460,B001288,corybooker,NJ,None,sen,Democrat,Booker
461,C001101,repkclark,MA,5.0,rep,Democrat,Clark
462,B001289,repbyrne,AL,1.0,rep,Republican,Byrne
463,J000296,usrepdavidjolly,FL,13.0,rep,Republican,Jolly
464,C001102,repcurtclawson,FL,19.0,rep,Republican,Clawson
465,B001290,repdavebrat,VA,7.0,rep,Republican,Brat
466,N000188,donaldnorcross,NJ,1.0,rep,Democrat,Norcross
467,A000370,repadams,NC,12.0,rep,Democrat,Adams
468,D000613,repdold,IL,10.0,rep,Republican,Dold
469,G000570,repfrankguinta,NH,1.0,rep,Republican,Guinta
470,P000609,usrepgarypalmer,AL,6.0,rep,Republican,Palmer
471,H001072,repfrenchhill,AR,2.0,rep,Republican,Hill
472,W000821,repwesterman,AR,4.0,rep,Republican,Westerman
473,M001197,repmcsally,AZ,2.0,rep,Republican,McSally
474,G000574,reprubengallego,AZ,7.0,rep,Democrat,Gallego
475,D000623,repdesaulnier,CA,11.0,rep,Democrat,DeSaulnier
476,K000387,steveknight25,CA,25.0,rep,Republican,Knight
477,A000371,reppeteaguilar,CA,31.0,rep,Democrat,Aguilar
478,L000582,reptedlieu,CA,33.0,rep,Democrat,Lieu
479,T000474,normajtorres,CA,35.0,rep,Democrat,Torres
480,W000820,repmimiwalters,CA,45.0,rep,Republican,Walters
481,B001297,repkenbuck,CO,4.0,rep,Republican,Buck
482,G000575,repgwengraham,FL,2.0,rep,Democrat,Graham
483,C001107,repcurbelo,FL,26.0,rep,Republican,Curbelo
484,C001103,repbuddycarter,GA,1.0,rep,Republican,Carter
485,H001071,congressmanhice,GA,10.0,rep,Republican,Hice
486,L000583,reploudermilk,GA,11.0,rep,Republican,Loudermilk
487,A000372,reprickallen,GA,12.0,rep,Republican,Allen
488,B001294,reprodblum,IA,1.0,rep,Republican,Blum
489,Y000066,repdavidyoung,IA,3.0,rep,Republican,Young
490,B001295,repbost,IL,12.0,rep,Republican,Bost
491,A000374,repabraham,LA,5.0,rep,Republican,Abraham
492,G000577,repgarretgraves,LA,6.0,rep,Republican,Graves
493,M001196,teammoulton,MA,6.0,rep,Democrat,Moulton
494,P000611,reppoliquin,ME,2.0,rep,Republican,Poliquin
495,M001194,repmoolenaar,MI,4.0,rep,Republican,Moolenaar
496,B001293,repmikebishop,MI,8.0,rep,Republican,Bishop
497,T000475,repdavetrott,MI,11.0,rep,Republican,Trott
498,D000624,repdebdingell,MI,12.0,rep,Democrat,Dingell
499,L000581,replawrence,MI,14.0,rep,Democrat,Lawrence
500,E000294,reptomemmer,MN,6.0,rep,Republican,Emmer
501,Z000018,repryanzinke,MT,0.0,rep,Republican,Zinke
502,R000603,repdavidrouzer,NC,7.0,rep,Republican,Rouzer
503,A000373,repbradashford,NE,2.0,rep,Democrat,Ashford
504,M001193,reptommacarthur,NJ,3.0,rep,Republican,MacArthur
505,W000822,repbonnie,NJ,12.0,rep,Democrat,Watson Coleman
506,H001070,rephardy,NV,4.0,rep,Republican,Hardy
507,Z000017,repleezeldin,NY,1.0,rep,Republican,Zeldin
508,R000602,repkathleenrice,NY,4.0,rep,Democrat,Rice
509,S001196,repstefanik,NY,21.0,rep,Republican,Stefanik
510,K000386,repjohnkatko,NY,24.0,rep,Republican,Katko
511,R000604,reprussell,OK,5.0,rep,Republican,Russell
512,C001106,repryancostello,PA,6.0,rep,Republican,Costello
513,B001296,repbrendanboyle,PA,13.0,rep,Democrat,Boyle
514,R000601,repratcliffe,TX,4.0,rep,Republican,Ratcliffe
515,H001073,hurdonthehill,TX,23.0,rep,Republican,Hurd
516,B001291,repbrianbabin,TX,36.0,rep,Republican,Babin
517,L000584,repmialove,UT,4.0,rep,Republican,Love
518,B001292,repdonbeyer,VA,8.0,rep,Democrat,Beyer
519,C001105,repcomstock,VA,10.0,rep,Republican,Comstock
520,P000610,staceyplaskett,VI,0.0,rep,Democrat,Plaskett
521,N000189,repnewhouse,WA,4.0,rep,Republican,Newhouse
522,G000576,repgrothman,WI,6.0,rep,Republican,Grothman
523,M001195,repalexmooney,WV,2.0,rep,Republican,Mooney
524,J000297,repevanjenkins,WV,3.0,rep,Republican,Jenkins
525,R000600,repamata,AS,0.0,rep,Republican,Amata
526,S001198,sendansullivan,AK,None,sen,Republican,Sullivan
527,P000612,sendavidperdue,GA,None,sen,Republican,Perdue
528,E000295,senjoniernst,IA,None,sen,Republican,Ernst
529,T000476,senthomtillis,NC,None,sen,Republican,Tillis
530,R000605,senatorrounds,SD,None,sen,Republican,Rounds
531,W000819,repmarkwalker,NC,6.0,rep,Republican,Walker
532,S001197,sensasse,NE,None,sen,Republican,Sasse
533,D000625,repdandonovan,NY,11.0,rep,Republican,Donovan
534,K000388,reptrentkelly,MS,1.0,rep,Republican,Kelly
535,L000585,replahood,IL,18.0,rep,Republican,LaHood
