,id.bioguide,handle,name,gender,chamber,party,district,inc_ran,inc_won,had_challenger,inc_party,winner_party,runnerup_party,runnerup_votes,winner_votes,week,avg_score
0,A000055,robert_aderholt,Robert B. Aderholt,M,rep,Republican,AL-04,1.0,1.0,0,R,R,write in,"3,519","235,925",1,4.0
1,A000367,,Justin Amash,M,rep,Republican,MI-03,1.0,1.0,1,R,R,D,"128,400","203,545",1,3.0
2,C001049,,Wm. Lacy Clay,M,rep,Democrat,MO-01,1.0,1.0,1,D,D,R,"62,714","236,993",1,1.0
3,D000604,,Charles W. Dent,M,rep,Republican,PA-15,1.0,1.0,1,R,R,D,"124,129","190,618",1,15.0
4,P000603,,Rand Paul,M,sen,Republican,KY,1.0,1.0,1,R,R,D,"813,246","1,090,177",1,
5,R000409,,Dana Rohrabacher,M,rep,Republican,CA-48,1.0,1.0,1,R,R,D,"127,715","178,701",1,42.0
6,V000127,,David Vitter,M,rep,Republican,LA,0.0,0.0,0,R,R,D,"337,833","482,591",1,1.0
7,A000368,kellyayotte,Kelly Ayotte,F,sen,Republican,NH,1.0,0.0,1,R,D,R,"353,632","354,649",1,
8,B001269,reploubarletta,Lou Barletta,M,rep,Republican,PA-11,1.0,1.0,1,R,R,D,"113,800","199,421",1,11.0
9,B000213,repjoebarton,Joe Barton,M,rep,Republican,TX-06,1.0,1.0,1,R,R,D,"106,667","159,444",1,6.0
10,B001270,repkarenbass,Karen Bass,F,rep,Democrat,CA-37,1.0,1.0,1,D,D,D,"44,782","192,490",1,33.0
11,B000287,repbecerra,Xavier Becerra,M,rep,Democrat,CA-34,1.0,1.0,1,D,D,D,"36,314","122,842",1,30.0
12,B001267,senbennetco,Michael F. Bennet,M,sen,Democrat,CO,1.0,1.0,1,D,D,R,"1,215,318","1,370,710",1,
13,B001250,reprobbishop,Rob Bishop,M,rep,Republican,UT-01,1.0,1.0,1,R,R,D,"73,380","182,925",1,1.0
14,B000490,sanfordbishop,Sanford D. Bishop Jr.,M,rep,Democrat,GA-02,1.0,1.0,1,D,D,R,"94,056","148,543",1,2.0
15,B001273,repdianeblack,Diane Black,F,rep,Republican,TN-06,1.0,1.0,1,R,R,D,"61,995","202,234",1,6.0
16,B001243,marshablackburn,Marsha Blackburn,F,rep,Republican,TN-07,1.0,1.0,1,R,R,D,"65,226","200,407",1,7.0
17,B000574,blumenauermedia,Earl Blumenauer,M,rep,Democrat,OR-03,1.0,1.0,1,D,D,I,"78,154","274,687",1,3.0
18,B001277,senblumenthal,Richard Blumenthal,M,sen,Democrat,CT,1.0,1.0,1,D,D,R,"552,621","1,008,714",1,
19,B000575,royblunt,Roy Blunt,M,rep,Republican,MO,1.0,1.0,1,R,R,D,"1,300,200","1,378,458",1,7.0
20,B001236,johnboozman,John Boozman,M,rep,Republican,AR,1.0,1.0,1,R,R,D,"400,602","661,984",1,3.0
21,B000711,senatorboxer,Barbara Boxer,F,rep,Democrat,CA,0.0,0.0,0,D,D,D,"4,701,417","7,542,753",1,6.0
22,B000755,repkevinbrady,Kevin Brady,M,rep,Republican,TX-08,1.0,1.0,1,R,R,NONE,0,"236,379",1,8.0
23,B001227,repbrady,Robert A. Brady,M,rep,Democrat,PA-01,1.0,1.0,1,D,D,R,"53,219","245,791",1,1.0
24,B001274,repmobrooks,Mo Brooks,M,rep,Republican,AL-05,1.0,1.0,1,R,R,D,"102,234","205,647",1,5.0
25,B001260,vernbuchanan,Vern Buchanan,M,rep,Republican,FL-16,1.0,1.0,1,R,R,D,"155,262","230,654",1,13.0
26,B001275,replarrybucshon,Larry Bucshon,M,rep,Republican,IN-08,1.0,1.0,1,R,R,D,"93,356","187,702",1,8.0
27,B001248,michaelcburgess,Michael C. Burgess,M,rep,Republican,TX-26,1.0,1.0,1,R,R,D,"94,507","211,730",1,26.0
28,B001135,senatorburr,Richard Burr,M,rep,Republican,NC,1.0,1.0,1,R,R,D,"2,128,165","2,395,376",1,5.0
29,B001251,gkbutterfield,G. K. Butterfield,M,rep,Democrat,NC-01,1.0,1.0,1,D,D,R,"101,567","240,661",1,1.0
30,C000059,kencalvert,Ken Calvert,M,rep,Republican,CA-42,1.0,1.0,1,R,R,D,"104,689","149,547",1,43.0
31,C001037,repmikecapuano,Michael E. Capuano,M,rep,Democrat,MA-07,1.0,1.0,1,D,D,Write in,"3,557","253,354",1,8.0
32,C001072,repandrecarson,André Carson,M,rep,Democrat,IN-07,1.0,1.0,1,D,D,R,"94,456","158,739",1,7.0
33,C001051,judgecarter,John R. Carter,M,rep,Republican,TX-31,1.0,1.0,1,R,R,D,"103,852","166,060",1,31.0
34,C001066,usrepkcastor,Kathy Castor,F,rep,Democrat,FL-14,1.0,1.0,1,D,D,R,"121,088","195,789",1,11.0
35,C000266,repstevechabot,Steve Chabot,M,rep,Republican,OH-01,1.0,1.0,1,R,R,D,"144,644","210,014",1,1.0
36,C001076,jasoninthehouse,Jason Chaffetz,M,rep,Republican,UT-03,1.0,1.0,1,R,R,D,"75,716","209,589",1,3.0
37,C001080,repjudychu,Judy Chu,F,rep,Democrat,CA-27,1.0,1.0,1,D,D,R,"81,655","168,977",1,32.0
38,C001084,repcicilline,David N. Cicilline,M,rep,Democrat,RI-01,1.0,1.0,1,D,D,R,"71,023","130,534",1,1.0
39,C001067,yvetteclarke,Yvette D. Clarke,F,rep,Democrat,NY-09,1.0,1.0,1,D,D,C,"17,576","214,189",1,11.0
40,C001061,repcleaver,Emanuel Cleaver,M,rep,Democrat,MO-05,1.0,1.0,1,D,D,R,"123,771","190,766",1,5.0
41,C000537,clyburn,James E. Clyburn,M,rep,Democrat,SC-06,1.0,1.0,1,D,D,R,"70,099","177,947",1,6.0
42,C001077,repmikecoffman,Mike Coffman,M,rep,Republican,CO-06,1.0,1.0,1,R,R,D,"160,372","191,626",1,6.0
43,C001068,repcohen,Steve Cohen,M,rep,Democrat,TN-09,1.0,1.0,1,D,D,R,"41,123","171,631",1,9.0
44,C001053,tomcoleok04,Tom Cole,M,rep,Republican,OK-04,1.0,1.0,1,R,R,D,"76,472","204,143",1,4.0
45,C001062,conawaytx11,K. Michael Conaway,M,rep,Republican,TX-11,1.0,1.0,1,R,R,L,"23,677","201,871",1,11.0
46,C001078,gerryconnolly,Gerald E. Connolly,M,rep,Democrat,VA-11,1.0,1.0,0,D,D,Write in,"34,185","247,818",1,11.0
47,C000714,repjohnconyers,John Conyers Jr.,M,rep,Democrat,MI-13,1.0,1.0,1,D,D,R,"40,541","198,771",1,1.0
48,C000754,repjimcooper,Jim Cooper,M,rep,Democrat,TN-05,1.0,1.0,1,D,D,R,"102,433","171,111",1,4.0
49,C001059,repjimcosta,Jim Costa,M,rep,Democrat,CA-16,1.0,1.0,1,D,D,R,"70,483","97,473",1,20.0
50,C001069,repjoecourtney,Joe Courtney,M,rep,Democrat,CT-02,1.0,1.0,1,D,D,R,"111,149","208,818",1,2.0
51,C000880,mikecrapo,Mike Crapo,M,rep,Republican,ID,1.0,1.0,1,R,R,D,"188,249","449,017",1,2.0
52,C001087,reprickcrawford,"Eric A. ""Rick"" Crawford",M,rep,Republican,AR-01,1.0,1.0,1,R,R,L,"57,181","183,866",1,1.0
53,C001038,repjoecrowley,Joseph Crowley,M,rep,Democrat,NY-14,1.0,1.0,1,D,D,R,"30,545","147,587",1,7.0
54,C001063,repcuellar,Henry Cuellar,M,rep,Democrat,TX-28,1.0,1.0,1,D,D,R,"57,740","122,086",1,28.0
55,C001048,congculberson,John Abney Culberson,M,rep,Republican,TX-07,1.0,1.0,1,R,R,D,"111,991","143,542",1,7.0
56,C000984,repcummings,Elijah E. Cummings,M,rep,Democrat,MD-07,1.0,1.0,1,D,D,R,"69,556","238,838",1,7.0
57,D000096,repdannydavis,Danny K. Davis,M,rep,Democrat,IL-07,1.0,1.0,1,D,D,R,"46,882","250,584",1,7.0
58,D000598,repsusandavis,Susan A. Davis,F,rep,Democrat,CA-53,1.0,1.0,1,D,D,R,"97,968","198,988",1,49.0
59,D000191,reppeterdefazio,Peter A. DeFazio,M,rep,Democrat,OR-04,1.0,1.0,1,D,D,R,"157,743","220,628",1,4.0
60,D000197,repdianadegette,Diana DeGette,F,rep,Democrat,CO-01,1.0,1.0,1,D,D,R,"105,030","257,254",1,1.0
61,D000216,rosadelauro,Rosa L. DeLauro,F,rep,Democrat,CT-03,1.0,1.0,1,D,D,R,"95,786","213,572",1,3.0
62,D000612,repjeffdenham,Jeff Denham,M,rep,Republican,CA-10,1.0,1.0,1,R,R,D,"116,470","124,671",1,19.0
63,D000616,desjarlaistn04,Scott DesJarlais,M,rep,Republican,TN-04,1.0,1.0,1,R,R,D,"89,141","165,796",1,4.0
64,D000610,repteddeutch,Theodore E. Deutch,M,rep,Democrat,FL-22,1.0,1.0,1,D,D,R,"138,737","199,113",1,19.0
65,D000600,mariodb,Mario Diaz-Balart,M,rep,Republican,FL-25,1.0,1.0,1,R,R,D,"95,319","157,921",1,25.0
66,D000399,replloyddoggett,Lloyd Doggett,M,rep,Democrat,TX-35,1.0,1.0,1,D,D,R,"62,384","124,612",1,10.0
67,D000482,usrepmikedoyle,Michael F. Doyle,M,rep,Democrat,PA-14,1.0,1.0,1,D,D,R,"87,999","255,293",1,18.0
68,D000614,repseanduffy,Sean P. Duffy,M,rep,Republican,WI-07,1.0,1.0,1,R,R,D,"138,643","223,418",1,7.0
69,D000615,repjeffduncan,Jeff Duncan,M,rep,Republican,SC-03,1.0,1.0,1,R,R,D,"72,933","196,325",1,3.0
70,D000533,repjohnduncanjr,John J. Duncan Jr.,M,rep,Republican,TN-02,1.0,1.0,1,R,R,D,"68,401","212,455",1,2.0
71,E000288,keithellison,Keith Ellison,M,rep,Democrat,MN-05,1.0,1.0,1,D,D,R,"80,660","249,964",1,5.0
72,E000179,repeliotengel,Eliot L. Engel,M,rep,Democrat,NY-16,1.0,1.0,1,D,D,PC,"11,825","209,857",1,19.0
73,E000215,repannaeshoo,Anna G. Eshoo,F,rep,Democrat,CA-18,1.0,1.0,1,D,D,R,"93,470","230,460",1,14.0
74,F000460,farenthold,Blake Farenthold,M,rep,Republican,TX-27,1.0,1.0,1,R,R,D,"88,329","142,251",1,27.0
75,F000459,repchuck,"Charles J. ""Chuck"" Fleischmann",M,rep,Republican,TN-03,1.0,1.0,1,R,R,D,"76,727","176,613",1,3.0
76,F000461,repbillflores,Bill Flores,M,rep,Republican,TX-17,1.0,1.0,1,R,R,D,"86,603","149,417",1,17.0
77,F000449,jefffortenberry,Jeff Fortenberry,M,rep,Republican,NE-01,1.0,1.0,1,R,R,D,"83,467","189,771",1,1.0
78,F000450,virginiafoxx,Virginia Foxx,F,rep,Republican,NC-05,1.0,1.0,1,R,R,D,"147,887","207,625",1,5.0
79,F000448,reptrentfranks,Trent Franks,M,rep,Republican,AZ-08,1.0,1.0,1,R,R,G,"93,954","204,942",1,2.0
80,F000372,usreprodney,Rodney P. Frelinghuysen,M,rep,Republican,NJ-11,1.0,1.0,1,D,D,R,"130,162","194,299",1,11.0
81,F000455,repmarciafudge,Marcia L. Fudge,F,rep,Democrat,OH-11,1.0,1.0,1,D,D,R,"59,769","242,917",1,11.0
82,G000559,repgaramendi,John Garamendi,M,rep,Democrat,CA-03,1.0,1.0,1,D,D,R,"104,453","152,513",1,10.0
83,G000563,repbobgibbs,Bob Gibbs,M,rep,Republican,OH-07,1.0,1.0,1,R,R,D,"89,638","198,221",1,18.0
84,G000552,replouiegohmert,Louie Gohmert,M,rep,Republican,TX-01,1.0,1.0,1,R,R,D,"62,847","192,434",1,1.0
85,G000289,repgoodlatte,Bob Goodlatte,M,rep,Republican,VA-06,1.0,1.0,1,R,R,D,"112,170","225,471",1,6.0
86,G000565,repgosar,Paul A. Gosar,M,rep,Republican,AZ-04,1.0,1.0,1,R,R,D,"81,296","203,487",1,1.0
87,G000566,tgowdysc,Trey Gowdy,M,rep,Republican,SC-04,1.0,1.0,1,R,R,D,"91,676","198,648",1,4.0
88,G000377,repkaygranger,Kay Granger,F,rep,Republican,TX-12,1.0,1.0,1,R,R,D,"76,029","196,482",1,12.0
89,G000386,chuckgrassley,Chuck Grassley,M,rep,Republican,IA,1.0,1.0,1,R,R,D,"549,460","926,007",1,3.0
90,G000546,repsamgraves,Sam Graves,M,rep,Republican,MO-06,1.0,1.0,1,R,R,D,"99,692","238,388",1,6.0
91,G000560,reptomgraves,Tom Graves,M,rep,Republican,GA-14,1.0,1.0,1,R,R,NONE,0,"216,743",1,9.0
92,G000553,repalgreen,Al Green,M,rep,Democrat,TX-09,1.0,1.0,1,D,D,R,"36,491","152,032",1,9.0
93,G000410,repgenegreen,Gene Green,M,rep,Democrat,TX-29,1.0,1.0,1,D,D,R,"31,646","95,649",1,29.0
94,G000568,repmgriffith,H. Morgan Griffith,M,rep,Republican,VA-09,1.0,1.0,1,R,R,D,"87,877","212,838",1,9.0
95,G000551,repraulgrijalva,Raúl M. Grijalva,M,rep,Democrat,AZ-03,1.0,1.0,0,D,D,write in,"2,062","148,973",1,7.0
96,G000558,repguthrie,Brett Guthrie,M,rep,Republican,KY-02,1.0,1.0,0,R,R,NONE,0,"251,825",1,2.0
97,G000535,luisgutierrez,Luis V. Gutiérrez,M,rep,Democrat,IL-04,1.0,1.0,0,D,D,NONE,0,"171,297",1,4.0
98,H001045,greggharper,Gregg Harper,M,rep,Republican,MS-03,1.0,1.0,1,R,R,D,"96,101","209,490",1,3.0
99,H001052,repandyharrismd,Andy Harris,M,rep,Republican,MD-01,1.0,1.0,1,R,R,D,"103,622","242,574",1,1.0
100,H001053,rephartzler,Vicky Hartzler,F,rep,Republican,MO-04,1.0,1.0,1,R,R,D,"92,510","225,348",1,4.0
101,H000324,rephastingsfl,Alcee L. Hastings,M,rep,Democrat,FL-20,1.0,1.0,1,D,D,R,"54,646","222,914",1,23.0
102,H001036,rephensarling,Jeb Hensarling,M,rep,Republican,TX-05,1.0,1.0,1,R,R,L,"37,406","155,469",1,5.0
103,H001056,herrerabeutler,Jaime Herrera Beutler,F,rep,Republican,WA-03,1.0,1.0,1,R,R,D,"119,820","193,457",1,3.0
104,H001038,repbrianhiggins,Brian Higgins,M,rep,Democrat,NY-26,1.0,1.0,1,D,D,R,"73,377","215,289",1,27.0
105,H001047,jahimes,James A. Himes,M,rep,Democrat,CT-04,1.0,1.0,1,D,D,R,"125,724","187,811",1,4.0
106,H001061,senjohnhoeven,John Hoeven,M,sen,Republican,ND,1.0,1.0,1,R,R,D,"58,116","268,788",1,
107,H000874,whiphoyer,Steny H. Hoyer,M,rep,Democrat,MD-05,1.0,1.0,1,D,D,R,"105,931","242,989",1,5.0
108,H001058,rephuizenga,Bill Huizenga,M,rep,Republican,MI-02,1.0,1.0,1,R,R,D,"110,391","212,508",1,2.0
109,H001059,rephultgren,Randy Hultgren,M,rep,Republican,IL-14,1.0,1.0,1,R,R,D,"137,589","200,508",1,14.0
110,I000055,senatorisakson,Johnny Isakson,M,rep,Republican,GA,1.0,1.0,1,R,R,D,"1,599,726","2,135,806",1,6.0
111,I000056,darrellissa,Darrell E. Issa,M,rep,Republican,CA-49,1.0,1.0,1,R,R,R,"154,267","155,888",1,48.0
112,J000032,jacksonleetx18,Sheila Jackson Lee,F,rep,Democrat,TX-18,1.0,1.0,1,D,D,R,"48,306","150,157",1,18.0
113,J000290,replynnjenkins,Lynn Jenkins,F,rep,Republican,KS-02,1.0,1.0,1,R,R,D,"96,840","181,228",1,2.0
114,J000292,repbilljohnson,Bill Johnson,M,rep,Republican,OH-06,1.0,1.0,1,R,R,D,"88,780","213,975",1,6.0
115,J000126,repebj,Eddie Bernice Johnson,F,rep,Democrat,TX-30,1.0,1.0,1,D,D,R,"41,518","170,502",1,30.0
116,J000288,rephankjohnson,"Henry C. ""Hank"" Johnson Jr.",M,rep,Democrat,GA-04,1.0,1.0,1,D,D,R,"70,593","220,146",1,4.0
117,J000174,samspressshop,Sam Johnson,M,rep,Republican,TX-03,1.0,1.0,1,R,R,D,"109,420","193,684",1,3.0
118,J000255,repwalterjones,Walter B. Jones,M,rep,Republican,NC-03,1.0,1.0,1,R,R,D,"106,170","217,531",1,3.0
119,J000289,jim_jordan,Jim Jordan,M,rep,Republican,OH-04,1.0,1.0,1,R,R,D,"98,981","210,227",1,4.0
120,K000009,repmarcykaptur,Marcy Kaptur,F,rep,Democrat,OH-09,1.0,1.0,1,D,D,R,"88,427","193,966",1,9.0
121,K000375,usrepkeating,William R. Keating,M,rep,Democrat,MA-09,1.0,1.0,1,D,D,R,"127,803","211,790",1,10.0
122,K000376,mikekellypa,Mike Kelly,M,rep,Republican,PA-03,1.0,1.0,0,R,R,NONE,"244,893","271,098",1,3.0
123,K000188,repronkind,Ron Kind,M,rep,Democrat,WI-03,1.0,1.0,0,D,D,Write in,169,"257,401",1,3.0
124,K000210,reppeteking,Peter T. King,M,rep,Republican,NY-02,1.0,1.0,1,R,R,D,"110,938","181,506",1,3.0
125,K000362,stevekingia,Steve King,M,rep,Republican,IA-04,1.0,1.0,1,R,R,D,"142,993","226,719",1,5.0
126,K000378,repkinzinger,Adam Kinzinger,M,rep,Republican,IL-16,1.0,1.0,0,R,R,write in,131,"259,722",1,11.0
127,K000360,senatorkirk,Mark Kirk,M,rep,Republican,IL,1.0,0.0,1,R,D,R,"2,184,692","3,012,940",1,10.0
128,L000573,raul_labrador,Raúl R. Labrador,M,rep,Republican,ID-01,1.0,1.0,1,R,R,D,"113,052","242,252",1,1.0
129,L000564,repdlamborn,Doug Lamborn,M,rep,Republican,CO-05,1.0,1.0,1,R,R,D,"111,676","225,445",1,5.0
130,L000567,replancenj7,Leonard Lance,M,rep,Republican,NJ-07,1.0,1.0,1,R,R,D,"148,188","185,850",1,7.0
131,L000559,jimlangevin,James R. Langevin,M,rep,Democrat,RI-02,1.0,1.0,1,D,D,R,"70,301","133,108",1,2.0
132,L000575,senatorlankford,James Lankford,M,rep,Republican,OK,1.0,1.0,1,R,R,D,"355,911","980,892",1,5.0
133,L000560,repricklarsen,Rick Larsen,M,rep,Democrat,WA-02,1.0,1.0,1,D,D,R,"117,094","208,314",1,2.0
134,L000557,repjohnlarson,John B. Larson,M,rep,Democrat,CT-01,1.0,1.0,1,D,D,R,"105,674","200,686",1,1.0
135,L000566,boblatta,Robert E. Latta,M,rep,Republican,OH-05,1.0,1.0,1,R,R,D,"100,392","244,599",1,5.0
136,L000174,senatorleahy,Patrick J. Leahy,M,sen,Democrat,VT,1.0,1.0,1,D,D,R,"103,637","192,243",1,
137,L000551,repbarbaralee,Barbara Lee,F,rep,Democrat,CA-13,1.0,1.0,1,D,D,R,"29,754","293,117",1,9.0
138,L000577,senmikelee,Mike Lee,M,sen,Republican,UT,1.0,1.0,1,R,R,D,"301,860","760,241",1,
