district,inc_name,inc_party,inc_ran,inc_won,had_challenger,winner_votes,runnerup_votes,winner_party,runnerup_party,"Clinton2016","Trump2016",Obama 2012,Romney 2012,Obama 2008,McCain 2008
CA-28,"Schiff, Adam",D,1,1,1,"210,883","59,526",D,R,72.1,22.3,70.3,26.5,70,26
CA-29,"Cardenas, Tony",D,1,1,1,"128,407","43,417",D,D,77.7,16.8,77,20.5,74,23
CA-30,"Sherman, Brad",D,1,1,1,"205,279","77,325",D,R,69.1,25.7,65.3,32.1,66,31
CA-31,"Aguilar, Pete",D,1,1,1,"121,070","94,866",D,R,57.7,36.6,57.2,40.6,56,41
CA-32,"Napolitano, Grace",D,1,1,1,"114,926","71,720",D,D,66.6,27.7,65.2,32.5,62,35
CA-33,"Lieu, Ted",D,1,1,1,"219,397","110,822",D,R,67.8,26.5,60.6,36.8,64,33
CA-34,"Becerra, Xavier",D,1,1,1,"122,842","36,314",D,D,83.6,10.7,83,14.1,77,19
CA-35,"Torres, Norma",D,1,1,1,"124,044","47,309",D,R,67.7,26.9,67.4,30.6,64,32
CA-36,"Ruiz, Raul",D,1,1,1,"144,348","88,269",D,R,52.2,43.4,50.7,47.5,50,47
CA-37,"Bass, Karen",D,1,1,1,"192,490","44,782",D,D,85.7,9.6,84.9,12.7,84,13
CA-38,"Sanchez, Linda",D,1,1,1,"163,590","68,524",D,R,67,27.4,64.9,33,61,35
CA-39,"Royce, Ed",R,1,1,1,"150,777","112,679",R,D,51.5,42.9,47.1,50.8,47,49
CA-40,"Roybal-Allard, Lucille",D,1,1,1,"106,554","24,743",D,I,82.2,12.8,81.5,16.5,77,19
CA-41,"Takano, Mark",D,1,1,1,"128,164","69,159",D,R,61,33.1,61.5,36.3,59,38
CA-42,"Calvert, Ken",R,1,1,1,"149,547","104,689",R,D,41.4,53.4,41.4,56.5,43,54
CA-43,"Waters, Maxine",D,1,1,1,"167,017","52,499",D,R,78.4,16.7,78,20,75,22
CA-44,"Barragan, Nanette",D,1,1,1,"93,124","85,289",D,D,83,12.3,84.7,13.6,81,16
CA-45,"Walters, Mimi",R,1,1,1,"182,618","129,231",R,D,49.8,44.4,43,54.8,46,51
CA-46,"Correa, Lou",D,0,0,0,"115,248","49,345",D,D,66.3,27.9,61.4,36.2,58,39
CA-47,"Lowenthal, Alan",D,1,1,1,"154,759","88,109",D,R,62.6,31,60,37.5,58,39
CA-48,"Rohrabacher, Dana",R,1,1,1,"178,701","127,715",R,D,47.9,46.2,43,54.7,46,51
CA-49,"Issa, Darrell",R,1,1,1,"155,888","154,267",R,R,50.7,43.2,45.7,52.4,49,48
CA-50,"Hunter, Duncan",R,1,1,1,"179,937","103,646",R,D,39.6,54.6,37.6,60.4,39,58
CA-51,"Vargas, Juan",D,1,1,1,"145,162","54,362",D,R,71.8,22.8,69.4,28.9,65,32
CA-52,"Peters, Scott",D,1,1,1,"181,253","139,403",D,R,58.1,35.6,52.1,45.7,55,43
CA-53,"Davis, Susan",D,1,1,1,"198,988","97,968",D,R,64.5,29.6,61.4,36.4,61,36
CO-01,"DeGette, Diana",D,1,1,1,"257,254","105,030",D,R,69,23.2,69,28.8,70.9,27.6
CO-02,"Polis, Jared",D,1,1,1,"260,175","170,001",D,R,56.2,34.9,57.9,39.5,61.2,37.2
CO-03,"Tipton, Scott",R,1,1,1,"204,220","150,914",R,D,40,52,45.8,51.8,48.4,49.9
CO-04,"Buck, Ken",R,1,1,1,"248,230","123,642",R,D,34.3,57.4,39.2,58.5,41.9,56.4
CO-05,"Lamborn, Doug",R,1,1,1,"225,445","111,676",R,D,33.2,57.2,38.3,59.1,39.7,58.8
CO-06,"Coffman, Mike",R,1,1,1,"191,626","160,372",R,D,50.2,41.3,51.6,46.5,53.6,44.9
CO-07,"Perlmutter, Ed",D,1,1,1,"199,758","144,066",D,R,51.4,39.4,56.1,41.3,57.4,40.7
CT-01,"Larson, John",D,1,1,1,"200,686","105,674",D,R,59.4,36.3,63.3,35.6,65.8,32.9
CT-02,"Courtney, Joe",D,1,1,1,"208,818","111,149",D,R,48.7,45.8,55.9,42.6,58.6,40
CT-03,"DeLauro, Rosa",D,1,1,1,"213,572","95,786",D,R,55.9,40.4,62.6,36.3,62.6,36.2
CT-04,"Himes, Jim",D,1,1,1,"187,811","125,724",D,R,59.6,36.6,55.1,44,59.6,39.7
CT-05,"Esty, Elizabeth",D,1,1,1,"179,252","129,801",D,R,49.9,45.8,53.5,45.3,56.4,42.4
DE-AL,"Blunt Rochester, Lisa",D,1,1,1,"233,554","172,301",D,R,53.4,41.9,58.6,40,61.9,36.9
FL-01,"Gaetz, Matt",R,0,0,0,"255,107","114,079",D,R,28.2,67.5,30.1,68.5,32,66.8
FL-02,"Dunn, Neal",D,0,0,0,"231,163","102,801",R,D,30.6,66.2,34,64.6,35.2,63.4
FL-03,"Yoho, Ted",R,1,1,1,"193,843","136,338",R,D,40.2,56.2,41.9,56.6,44.2,54.6
FL-04,"Rutherford, John",R,1,1,1,"287,509","113,088",R,D,34.1,62.1,32.8,66.1,34.8,64.2
FL-05,"Lawson, Al",D,1,1,1,"194,549","108,325",D,R,61.3,35.9,63.6,35.4,63.2,35.9
FL-06,"DeSantis, Ron",R,1,1,1,"213,519","151,051",R,D,39.9,56.9,46.6,52.2,50.1,48.7
FL-07,"Murphy, Stephanie",D,1,1,1,"182,039","171,583",D,R,51.4,44.1,49.4,49.4,51.1,48
FL-08,"Posey, Bill",R,1,1,1,"246,483","127,127",R,D,37.7,58.4,42.1,56.6,43.8,54.9
FL-09,"Soto, Darren",D,0,0,0,"195,311","144,450",D,R,54.8,41.9,55.6,43.4,54.6,44.5
FL-10,"Demings, Val",R,0,0,0,"198,491","107,498",D,R,61.8,34.9,60.7,38.4,60.9,38.5
FL-11,"Webster, Dan",R,1,1,1,"258,016","124,713",R,D,32.5,64.8,39.8,59.2,42.6,56.1
FL-12,"Bilirakis, Gus",R,1,1,1,"253,559","116,110",R,D,38.8,57.4,45.5,53,47.4,51.2
FL-13,"Crist, Charlie",R,1,0,1,"184,693","171,149",D,R,49.6,46.4,54.6,43.9,55.5,43
FL-14,"Castor, Kathy",D,1,1,1,"195,789","121,088",D,R,57.2,39,57.6,41.2,58.1,40.9
FL-15,"Ross, Dennis",R,1,1,1,"182,999","135,475",R,D,43.1,53.1,46.6,52.2,46.7,52.1
FL-16,"Buchanan, Vern",R,1,1,1,"230,654","155,262",R,D,43,53.7,45.1,53.7,47.7,51.2
FL-17,"Rooney, Tom",R,1,1,1,"209,348","115,974",R,D,35,62.2,41.3,57.6,43.9,54.7
FL-18,"Mast, Brian",R,1,1,1,"201,488","161,918",R,D,44.1,53.3,47.7,51.4,51.2,47.9
FL-19,"Rooney, Francis",R,0,0,0,"239,225","123,812",R,D,37.5,59.6,38.7,60.5,42.3,56.8
FL-20,"Hastings, Alcee",D,1,1,1,"222,914","54,646",D,R,80.2,18.1,82.5,17.1,80.9,18.6
FL-21,"Frankel, Lois",D,1,1,1,"210,606","118,038",D,R,58.6,39.1,60.4,38.9,63.4,35.9
FL-22,"Deutch, Ted",D,1,1,1,"199,113","138,737",D,R,56.8,41,56.3,43,58.3,41
FL-23,"Wasserman Schultz, Debbie",D,1,1,1,"183,225","130,818",D,R,61.9,35.8,61.4,38,62,37.3
FL-24,"Wilson, Frederica",D,1,1,0,,,D,,83,15.3,85.7,13.9,84,15.6
FL-25,"Diaz-Balart, Mario",R,1,1,1,"157,921","95,319",R,D,47.9,49.6,44.9,54.5,40.6,58.8
FL-26,"Curbelo, Carlos",R,1,1,1,"148,547","115,493",R,D,56.7,40.6,55.4,43.9,51.5,47.9
FL-27,"Ros-Lehtinen, Ileana",R,1,1,1,"157,917","129,760",R,D,58.6,38.9,53,46.3,50.1,49.3
GA-01,"Carter, Buddy",R,1,1,1,"210,243",0,R,NONE,40.9,56.4,43,55.9,44.4,55
GA-02,"Bishop, Sanford",D,1,1,1,"148,543","94,056",D,R,55,43.3,58.6,40.8,57.9,41.6
GA-03,"Ferguson, Drew",R,1,1,1,"207,218","95,969",R,D,32.8,64.3,33,65.9,34,65.3
GA-04,"Johnson, Hank",D,1,1,1,"220,146","70,593",D,R,75.3,22.2,73.6,25.6,73.2,26.3
GA-05,"Lewis, John",D,1,1,1,"253,781","46,768",D,R,85,11.9,83.1,15.8,84.4,15
GA-06,"Price, Tom",R,1,1,1,"201,088","124,917",R,D,46.8,48.3,37.5,60.8,40.1,59
GA-07,"Woodall, Rob",R,1,1,1,"174,081","114,220",R,D,44.8,51.1,38.3,60.2,39.1,60.1
GA-08,"Scott, Austin",R,1,1,1,"173,983","83,225",R,D,34.4,63.3,37.5,61.6,37.8,61.6
GA-09,"Collins, Doug",R,1,1,0,"256,535",0,R,NONE,19.3,77.8,20.5,78.1,24.3,74.7
GA-10,"Hice, Jodi",R,1,1,0,"243,725",0,R,NONE,35.8,61.3,36.3,62.5,38.8,60.4
GA-11,"Loudermilk, Barry",R,1,1,1,"217,935","105,383",R,D,35.3,60.3,31.5,66.9,34.7,64.3
GA-12,"Allen, Rick",R,1,1,1,"159,492","99,420",R,D,40.7,56.9,43.6,55.4,43.9,55.6
GA-13,"Scott, David",D,1,1,1,"252,833",0,D,NONE,71,26.6,69.2,30,67.1,32.3
GA-14,"Graves, Tom",R,1,1,1,"216,743",0,R,NONE,22.1,75,25.3,73.2,27.8,71
HI-01,"Hanabusa, Colleen",D,0,0,0,"145,417","45,958",D,R,63.1,30.5,69.7,29,70.3,28.3
HI-02,"Gabbard, Tulsi",D,1,1,1,"170,848","39,668",D,R,61.4,29.6,71.4,26.7,73.4,24.9
IA-01,"Blum, Rod",R,1,1,1,"206,903","177,403",R,D,45.2,48.7,56.2,42.5,58.5,40.4
IA-02,"Loebsack, David",D,1,1,1,"198,571","170,933",D,R,45,49.1,55.8,42.7,57.1,41.6
IA-03,"Young, David",R,1,1,1,"208,598","155,002",R,D,45,48.5,51.4,47.2,52.4,46.3
IA-04,"King, Steve",R,1,1,1,"226,719","142,993",R,D,33.5,60.9,45.3,53.4,48.5,50.2
ID-01,"Labrador, Raul",R,1,1,1,"242,252","113,052",R,D,25.4,63.7,32.2,64.9,35.1,62.5
ID-02,"Simpson, Mike",R,1,1,1,"205,292","95,940",R,D,29.8,54.5,33.1,64.1,37.1,60.5
IL-01,"Rush, Bobby",D,1,1,1,"234,037","81,817",D,R,75.4,21.4,79,20.2,80.8,18.5
IL-02,"Kelly, Robin",D,1,1,1,"235,051","59,471",D,R,78,19.1,80.7,18.5,81.1,18.2
IL-03,"Lipinski, Dan",D,1,1,0,"225,320",91,D,write in,55.2,39.9,55.9,42.6,58.3,40.4
IL-04,"Gutierrez, Luis",D,1,1,0,"171,297",0,D,NONE,82.1,13.2,80.9,17.1,80.5,18.2
IL-05,"Quigley, Mike",D,1,1,1,"212,842","86,222",D,R,70.5,23.9,66,31.8,69.9,28.8
IL-06,"Roskam, Peter",R,1,1,1,"208,555","143,591",R,D,50.2,43.2,45.1,53.3,51.3,47.3
IL-07,"Davis, Danny",D,1,1,1,"250,584","46,882",D,R,87.4,9.2,87.2,11.8,89.4,9.9
IL-08,"Krishnamoorthi, Raja",D,1,1,1,"144,954","144,954",D,R,58.1,36.4,57.4,40.9,61.5,37.1
IL-09,"Schakowsky, Jan",D,1,1,1,"217,306","109,550",D,R,70.1,24.9,65,33.3,68.6,30.3
IL-10,"Schneider, Brad",R,1,0,1,"150,435","135,535",D,R,62,32.6,57.5,41.1,63,35.9
IL-11,"Foster, Bill",D,1,1,1,"166,578","108,995",D,R,58.9,35.4,57.8,40.6,61.3,37.5
IL-12,"Bost, Mike",R,1,1,1,"169,976","124,246",R,D,40.2,55,49.7,48.2,54.7,43.6
IL-13,"Davis, Rodney",R,1,1,1,"187,583","126,811",R,D,44.2,49.7,48.6,48.9,54.6,43.6
IL-14,"Hultgren, Randy",R,1,1,1,"200,508","137,589",R,D,44.8,48.7,44.2,54.2,50.7,48
IL-15,"Shimkus, John",R,1,1,0,"274,554",0,R,NONE,24.5,70.7,34.1,63.9,42.8,55.4
IL-16,"Kinzinger, Adam",R,1,1,0,"259,722",131,R,write in,38.3,55.5,45.2,52.9,50,48.2
IL-17,"Bustos, Cheri",D,1,1,1,"173,125","113,943",D,R,46.7,47.4,57.6,40.6,60,38.5
IL-18,"LaHood, Darin",R,1,1,1,"250,506","96,770",R,D,33.3,60.6,37.4,60.7,44.1,54.4
IN-01,"Visclosky, Pete",D,1,1,1,"207,515","47,051",D,L,54.1,41.5,61.2,37.4,63.3,35.8
IN-02,"Walorski, Jackie",R,1,1,1,"164,355","102,401",R,D,36.1,59.3,42.1,56.1,49.6,49.3
IN-03,"Banks, Jim",R,0,0,0,"201,396","66,023",R,D,30.1,65.1,35.7,62.5,43,56
IN-04,"Rokita, Todd",R,1,1,1,"193,412","91,256",R,D,30.2,64.3,36.9,60.9,44.6,54.2
IN-05,"Brooks, Susan",R,1,1,1,"221,957","123,849",R,D,41.3,53.1,40.7,57.5,46.6,52.6
IN-06,"Messer, Luke",R,1,1,1,"204,920","79,135",R,D,27.4,67.7,37.3,60.4,43.6,55
IN-07,"Carson, Andre",D,1,1,1,"158,739","94,456",D,R,59,36.2,62.9,35.4,66.3,32.8
IN-08,"Bucshon, Larry",R,1,1,1,"187,702","93,356",R,D,30.9,64.6,39.6,58.4,48.1,50.6
IN-09,"Hollingsworth, Trey",R,1,1,1,"174,791","130,627",R,D,34.2,61.1,40.7,57.2,46.2,52.7
KS-01,"Marshall, Roger",R,0,0,0,"169,992","67,739",R,I,24.3,69.3,27.6,70.1,31,67.2
KS-02,"Jenkins, Lynn",R,1,1,1,"181,228","96,840",R,D,37.4,55.8,42,55.6,45.3,52.8
KS-03,"Yoder, Kevin",R,1,1,1,"176,022","139,300",R,D,47.2,46,44.3,53.8,48.8,49.9
KS-04,"Pompeo, Mike",R,1,1,1,"166,998","81,495",R,D,33,60.2,36.1,61.6,39.5,58.6
KY-01,"Comer, James",R,1,1,1,"216,959","81,710",R,D,23.9,72.4,32.1,66.4,36.9,61.6
KY-02,"Guthrie, Brett",R,1,1,0,"251,825",0,R,NONE,27.6,67.5,35.1,63.3,37.2,61.5
KY-03,"Yarmuth, John",D,1,1,1,"212,401","122,093",D,R,54.9,39.9,55.7,42.8,56.2,42.8
KY-04,"Massie, Thomas",R,1,1,1,"233,922","94,065",R,D,29.3,65.2,34.8,63.4,37,61.5
KY-05,"Rogers, Hal",R,1,1,0,"221,242",0,R,NONE,17.5,79.6,23.2,75,31.6,66.6
KY-06,"Barr, Andy",R,1,1,1,"202,099","128,728",R,D,39.4,54.7,42.2,55.8,44.8,53.7
LA-01,"Scalise, Steve",R,1,1,1,"243,645","41,840",R,D,26.7,68.7,26.9,70.9,25.3,72.7
LA-02,"Richmond, Cedric",D,1,1,1,"198,289","57,125",D,D,74.6,22.2,75.8,22.8,73.4,25.4
LA-03,"Higgins, Clay",R,0,0,0,"91,532","84,912",R,R,29.2,67.3,32.3,66.1,34.1,64.2
LA-04,"Johnson, Mike",R,0,0,0,"80,593","70,580",D,R,36.6,60.6,39.7,59,39.9,58.9
LA-05,"Abraham, Ralph",R,1,1,1,"208,545","47,117",R,R,34.1,63.5,37.7,61,36.7,62
LA-06,"Graves, Garret",R,1,1,1,"207,483","49,380",R,D,31,64.8,32,66.1,30.9,67.5
MA-01,"Neal, Richard",D,1,1,1,"235,803","57,504",D,I,57.2,36.5,64,34.3,64.1,33.7
MA-02,"McGovern, Jim",D,1,1,1,"275,487","4,924",D,write in,56.2,36.8,58.7,39.2,60.4,37.5
MA-03,"Tsongas, Niki",D,1,1,1,"236,713","107,519",D,R,58.2,35.4,56.9,41.4,58.8,39.4
MA-04,"Kennedy, Joe",D,1,1,1,"265,823","113,055",D,R,59.2,35,57.1,41.3,60.4,37.9
MA-05,"Clark, Katherine",D,1,1,1,"285,606","4,201",D,Write in,69.3,25.7,65.2,33.1,66.2,32.1
MA-06,"Moulton, Seth",D,1,1,1,"308,923","5,132",D,Write in,56.1,38.2,54.7,43.9,56.9,41.4
MA-07,"Capuano, Mike",D,1,1,1,"253,354","3,557",D,Write in,84.1,11.9,82.5,15.6,81.9,16.7
MA-08,"Lynch, Stephen",D,1,1,1,"271,019","102,744",D,R,60.4,34.4,57.8,40.8,57.9,40.5
MA-09,"Keating, Bill",D,1,1,1,"211,790","127,803",D,R,52.5,41.8,55.5,43.1,57.8,40.6
MD-01,"Harris, Andy",R,1,1,1,"242,574","103,622",R,D,33.4,62,37.7,60.4,38.4,59.6
MD-02,"Ruppersberger, Dutch",D,1,1,1,"192,183","102,577",D,R,60.1,35.7,63.1,35,60.6,37.5
MD-03,"Sarbanes, John",D,1,1,1,"214,640","115,048",D,R,62.8,32.3,60.7,37.1,60.1,38
MD-04,"Brown, Anthony",D,0,0,0,"237,501","68,670",D,R,77.2,19.7,78.1,20.8,77.3,21.8
MD-05,"Hoyer, Steny",D,1,1,1,"242,989","105,931",D,R,64.1,32.1,66.1,32.4,65.1,33.6
MD-06,"Delaney, John",D,1,1,1,"185,770","133,081",D,R,55.3,40.2,55.2,42.8,56.3,42
MD-07,"Cummings, Elijah",D,1,1,1,"238,838","69,556",D,R,75.8,20.2,76.2,22.3,76.2,22.4
MD-08,"Raskin, Jamie",D,0,0,0,"220,657","124,651",D,R,65,30.6,62,36,62.8,35.6
ME-01,"Pingree, Chellie",D,1,1,1,"227,546","164,569",D,R,54.1,39.3,59.6,38.2,60.7,37.5
ME-02,"Poliquin, Bruce",R,1,1,1,"192,878","159,081",R,D,41.1,51.4,52.9,44.4,54.6,43.4
MI-01,"Bergman, Jack",R,0,0,0,"197,777","144,334",R,D,36.6,57.9,45.3,53.6,49.7,48.4
MI-02,"Huizenga, Bill",R,1,1,1,"212,508","110,391",R,D,38.2,55.8,43.1,56,48,50.3
MI-03,"Amash, Justin",R,1,1,1,"203,545","128,400",R,D,42.2,51.6,45.8,53.1,49.7,48.6
MI-04,"Moolenaar, John",R,1,1,1,"194,572","101,277",R,D,34.7,59.5,45.5,53.5,49.6,48.6
MI-05,"Kildee, Dan",D,1,1,1,"195,279","112,102",D,R,49.7,45.5,60.7,38.3,63,35.3
MI-06,"Upton, Fred",R,1,1,1,"193,259","119,980",R,D,42.9,51.3,48.8,50.2,53.1,45.2
MI-07,"Walberg, Tim",R,1,1,1,"184,321","134,010",R,D,38.7,55.7,47.9,51,50.8,47.4
MI-08,"Bishop, Mike",R,1,1,1,"205,629","143,791",R,D,43.9,50.6,48,51.1,52,46.4
MI-09,"Levin, Sander",D,1,1,1,"199,661","128,937",D,R,51.5,43.7,57.2,41.9,58.1,40.1
MI-10,"Mitchell, Paul",R,0,0,0,"215,132","110,112",R,D,31.6,63.8,43.7,55.3,48,50
MI-11,"Trott, Dave",R,1,1,1,"200,872","152,461",R,D,45.3,49.7,46.9,52.3,50.2,48.3
MI-12,"Dingell, Debbie",D,1,1,1,"211,378","96,104",D,R,60.8,34.5,66.2,32.8,66.9,31.4
MI-13,"Conyers, John",D,1,1,1,"198,771","40,541",D,R,78.8,18.1,85.2,14.3,84.8,14.2
MI-14,"Lawrence, Brenda",D,1,1,1,"244,135","58,103",D,R,79.2,18.3,81,18.6,82.2,17.1
MN-01,"Walz, Tim",D,1,1,1,"169,074","166,526",D,R,38.4,53.3,49.6,48.2,50.8,46.7
MN-02,"Lewis, Jason",R,0,0,0,"173,970","167,315",R,D,45.3,46.5,49.1,49,50.5,47.6
MN-03,"Paulsen, Erik",R,1,1,1,"223,077","169,243",R,D,50.8,41.4,49.6,48.8,51,47.4
MN-04,"McCollum, Betty",D,1,1,1,"203,299","121,032",D,R,61.5,30.6,62.5,35.5,62.6,35.5
MN-05,"Ellison, Keith",D,1,1,1,"249,964","80,660",D,R,73.7,18.5,73.5,24,73.4,24.5
MN-06,"Emmer, Tom",R,1,1,1,"235,380","123,008",R,D,33.2,58.9,41.5,56.5,43.2,54.7
MN-07,"Peterson, Collin",D,1,1,1,"173,589","156,952",D,R,31,61.8,44.1,53.9,47.1,50.4
MN-08,"Nolan, Rick",D,1,1,1,"179,098","177,089",D,R,38.6,54.2,51.7,46.2,53.1,44.5
MO-01,"Clay, Lacy",D,1,1,1,"236,993","62,714",D,R,77,18.8,79.9,18.9,80.3,18.6
MO-02,"Wagner, Ann",R,1,1,1,"241,954","155,689",R,D,42.3,52.6,41.4,57.1,46.4,52.6
MO-03,"Luetkemeyer, Blaine",R,1,1,1,"249,865","102,891",R,D,28.1,67.1,36.1,62,42.8,55.8
MO-04,"Hartzler, Vicki",R,1,1,1,"225,348","92,510",R,D,29.3,65.3,36.4,61.2,41.9,56.5
MO-05,"Cleaver, Emanuel",D,1,1,1,"190,766","123,771",D,R,54.1,40.6,58.9,39.4,62,36.8
MO-06,"Graves, Sam",R,1,1,1,"238,388","99,692",R,D,31.7,63.1,37.9,60,43.1,55.3
MO-07,"Long, Billy",R,1,1,1,"228,692","92,756",R,D,24.7,70.4,30.3,67.6,35.3,63.1
MO-08,"Smith, Jason",R,1,1,1,"229,792","70,009",R,D,21,75.4,32,65.9,38.3,60
MS-01,"Kelly, Trent",R,1,1,1,"206,455","83,947",R,D,32.4,65.4,37,61.9,36.6,62.4
MS-02,"Thompson, Bennie",D,1,1,1,"192,343","83,542",D,R,63.6,35.1,66.4,33,64.2,35.2
MS-03,"Harper, Gregg",R,1,1,1,"209,490","96,101",R,D,36.8,61.3,39.1,60,38.4,60.8
MS-04,"Palazzo, Steven",R,1,1,1,"181,323","77,505",R,D,28.2,69.4,31.2,67.6,31.1,67.9
MT-AL,"Zinke, Ryan",R,1,1,1,"285,358","205,919",R,D,35.9,56.5,41.7,55.4,47.3,49.5
NC-01,"Butterfield, G.K.",D,1,1,1,"240,661","101,567",D,R,67.5,30.5,68.6,31.4,67.3,32.2
NC-02,"Holding, George",R,1,1,1,"221,485","169,082",R,D,43.6,53.2,43.5,56.5,44.8,54.3
NC-03,"Jones, Walter",R,1,1,1,"217,531","106,170",R,D,36.9,60.5,41,59,42.4,56.8
