district,inc_name,inc_party,inc_ran,inc_won,had_challenger,winner_votes,runnerup_votes,winner_party,runnerup_party,"Clinton2016","Trump2016",Obama 2012,Romney 2012,Obama 2008,McCain 2008
AK-AL,"Young, Don",R,1,1,1,"155,088","111,019",R,D,37.6,52.8,41.2,55.3,38.1,59.7
AL-01,"Byrne, Bradley",R,1,1,0,"208,083","7,810",R,write in,34.1,63.5,37.4,61.8,38.5,60.9
AL-02,"Roby, Martha",R,1,1,1,"134,886","112,089",R,D,33,64.9,36.4,62.9,35,64.5
AL-03,"Rogers, Mike",R,1,1,1,"192,164","94,549",R,D,32.3,65.3,36.8,62.3,36.6,62.6
AL-04,"Aderholt, Rob",R,1,1,0,"235,925","3,519",R,write in,17.4,80.4,24,74.8,25.5,73.3
AL-05,"Brooks, Mo",R,1,1,1,"205,647","102,234",R,D,31.3,64.7,34.9,63.9,36.3,62.6
AL-06,"Palmer, Gary",R,1,1,1,"245,313","83,709",R,D,26.1,70.8,24.7,74.3,25,74.1
AL-07,"Sewell, Terri",D,1,1,0,"229,330","3,698",D,write in,69.8,28.6,72.4,27.1,71.5,28.1
AR-01,"Crawford, Rick",R,1,1,1,"183,866","57,181",R,L,30.2,65,36.3,61,39.2,58
AR-02,"Hill, French",R,1,1,1,"176,472","111,347",R,D,41.7,52.4,42.9,54.7,44.3,53.8
AR-03,"Womack, Steve",R,1,1,1,"217,192","63,715",R,L,30.5,61.9,31.6,65.5,33.9,63.7
AR-04,"Westerman, Bruce",R,1,1,1,"182,885","61,274",R,L,31.3,64.2,35.9,61.8,37.4,59.9
AZ-01,"O'Halleran, Tom",D,0,0,0,"142,219","121,745",D,R,46.6,47.7,47.9,50.4,47.8,51
AZ-02,"McSally, Martha",R,1,1,1,"179,806","135,873",R,D,49.6,44.7,48.4,49.9,48.9,49.8
AZ-03,"Grijalva, Raul",D,1,1,0,"148,973","2,062",D,write in,62.4,32.5,61.4,36.9,58.2,40.7
AZ-04,"Gosar, Paul",R,1,1,1,"203,487","81,296",R,D,27.5,67.7,31,67.2,34.4,64.2
AZ-05,"Biggs, Andy",R,0,0,0,"205,184","114,940",R,D,36.5,57.6,34.6,63.8,36.3,62.6
AZ-06,"Schweikert, David",R,1,1,1,"201,578","122,866",R,D,42.4,52.4,38.8,59.5,41.2,57.7
AZ-07,"Gallego, Ruben",D,1,1,1,"119,465","39,286",D,R,71.8,22.6,71.7,26.5,64.7,34.1
AZ-08,"Franks, Trent",R,1,1,1,"204,942","93,954",R,G,37,58.1,36.9,61.7,38.4,60.6
AZ-09,"Sinema, Kyrsten",D,1,1,1,"169,055","108,350",D,R,54.7,38.4,51.1,46.6,51.3,47.4
CA-01,"LaMalfa, Doug",R,1,1,1,"185,448","128,588",R,D,36.5,56.2,40.3,56.6,42,53
CA-02,"Huffman, Jared",D,1,1,1,"254,194","76,572",D,R,69,23.3,69,27,71,25
CA-03,"Garamendi, John",D,1,1,1,"152,513","104,453",D,R,53,40.4,54.3,43.1,55,42
CA-04,"McClintock, Tom",R,1,1,1,"220,133","130,845",R,D,39.3,54,39.5,57.9,43,54
CA-05,"Thompson, Mike",D,1,1,1,"224,526","67,565",D,R,69.2,24.3,69.7,27.5,70,26
CA-06,"Matsui, Doris",D,1,1,1,"177,565","57,848",D,R,69.2,24.4,69.1,28.3,68,29
CA-07,"Bera, Ami",D,1,1,1,"152,133","145,168",D,R,52.3,40.9,50.8,46.8,51,46
CA-08,"Cook, Paul",R,1,1,1,"136,972","83,035",R,D,39.6,54.7,41.7,55.6,42,55
CA-09,"McNerney, Jerry",D,1,1,1,"133,163","98,992",D,R,56.6,38,57.8,40.1,56,41
CA-10,"Denham, Jeff",R,1,1,1,"124,671","116,470",R,D,48.5,45.5,50.6,47,50,47
CA-11,"DeSaulnier, Mark",D,1,1,1,"214,868","83,341",D,R,71.5,22.7,67.6,30,69,28
CA-12,"Pelosi, Nancy",D,1,1,1,"274,035","64,810",D,I,86.2,8.7,84.1,12.5,84,13
CA-13,"Lee, Barbara",D,1,1,1,"293,117","29,754",D,R,87.4,6.8,87.5,9,87,10
CA-14,"Speier, Jackie",D,1,1,1,"231,630","54,817",D,R,76.9,18.2,74.2,23.6,73,24
CA-15,"Swalwell, Eric",D,1,1,1,"198,578","70,619",D,R,69.9,24.2,68,29.8,67,30
CA-16,"Costa, Jim",D,1,1,1,"97,473","70,483",D,R,58,36.4,58.6,39.4,57,40
CA-17,"Khanna, Ro",D,1,0,1,"142,268","90,924",D,D,73.9,20.5,71.9,25.5,69,28
CA-18,"Eshoo, Anna",D,1,1,1,"230,460","93,470",D,R,73.4,20.2,68.2,28.9,70,27
CA-19,"Lofgren, Zoe",D,1,1,1,"181,802","64,061",D,R,72.9,21.5,71.2,26.5,68,29
CA-20,"Panetta, Jimmy",D,0,0,0,"180,980","74,811",D,R,70.4,23.2,70.9,26.2,71,26
CA-21,"Valadao, David",R,1,1,1,"75,126","57,282",R,D,55.2,39.7,54.6,43.5,52,46
CA-22,"Nunes, Devin",R,1,1,1,"158,755","76,211",R,D,42.6,52.1,41.6,56.6,42,55
CA-23,"McCarthy, Kevin",R,1,1,1,"167,116","74,468",R,D,36.1,58.1,36.1,61.5,36,61
CA-24,"Carbajal, Salud",D,0,0,0,"166,034","144,780",D,D,56.7,36.5,54.1,43.1,56,41
CA-25,"Knight, Steve",R,1,1,1,"138,755","122,406",R,D,50.3,43.6,47.8,49.7,49,48
CA-26,"Brownley, Julia",D,1,1,1,"169,248","111,059",D,R,57.9,36,54,43.7,56,41
CA-27,"Chu, Judy",D,1,1,1,"168,977","81,655",D,R,66,28.4,62.6,35,61,35
