All,Name,Party,State,bioguide
"Collins, Doug (Republican - Georgia)","Collins, Doug ",Republican , Georgia),C001093
"Collins, Mac (Republican - Georgia)","Collins, Mac ",Republican , Georgia),C000640
"Coverdell, Paul (Republican - Georgia)","Coverdell, Paul ",Republican , Georgia),C000813
"Davis, John W. (Democratic - Georgia)","Davis, John W. ",Democratic , Georgia),D000122
"Deal, Nathan (Democratic - Georgia)","Deal, Nathan ",Democratic , Georgia),D000168
"Evans, Billy Lee (Democratic - Georgia)","Evans, Billy Lee ",Democratic , Georgia),E000233
"Ferguson, A. Drew, IV (Republican - Georgia)","Ferguson, A. Drew, IV ",Republican , Georgia),F000465
"Flynt, John J., Jr. (Democratic - Georgia)","Flynt, John J., Jr. ",Democratic , Georgia),F000229
"Fowler, Wyche, Jr. (Democratic - Georgia)","Fowler, Wyche, Jr. ",Democratic , Georgia),F000329
"Gingrey, Phil (Republican - Georgia)","Gingrey, Phil ",Republican , Georgia),G000550
"Gingrich, Newt (Republican - Georgia)","Gingrich, Newt ",Republican , Georgia),G000225
"Ginn, Bo (Democratic - Georgia)","Ginn, Bo ",Democratic , Georgia),G000226
"Graves, Tom (Republican - Georgia)","Graves, Tom ",Republican , Georgia),G000560
"Hatcher, Charles (Democratic - Georgia)","Hatcher, Charles ",Democratic , Georgia),H000340
"Hice, Jody B. (Republican - Georgia)","Hice, Jody B. ",Republican , Georgia),H001071
"Isakson, Johnny (Republican - Georgia)","Isakson, Johnny ",Republican , Georgia),I000055
"Jenkins, Edgar L. (Democratic - Georgia)","Jenkins, Edgar L. ",Democratic , Georgia),J000083
"Johnson, Don (Democratic - Georgia)","Johnson, Don ",Democratic , Georgia),J000120
"Johnson, Henry C. ""Hank,"" Jr. (Democratic - Georgia)","Johnson, Henry C. ""Hank,"" Jr. ",Democratic , Georgia),J000288
"Jones, Ben (Democratic - Georgia)","Jones, Ben ",Democratic , Georgia),J000211
"Kingston, Jack (Republican - Georgia)","Kingston, Jack ",Republican , Georgia),K000220
"Landrum, Phil M. (Democratic - Georgia)","Landrum, Phil M. ",Democratic , Georgia),L000054
"Levitas, Elliott H. (Democratic - Georgia)","Levitas, Elliott H. ",Democratic , Georgia),L000265
"Lewis, John (Democratic - Georgia)","Lewis, John ",Democratic , Georgia),L000287
"Linder, John (Republican - Georgia)","Linder, John ",Republican , Georgia),L000321
"Loudermilk, Barry (Republican - Georgia)","Loudermilk, Barry ",Republican , Georgia),L000583
"Majette, Denise L. (Democratic - Georgia)","Majette, Denise L. ",Democratic , Georgia),M001145
"Marshall, Jim (Democratic - Georgia)","Marshall, Jim ",Democratic , Georgia),M001146
"Mathis, Dawson (Democratic - Georgia)","Mathis, Dawson ",Democratic , Georgia),M000244
"Mattingly, Mack (Republican - Georgia)","Mattingly, Mack ",Republican , Georgia),M000257
"McDonald, Lawrence P. (Democratic - Georgia)","McDonald, Lawrence P. ",Democratic , Georgia),M000413
"McKinney, Cynthia A. (Democratic - Georgia)","McKinney, Cynthia A. ",Democratic , Georgia),M000523
"Miller, Zell (Democratic - Georgia)","Miller, Zell ",Democratic , Georgia),M001141
"Norwood, Charles W. (Republican - Georgia)","Norwood, Charles W. ",Republican , Georgia),N000159
"Nunn, Sam (Democratic - Georgia)","Nunn, Sam ",Democratic , Georgia),N000171
"Perdue, David (Republican - Georgia)","Perdue, David ",Republican , Georgia),P000612
"Price, Tom (Republican - Georgia)","Price, Tom ",Republican , Georgia),P000591
"Ray, Richard B. (Democratic - Georgia)","Ray, Richard B. ",Democratic , Georgia),R000080
"Rowland, J. Roy (Democratic - Georgia)","Rowland, J. Roy ",Democratic , Georgia),R000481
"Scott, Austin (Republican - Georgia)","Scott, Austin ",Republican , Georgia),S001189
"Scott, David (Democratic - Georgia)","Scott, David ",Democratic , Georgia),S001157
"Stephens, Robert G., Jr. (Democratic - Georgia)","Stephens, Robert G., Jr. ",Democratic , Georgia),S000860
"Swindall, Patrick L. (Republican - Georgia)","Swindall, Patrick L. ",Republican , Georgia),S001122
"Talmadge, Herman E. (Democratic - Georgia)","Talmadge, Herman E. ",Democratic , Georgia),T000035
"Thomas, Lindsay (Democratic - Georgia)","Thomas, Lindsay ",Democratic , Georgia),T000184
"Westmoreland, Lynn A. (Republican - Georgia)","Westmoreland, Lynn A. ",Republican , Georgia),W000796
"Woodall, Rob (Republican - Georgia)","Woodall, Rob ",Republican , Georgia),W000810
"Young, Andrew (Democratic - Georgia)","Young, Andrew ",Democratic , Georgia),Y000028
"Blaz, Ben G. (Republican - Guam)","Blaz, Ben G. ",Republican , Guam),B000551
"Bordallo, Madeleine Z. (Democratic - Guam)","Bordallo, Madeleine Z. ",Democratic , Guam),B001245
"Underwood, Robert A. (Democratic - Guam)","Underwood, Robert A. ",Democratic , Guam),U000014
"Won Pat, Antonio B. (Democratic - Guam)","Won Pat, Antonio B. ",Democratic , Guam),W000686
"Abercrombie, Neil (Democratic - Hawaii)","Abercrombie, Neil ",Democratic , Hawaii),A000014
"Akaka, Daniel K. (Democratic - Hawaii)","Akaka, Daniel K. ",Democratic , Hawaii),A000069
"Case, Ed (Democratic - Hawaii)","Case, Ed ",Democratic , Hawaii),C001055
"Djou, Charles K. (Republican - Hawaii)","Djou, Charles K. ",Republican , Hawaii),D000611
"Fong, Hiram L. (Republican - Hawaii)","Fong, Hiram L. ",Republican , Hawaii),F000245
"Gabbard, Tulsi (Democratic - Hawaii)","Gabbard, Tulsi ",Democratic , Hawaii),G000571
"Hanabusa, Colleen (Democratic - Hawaii)","Hanabusa, Colleen ",Democratic , Hawaii),H001050
"Heftel, Cecil (Democratic - Hawaii)","Heftel, Cecil ",Democratic , Hawaii),H000449
"Hirono, Mazie K. (Democratic - Hawaii)","Hirono, Mazie K. ",Democratic , Hawaii),H001042
"Inouye, Daniel K. (Democratic - Hawaii)","Inouye, Daniel K. ",Democratic , Hawaii),I000025
"Matsunaga, Spark M. (Democratic - Hawaii)","Matsunaga, Spark M. ",Democratic , Hawaii),M000250
"Mink, Patsy T. (Democratic - Hawaii)","Mink, Patsy T. ",Democratic , Hawaii),M000797
"Saiki, Patricia (Republican - Hawaii)","Saiki, Patricia ",Republican , Hawaii),S000014
"Schatz, Brian (Democratic - Hawaii)","Schatz, Brian ",Democratic , Hawaii),S001194
"Takai, Mark (Democratic - Hawaii)","Takai, Mark ",Democratic , Hawaii),T000473
"Chenoweth-Hage, Helen (Republican - Idaho)","Chenoweth-Hage, Helen ",Republican , Idaho),C000345
"Church, Frank (Democratic - Idaho)","Church, Frank ",Democratic , Idaho),C000388
"Craig, Larry E. (Republican - Idaho)","Craig, Larry E. ",Republican , Idaho),C000858
"Crapo, Mike (Republican - Idaho)","Crapo, Mike ",Republican , Idaho),C000880
"Hansen, George V. (Republican - Idaho)","Hansen, George V. ",Republican , Idaho),H000171
"Hansen, Orval (Republican - Idaho)","Hansen, Orval ",Republican , Idaho),H000175
"Kempthorne, Dirk (Republican - Idaho)","Kempthorne, Dirk ",Republican , Idaho),K000088
"Labrador, Raul R. (Republican - Idaho)","Labrador, Raul R. ",Republican , Idaho),L000573
"LaRocco, Larry (Democratic - Idaho)","LaRocco, Larry ",Democratic , Idaho),L000098
"McClure, James A. (Republican - Idaho)","McClure, James A. ",Republican , Idaho),M000346
"Minnick, Walter (Democratic - Idaho)","Minnick, Walter ",Democratic , Idaho),M001175
"Risch, James E. (Republican - Idaho)","Risch, James E. ",Republican , Idaho),R000584
"Sali, Bill (Republican - Idaho)","Sali, Bill ",Republican , Idaho),S001167
"Simpson, Michael K. (Republican - Idaho)","Simpson, Michael K. ",Republican , Idaho),S001148
"Stallings, Richard H. (Democratic - Idaho)","Stallings, Richard H. ",Democratic , Idaho),S000785
"Symms, Steven D. (Republican - Idaho)","Symms, Steven D. ",Republican , Idaho),S001138
"Anderson, John B. (Republican - Illinois)","Anderson, John B. ",Republican , Illinois),A000195
"Annunzio, Frank (Democratic - Illinois)","Annunzio, Frank ",Democratic , Illinois),A000212
"Arends, Leslie C. (Republican - Illinois)","Arends, Leslie C. ",Republican , Illinois),A000216
"Bean, Melissa L. (Democratic - Illinois)","Bean, Melissa L. ",Democratic , Illinois),B001253
"Biggert, Judy (Republican - Illinois)","Biggert, Judy ",Republican , Illinois),B001232
"Blagojevich, Rod R. (Democratic - Illinois)","Blagojevich, Rod R. ",Democratic , Illinois),B000518
"Bost, Mike (Republican - Illinois)","Bost, Mike ",Republican , Illinois),B001295
"Bruce, Terry L. (Democratic - Illinois)","Bruce, Terry L. ",Democratic , Illinois),B000971
"Burris, Roland (Democratic - Illinois)","Burris, Roland ",Democratic , Illinois),B001266
"Bustos, Cheri (Democratic - Illinois)","Bustos, Cheri ",Democratic , Illinois),B001286
"Collier, Harold R. (Republican - Illinois)","Collier, Harold R. ",Republican , Illinois),C000629
"Collins, Cardiss (Democratic - Illinois)","Collins, Cardiss ",Democratic , Illinois),C000634
"Corcoran, Tom (Republican - Illinois)","Corcoran, Tom ",Republican , Illinois),C000773
"Costello, Jerry F. (Democratic - Illinois)","Costello, Jerry F. ",Democratic , Illinois),C000794
"Cox, John W., Jr. (Democratic - Illinois)","Cox, John W., Jr. ",Democratic , Illinois),C000836
"Crane, Daniel B. (Republican - Illinois)","Crane, Daniel B. ",Republican , Illinois),C000871
"Crane, Philip M. (Republican - Illinois)","Crane, Philip M. ",Republican , Illinois),C000873
"Davis, Danny K. (Democratic - Illinois)","Davis, Danny K. ",Democratic , Illinois),D000096
"Davis, Jack (Republican - Illinois)","Davis, Jack ",Republican , Illinois),D000106
"Davis, Rodney (Republican - Illinois)","Davis, Rodney ",Republican , Illinois),D000619
"Derwinski, Edward J. (Republican - Illinois)","Derwinski, Edward J. ",Republican , Illinois),D000269
"Dixon, Alan J. (Democratic - Illinois)","Dixon, Alan J. ",Democratic , Illinois),D000366
"Dold, Robert J. (Republican - Illinois)","Dold, Robert J. ",Republican , Illinois),D000613
"Duckworth, Tammy (Democratic - Illinois)","Duckworth, Tammy ",Democratic , Illinois),D000622
"Durbin, Richard J. (Democratic - Illinois)","Durbin, Richard J. ",Democratic , Illinois),D000563
"Emanuel, Rahm (Democratic - Illinois)","Emanuel, Rahm ",Democratic , Illinois),E000287
"Enyart, William L. (Democratic - Illinois)","Enyart, William L. ",Democratic , Illinois),E000292
"Erlenborn, John N. (Republican - Illinois)","Erlenborn, John N. ",Republican , Illinois),E000204
"Evans, Lane (Democratic - Illinois)","Evans, Lane ",Democratic , Illinois),E000250
"Ewing, Thomas W. (Republican - Illinois)","Ewing, Thomas W. ",Republican , Illinois),E000282
"Fary, John G. (Democratic - Illinois)","Fary, John G. ",Democratic , Illinois),F000040
"Fawell, Harris W. (Republican - Illinois)","Fawell, Harris W. ",Republican , Illinois),F000049
"Findley, Paul (Republican - Illinois)","Findley, Paul ",Republican , Illinois),F000123
"Fitzgerald, Peter (Republican - Illinois)","Fitzgerald, Peter ",Republican , Illinois),F000442
"Flanagan, Michael Patrick (Republican - Illinois)","Flanagan, Michael Patrick ",Republican , Illinois),F000187
"Foster, Bill (Democratic - Illinois)","Foster, Bill ",Democratic , Illinois),F000454
"Gray, Kenneth J. (Democratic - Illinois)","Gray, Kenneth J. ",Democratic , Illinois),G000400
"Grotberg, John E. (Republican - Illinois)","Grotberg, John E. ",Republican , Illinois),G000499
"Gutierrez, Luis V. (Democratic - Illinois)","Gutierrez, Luis V. ",Democratic , Illinois),G000535
"Hall, Tim L. (Democratic - Illinois)","Hall, Tim L. ",Democratic , Illinois),H000073
"Halvorson, Deborah L. (Democratic - Illinois)","Halvorson, Deborah L. ",Democratic , Illinois),H001044
"Hanrahan, Robert P. (Republican - Illinois)","Hanrahan, Robert P. ",Republican , Illinois),H000168
"Hare, Phil (Democratic - Illinois)","Hare, Phil ",Democratic , Illinois),H001040
"Hastert, J. Dennis (Republican - Illinois)","Hastert, J. Dennis ",Republican , Illinois),H000323
"Hayes, Charles A. (Democratic - Illinois)","Hayes, Charles A. ",Democratic , Illinois),H000388
"Hultgren, Randy (Republican - Illinois)","Hultgren, Randy ",Republican , Illinois),H001059
"Hyde, Henry J. (Republican - Illinois)","Hyde, Henry J. ",Republican , Illinois),H001022
"Jackson, Jesse L., Jr. (Democratic - Illinois)","Jackson, Jesse L., Jr. ",Democratic , Illinois),J000283
"Johnson, Timothy V. (Republican - Illinois)","Johnson, Timothy V. ",Republican , Illinois),J000285
"Kelly, Robin L. (Democratic - Illinois)","Kelly, Robin L. ",Democratic , Illinois),K000385
"Kinzinger, Adam (Republican - Illinois)","Kinzinger, Adam ",Republican , Illinois),K000378
"Kirk, Mark Steven (Republican - Illinois)","Kirk, Mark Steven ",Republican , Illinois),K000360
"Kluczynski, John C. (Democratic - Illinois)","Kluczynski, John C. ",Democratic , Illinois),K000273
"Krishnamoorthi, Raja (Democratic - Illinois)","Krishnamoorthi, Raja ",Democratic , Illinois),K000391
"LaHood, Darin (Republican - Illinois)","LaHood, Darin ",Republican , Illinois),L000585
"LaHood, Ray (Republican - Illinois)","LaHood, Ray ",Republican , Illinois),L000552
"Lipinski, Daniel (Democratic - Illinois)","Lipinski, Daniel ",Democratic , Illinois),L000563
"Lipinski, William O. (Democratic - Illinois)","Lipinski, William O. ",Democratic , Illinois),L000342
"Madigan, Edward R. (Republican - Illinois)","Madigan, Edward R. ",Republican , Illinois),M000041
"Manzullo, Donald A. (Republican - Illinois)","Manzullo, Donald A. ",Republican , Illinois),M001138
"Martin, Lynn M. (Republican - Illinois)","Martin, Lynn M. ",Republican , Illinois),M000195
"McClory, Robert (Republican - Illinois)","McClory, Robert ",Republican , Illinois),M000340
"Metcalfe, Ralph H. (Democratic - Illinois)","Metcalfe, Ralph H. ",Democratic , Illinois),M000675
"Michel, Robert H. (Republican - Illinois)","Michel, Robert H. ",Republican , Illinois),M000692
"Mikva, Abner J. (Democratic - Illinois)","Mikva, Abner J. ",Democratic , Illinois),M000703
"Moseley-Braun, Carol (Democratic - Illinois)","Moseley-Braun, Carol ",Democratic , Illinois),M001025
"Murphy, Morgan F. (Democratic - Illinois)","Murphy, Morgan F. ",Democratic , Illinois),M001101
"O'Brien, George M. (Republican - Illinois)","O'Brien, George M. ",Republican , Illinois),O000010
"Obama, Barack (Democratic - Illinois)","Obama, Barack ",Democratic , Illinois),O000167
"Percy, Charles H. (Republican - Illinois)","Percy, Charles H. ",Republican , Illinois),P000222
"Phelps, David D. (Democratic - Illinois)","Phelps, David D. ",Democratic , Illinois),P000584
"Porter, John Edward (Republican - Illinois)","Porter, John Edward ",Republican , Illinois),P000444
"Poshard, Glenn (Democratic - Illinois)","Poshard, Glenn ",Democratic , Illinois),P000452
"Price, Melvin (Democratic - Illinois)","Price, Melvin ",Democratic , Illinois),P000522
"Quigley, Mike (Democratic - Illinois)","Quigley, Mike ",Democratic , Illinois),Q000023
"Railsback, Thomas F. (Republican - Illinois)","Railsback, Thomas F. ",Republican , Illinois),R000012
"Reynolds, Mel (Democratic - Illinois)","Reynolds, Mel ",Democratic , Illinois),R000178
"Roskam, Peter J. (Republican - Illinois)","Roskam, Peter J. ",Republican , Illinois),R000580
"Rostenkowski, Dan (Democratic - Illinois)","Rostenkowski, Dan ",Democratic , Illinois),R000458
"Rush, Bobby L. (Democratic - Illinois)","Rush, Bobby L. ",Democratic , Illinois),R000515
"Russo, Martin A. (Democratic - Illinois)","Russo, Martin A. ",Democratic , Illinois),R000543
"Sangmeister, George E. (Democratic - Illinois)","Sangmeister, George E. ",Democratic , Illinois),S000056
"Savage, Gus (Democratic - Illinois)","Savage, Gus ",Democratic , Illinois),S000081
"Schakowsky, Janice D. (Democratic - Illinois)","Schakowsky, Janice D. ",Democratic , Illinois),S001145
"Schilling, Robert T. (Republican - Illinois)","Schilling, Robert T. ",Republican , Illinois),S001182
"Schneider, Bradley Scott (Democratic - Illinois)","Schneider, Bradley Scott ",Democratic , Illinois),S001190
"Schock, Aaron (Republican - Illinois)","Schock, Aaron ",Republican , Illinois),S001179
"Shimkus, John (Republican - Illinois)","Shimkus, John ",Republican , Illinois),S000364
"Shipley, George E. (Democratic - Illinois)","Shipley, George E. ",Democratic , Illinois),S000367
"Simon, Paul (Democratic - Illinois)","Simon, Paul ",Democratic , Illinois),S000423
"Stevenson, Adlai E., III (Democratic - Illinois)","Stevenson, Adlai E., III ",Democratic , Illinois),S000890
"Stewart, Bennett McVey (Democratic - Illinois)","Stewart, Bennett McVey ",Democratic , Illinois),S000902
"Walsh, Joe (Republican - Illinois)","Walsh, Joe ",Republican , Illinois),W000811
"Washington, Harold (Democratic - Illinois)","Washington, Harold ",Democratic , Illinois),W000180
"Weller, Jerry (Republican - Illinois)","Weller, Jerry ",Republican , Illinois),W000273
"Yates, Sidney R. (Democratic - Illinois)","Yates, Sidney R. ",Democratic , Illinois),Y000013
"Young, Samuel H. (Republican - Illinois)","Young, Samuel H. ",Republican , Illinois),Y000052
"Banks, Jim (Republican - Indiana)","Banks, Jim ",Republican , Indiana),B001299
"Bayh, Birch (Democratic - Indiana)","Bayh, Birch ",Democratic , Indiana),B000254
"Bayh, Evan (Democratic - Indiana)","Bayh, Evan ",Democratic , Indiana),B001233
"Benjamin, Adam, Jr. (Democratic - Indiana)","Benjamin, Adam, Jr. ",Democratic , Indiana),B000363
"Brademas, John (Democratic - Indiana)","Brademas, John ",Democratic , Indiana),B000736
"Bray, William G. (Republican - Indiana)","Bray, William G. ",Republican , Indiana),B000778
"Brooks, Susan W. (Republican - Indiana)","Brooks, Susan W. ",Republican , Indiana),B001284
"Bucshon, Larry (Republican - Indiana)","Bucshon, Larry ",Republican , Indiana),B001275
"Burton, Dan (Republican - Indiana)","Burton, Dan ",Republican , Indiana),B001149
"Buyer, Steve (Republican - Indiana)","Buyer, Steve ",Republican , Indiana),B001203
"Carson, Andre (Democratic - Indiana)","Carson, Andre ",Democratic , Indiana),C001072
"Carson, Julia (Democratic - Indiana)","Carson, Julia ",Democratic , Indiana),C000191
"Chocola, Chris (Republican - Indiana)","Chocola, Chris ",Republican , Indiana),C001052
"Coats, Daniel (Republican - Indiana)","Coats, Daniel ",Republican , Indiana),C000542
"Cornwell, David L. (Democratic - Indiana)","Cornwell, David L. ",Democratic , Indiana),C000787
"Deckard, Joel (Republican - Indiana)","Deckard, Joel ",Republican , Indiana),D000183
"Dennis, David W. (Republican - Indiana)","Dennis, David W. ",Republican , Indiana),D000241
"Donnelly, Joe (Democratic - Indiana)","Donnelly, Joe ",Democratic , Indiana),D000607
"Ellsworth, Brad (Democratic - Indiana)","Ellsworth, Brad ",Democratic , Indiana),E000289
"Evans, David W. (Democratic - Indiana)","Evans, David W. ",Democratic , Indiana),E000239
"Fithian, Floyd J. (Democratic - Indiana)","Fithian, Floyd J. ",Democratic , Indiana),F000161
"Hall, Katie (Democratic - Indiana)","Hall, Katie ",Democratic , Indiana),H000058
"Hamilton, Lee H. (Democratic - Indiana)","Hamilton, Lee H. ",Democratic , Indiana),H000114
"Hartke, Vance (Democratic - Indiana)","Hartke, Vance ",Democratic , Indiana),H000297
"Hayes, Philip H. (Democratic - Indiana)","Hayes, Philip H. ",Democratic , Indiana),H000392
"Hiler, John Patrick (Republican - Indiana)","Hiler, John Patrick ",Republican , Indiana),H000586
"Hill, Baron P. (Democratic - Indiana)","Hill, Baron P. ",Democratic , Indiana),H001030
"Hillis, Elwood H. (Republican - Indiana)","Hillis, Elwood H. ",Republican , Indiana),H000624
"Hollingsworth, Trey (Republican - Indiana)","Hollingsworth, Trey ",Republican , Indiana),H001074
"Hostettler, John N. (Republican - Indiana)","Hostettler, John N. ",Republican , Indiana),H000807
"Hudnut, William H., III (Republican - Indiana)","Hudnut, William H., III ",Republican , Indiana),H000906
"Jacobs, Andrew, Jr. (Democratic - Indiana)","Jacobs, Andrew, Jr. ",Democratic , Indiana),J000033
"Jontz, Jim (Democratic - Indiana)","Jontz, Jim ",Democratic , Indiana),J000265
"Kerns, Brian D. (Republican - Indiana)","Kerns, Brian D. ",Republican , Indiana),K000359
"Landgrebe, Earl F. (Republican - Indiana)","Landgrebe, Earl F. ",Republican , Indiana),L000049
"Long, Jill L. (Democratic - Indiana)","Long, Jill L. ",Democratic , Indiana),L000420
"Lugar, Richard G. (Republican - Indiana)","Lugar, Richard G. ",Republican , Indiana),L000504
"Madden, Ray J. (Democratic - Indiana)","Madden, Ray J. ",Democratic , Indiana),M000039
"McCloskey, Frank (Democratic - Indiana)","McCloskey, Frank ",Democratic , Indiana),M000342
"McIntosh, David M. (Republican - Indiana)","McIntosh, David M. ",Republican , Indiana),M000481
"Messer, Luke (Republican - Indiana)","Messer, Luke ",Republican , Indiana),M001189
"Myers, John T. (Republican - Indiana)","Myers, John T. ",Republican , Indiana),M001130
"Pease, Edward A. (Republican - Indiana)","Pease, Edward A. ",Republican , Indiana),P000171
"Pence, Mike (Republican - Indiana)","Pence, Mike ",Republican , Indiana),P000587
"Quayle, Dan (Republican - Indiana)","Quayle, Dan ",Republican , Indiana),Q000007
"Roemer, Tim (Democratic - Indiana)","Roemer, Tim ",Democratic , Indiana),R000385
"Rokita, Todd (Republican - Indiana)","Rokita, Todd ",Republican , Indiana),R000592
"Roush, J. Edward (Democratic - Indiana)","Roush, J. Edward ",Democratic , Indiana),R000467
"Sharp, Philip R. (Democratic - Indiana)","Sharp, Philip R. ",Democratic , Indiana),S000294
"Sodrel, Michael E. (Republican - Indiana)","Sodrel, Michael E. ",Republican , Indiana),S001160
"Souder, Mark E. (Republican - Indiana)","Souder, Mark E. ",Republican , Indiana),S001143
"Stutzman, Marlin A. (Republican - Indiana)","Stutzman, Marlin A. ",Republican , Indiana),S001188
"Visclosky, Peter J. (Democratic - Indiana)","Visclosky, Peter J. ",Democratic , Indiana),V000108
"Walorski, Jackie (Republican - Indiana)","Walorski, Jackie ",Republican , Indiana),W000813
"Young, Todd C. (Republican - Indiana)","Young, Todd C. ",Republican , Indiana),Y000064
"Zion, Roger H. (Republican - Indiana)","Zion, Roger H. ",Republican , Indiana),Z000010
"Bedell, Berkley W. (Democratic - Iowa)","Bedell, Berkley W. ",Democratic , Iowa),B000298
"Blouin, Michael (Democratic - Iowa)","Blouin, Michael ",Democratic , Iowa),B000567
"Blum, Rod (Republican - Iowa)","Blum, Rod ",Republican , Iowa),B001294
"Boswell, Leonard L. (Democratic - Iowa)","Boswell, Leonard L. ",Democratic , Iowa),B000652
"Braley, Bruce L. (Democratic - Iowa)","Braley, Bruce L. ",Democratic , Iowa),B001259
"Clark, Dick (Democratic - Iowa)","Clark, Dick ",Democratic , Iowa),C000448
"Culver, John C. (Democratic - Iowa)","Culver, John C. ",Democratic , Iowa),C000979
"Ernst, Joni (Republican - Iowa)","Ernst, Joni ",Republican , Iowa),E000295
"Evans, Cooper (Republican - Iowa)","Evans, Cooper ",Republican , Iowa),E000259
"Ganske, Greg (Republican - Iowa)","Ganske, Greg ",Republican , Iowa),G000041
"Grandy, Fred (Republican - Iowa)","Grandy, Fred ",Republican , Iowa),G000371
"Grassley, Chuck (Republican - Iowa)","Grassley, Chuck ",Republican , Iowa),G000386
"Gross, H. R. (Republican - Iowa)","Gross, H. R. ",Republican , Iowa),G000495
"Harkin, Tom (Democratic - Iowa)","Harkin, Tom ",Democratic , Iowa),H000206
"Hughes, Harold E. (Democratic - Iowa)","Hughes, Harold E. ",Democratic , Iowa),H000922
"Jepsen, Roger W. (Republican - Iowa)","Jepsen, Roger W. ",Republican , Iowa),J000101
"King, Steve (Republican - Iowa)","King, Steve ",Republican , Iowa),K000362
"Latham, Tom (Republican - Iowa)","Latham, Tom ",Republican , Iowa),L000111
"Leach, James A. (Republican - Iowa)","Leach, James A. ",Republican , Iowa),L000169
"Lightfoot, Jim (Republican - Iowa)","Lightfoot, Jim ",Republican , Iowa),L000305
"Loebsack, David (Democratic - Iowa)","Loebsack, David ",Democratic , Iowa),L000565
"Mayne, Wiley (Republican - Iowa)","Mayne, Wiley ",Republican , Iowa),M000286
"Mezvinsky, Edward (Democratic - Iowa)","Mezvinsky, Edward ",Democratic , Iowa),M000686
"Nagle, Dave R, (Democratic - Iowa)","Nagle, Dave R, ",Democratic , Iowa),N000003
"Nussle, Jim (Republican - Iowa)","Nussle, Jim ",Republican , Iowa),N000172
"Scherle, William J. (Republican - Iowa)","Scherle, William J. ",Republican , Iowa),S000121
"Smith, Neal Edward (Democratic - Iowa)","Smith, Neal Edward ",Democratic , Iowa),S000596
"Tauke, Thomas Joseph (Republican - Iowa)","Tauke, Thomas Joseph ",Republican , Iowa),T000053
"Young, David (Republican - Iowa)","Young, David ",Republican , Iowa),Y000066
"Boyda, Nancy E. (Democratic - Kansas)","Boyda, Nancy E. ",Democratic , Kansas),B001258
"Brownback, Sam (Republican - Kansas)","Brownback, Sam ",Republican , Kansas),B000953
"Dole, Robert J. (Republican - Kansas)","Dole, Robert J. ",Republican , Kansas),D000401
"Estes, Ron (Republican - Kansas)","Estes, Ron ",Republican , Kansas),E000298
"Frahm, Sheila (Republican - Kansas)","Frahm, Sheila ",Republican , Kansas),F000438
"Glickman, Dan (Democratic - Kansas)","Glickman, Dan ",Democratic , Kansas),G000240
"Huelskamp, Tim (Republican - Kansas)","Huelskamp, Tim ",Republican , Kansas),H001057
"Jeffries, Jim (Republican - Kansas)","Jeffries, Jim ",Republican , Kansas),J000074
"Jenkins, Lynn (Republican - Kansas)","Jenkins, Lynn ",Republican , Kansas),J000290
"Kassebaum, Nancy Landon (Republican - Kansas)","Kassebaum, Nancy Landon ",Republican , Kansas),K000017
"Keys, Martha E. (Democratic - Kansas)","Keys, Martha E. ",Democratic , Kansas),K000162
"Marshall, Roger W. (Republican - Kansas)","Marshall, Roger W. ",Republican , Kansas),M001198
"Meyers, Jan (Republican - Kansas)","Meyers, Jan ",Republican , Kansas),M000684
"Moore, Dennis (Democratic - Kansas)","Moore, Dennis ",Democratic , Kansas),M001140
"Moran, Jerry (Republican - Kansas)","Moran, Jerry ",Republican , Kansas),M000934
"Nichols, Dick (Republican - Kansas)","Nichols, Dick ",Republican , Kansas),N000094
"Pearson, James B. (Republican - Kansas)","Pearson, James B. ",Republican , Kansas),P000166
"Pompeo, Mike (Republican - Kansas)","Pompeo, Mike ",Republican , Kansas),P000602
"Roberts, Pat (Republican - Kansas)","Roberts, Pat ",Republican , Kansas),R000307
"Roy, William R. (Democratic - Kansas)","Roy, William R. ",Democratic , Kansas),R000484
"Ryun, Jim (Republican - Kansas)","Ryun, Jim ",Republican , Kansas),R000566
"Sebelius, Keith G. (Republican - Kansas)","Sebelius, Keith G. ",Republican , Kansas),S000217
"Shriver, Garner E. (Republican - Kansas)","Shriver, Garner E. ",Republican , Kansas),S000388
"Skubitz, Joe (Republican - Kansas)","Skubitz, Joe ",Republican , Kansas),S000472
"Slattery, Jim (Democratic - Kansas)","Slattery, Jim ",Democratic , Kansas),S000477
"Snowbarger, Vince (Republican - Kansas)","Snowbarger, Vince ",Republican , Kansas),S000662
"Tiahrt, Todd (Republican - Kansas)","Tiahrt, Todd ",Republican , Kansas),T000260
"Whittaker, Bob (Republican - Kansas)","Whittaker, Bob ",Republican , Kansas),W000426
"Winn, Larry, Jr. (Republican - Kansas)","Winn, Larry, Jr. ",Republican , Kansas),W000636
"Yoder, Kevin (Republican - Kansas)","Yoder, Kevin ",Republican , Kansas),Y000063
"Baesler, Scotty (Democratic - Kentucky)","Baesler, Scotty ",Democratic , Kentucky),B000028
"Barlow, Tom (Democratic - Kentucky)","Barlow, Tom ",Democratic , Kentucky),B000151
"Barr, Andy (Republican - Kentucky)","Barr, Andy ",Republican , Kentucky),B001282
"Breckinridge, John B. (Democratic - Kentucky)","Breckinridge, John B. ",Democratic , Kentucky),B000788
"Bunning, Jim (Republican - Kentucky)","Bunning, Jim ",Republican , Kentucky),B001066
