All,Name,Party,State,bioguide
"Sparkman, John J. (Democratic - Alabama)","Sparkman, John J. ",Democratic , Alabama),S000701
"Stewart, Donald (Democratic - Alabama)","Stewart, Donald ",Democratic , Alabama),S000907
"Strange, Luther (Republican - Alabama)","Strange, Luther ",Republican , Alabama),S001202
"Begich, Mark (Democratic - Alaska)","Begich, Mark ",Democratic , Alaska),B001265
"Gravel, Mike (Democratic - Alaska)","Gravel, Mike ",Democratic , Alaska),G000388
"Murkowski, Frank H. (Republican - Alaska)","Murkowski, Frank H. ",Republican , Alaska),M001085
"Murkowski, Lisa (Republican - Alaska)","Murkowski, Lisa ",Republican , Alaska),M001153
"Stevens, Ted (Republican - Alaska)","Stevens, Ted ",Republican , Alaska),S000888
"Sullivan, Dan (Republican - Alaska)","Sullivan, Dan ",Republican , Alaska),S001198
"Young, Don (Republican - Alaska)","Young, Don ",Republican , Alaska),Y000033
"Faleomavaega, Eni F. H. (Democratic - American Samoa)","Faleomavaega, Eni F. H. ",Democratic , American Samoa),F000010
"Radewagen, Aumua Amata Coleman (Republican - American Samoa)","Radewagen, Aumua Amata Coleman ",Republican , American Samoa),R000600
"Sunia, Foto I. F. (Democratic - American Samoa)","Sunia, Foto I. F. ",Democratic , American Samoa),S001077
"Barber, Ron (Democratic - Arizona)","Barber, Ron ",Democratic , Arizona),B001279
"Biggs, Andy (Republican - Arizona)","Biggs, Andy ",Republican , Arizona),B001302
"Conlan, John B. (Republican - Arizona)","Conlan, John B. ",Republican , Arizona),C000682
"Coppersmith, Sam (Democratic - Arizona)","Coppersmith, Sam ",Democratic , Arizona),C000767
"DeConcini, Dennis (Democratic - Arizona)","DeConcini, Dennis ",Democratic , Arizona),D000185
"English, Karan (Democratic - Arizona)","English, Karan ",Democratic , Arizona),E000186
"Fannin, Paul J. (Republican - Arizona)","Fannin, Paul J. ",Republican , Arizona),F000013
"Flake, Jeff (Republican - Arizona)","Flake, Jeff ",Republican , Arizona),F000444
"Franks, Trent (Republican - Arizona)","Franks, Trent ",Republican , Arizona),F000448
"Gallego, Ruben (Democratic - Arizona)","Gallego, Ruben ",Democratic , Arizona),G000574
"Giffords, Gabrielle (Democratic - Arizona)","Giffords, Gabrielle ",Democratic , Arizona),G000554
"Goldwater, Barry (Republican - Arizona)","Goldwater, Barry ",Republican , Arizona),G000267
"Gosar, Paul A. (Republican - Arizona)","Gosar, Paul A. ",Republican , Arizona),G000565
"Grijalva, Raul M. (Democratic - Arizona)","Grijalva, Raul M. ",Democratic , Arizona),G000551
"Hayworth, J. D. (Republican - Arizona)","Hayworth, J. D. ",Republican , Arizona),H000413
"Kirkpatrick, Ann (Democratic - Arizona)","Kirkpatrick, Ann ",Democratic , Arizona),K000368
"Kolbe, Jim (Republican - Arizona)","Kolbe, Jim ",Republican , Arizona),K000306
"Kyl, Jon (Republican - Arizona)","Kyl, Jon ",Republican , Arizona),K000352
"McCain, John (Republican - Arizona)","McCain, John ",Republican , Arizona),M000303
"McNulty, James F., Jr. (Democratic - Arizona)","McNulty, James F., Jr. ",Democratic , Arizona),M000589
"McSally, Martha (Republican - Arizona)","McSally, Martha ",Republican , Arizona),M001197
"Mitchell, Harry E. (Democratic - Arizona)","Mitchell, Harry E. ",Democratic , Arizona),M001167
"O'Halleran, Tom (Democratic - Arizona)","O'Halleran, Tom ",Democratic , Arizona),O000171
"Pastor, Ed (Democratic - Arizona)","Pastor, Ed ",Democratic , Arizona),P000099
"Quayle, Benjamin (Republican - Arizona)","Quayle, Benjamin ",Republican , Arizona),Q000024
"Renzi, Rick (Republican - Arizona)","Renzi, Rick ",Republican , Arizona),R000574
"Rhodes, John J. (Republican - Arizona)","Rhodes, John J. ",Republican , Arizona),R000188
"Rhodes, John J., III (Republican - Arizona)","Rhodes, John J., III ",Republican , Arizona),R000189
"Rudd, Eldon D. (Republican - Arizona)","Rudd, Eldon D. ",Republican , Arizona),R000495
"Salmon, Matt (Republican - Arizona)","Salmon, Matt ",Republican , Arizona),S000018
"Schweikert, David (Republican - Arizona)","Schweikert, David ",Republican , Arizona),S001183
"Shadegg, John B. (Republican - Arizona)","Shadegg, John B. ",Republican , Arizona),S000275
"Sinema, Kyrsten (Democratic - Arizona)","Sinema, Kyrsten ",Democratic , Arizona),S001191
"Steiger, Sam (Republican - Arizona)","Steiger, Sam ",Republican , Arizona),S000846
"Stump, Bob (Democratic - Arizona)","Stump, Bob ",Democratic , Arizona),S001044
"Udall, Morris K. (Democratic - Arizona)","Udall, Morris K. ",Democratic , Arizona),U000001
"Alexander, Bill (Democratic - Arkansas)","Alexander, Bill ",Democratic , Arkansas),A000103
"Anthony, Beryl, Jr. (Democratic - Arkansas)","Anthony, Beryl, Jr. ",Democratic , Arkansas),A000213
"Berry, Marion (Democratic - Arkansas)","Berry, Marion ",Democratic , Arkansas),B000420
"Bethune, Ed (Republican - Arkansas)","Bethune, Ed ",Republican , Arkansas),B000422
"Boozman, John (Republican - Arkansas)","Boozman, John ",Republican , Arkansas),B001236
"Bumpers, Dale (Democratic - Arkansas)","Bumpers, Dale ",Democratic , Arkansas),B001057
"Cotton, Tom (Republican - Arkansas)","Cotton, Tom ",Republican , Arkansas),C001095
"Crawford, Eric A. ""Rick"" (Republican - Arkansas)","Crawford, Eric A. ""Rick"" ",Republican , Arkansas),C001087
"Dickey, Jay (Republican - Arkansas)","Dickey, Jay ",Republican , Arkansas),D000312
"Fulbright, James (Democratic - Arkansas)","Fulbright, James ",Democratic , Arkansas),F000401
"Griffin, Tim (Republican - Arkansas)","Griffin, Tim ",Republican , Arkansas),G000567
"Hammerschmidt, John P. (Republican - Arkansas)","Hammerschmidt, John P. ",Republican , Arkansas),H000124
"Hill, J. French (Republican - Arkansas)","Hill, J. French ",Republican , Arkansas),H001072
"Hodges, Kaneaster, Jr. (Democratic - Arkansas)","Hodges, Kaneaster, Jr. ",Democratic , Arkansas),H000675
"Hutchinson, Asa (Republican - Arkansas)","Hutchinson, Asa ",Republican , Arkansas),H001014
