,FirstName,LastName,Name,Party,PartyState,State,State_Abbrev,_merge,bioguide,district,had_challenger,inc_name,inc_party,inc_ran,inc_won,runnerup_party,runnerup_votes,winner_party,winner_votes
54, Jim,Costa,"Costa, Jim",Democratic,Democratic - California,California,CA,both,C001059,CA-16,1,"Costa, Jim",D,1,1,R,"70,483",D,"97,473"
55, Joe,Courtney,"Courtney, Joe",Democratic,Democratic - Connecticut,Connecticut,CT,both,C001069,CT-02,1,"Courtney, Joe",D,1,1,R,"111,149",D,"208,818"
56, Kevin,Cramer,"Cramer, Kevin",Republican,Republican - North Dakota,North Dakota,ND,both,C001096,ND-AL,1,"Cramer, Kevin",R,1,1,D,"80,377",R,"233,980"
57, Charlie,Crist,"Crist, Charlie",Democratic,Democratic - Florida,Florida,FL,both,C001111,FL-13,1,"Crist, Charlie",R,1,0,R,"171,149",D,"184,693"
58, Henry,Cuellar,"Cuellar, Henry",Democratic,Democratic - Texas,Texas,TX,both,C001063,TX-28,1,"Cuellar, Henry",D,1,1,R,"57,740",D,"122,086"
59, Carlos,Curbelo,"Curbelo, Carlos",Republican,Republican - Florida,Florida,FL,both,C001107,FL-26,1,"Curbelo, Carlos",R,1,1,D,"115,493",R,"148,547"
60, Warren,Davidson,"Davidson, Warren",Republican,Republican - Ohio,Ohio,OH,both,D000626,OH-08,1,"Davidson, Warren",R,1,1,D,"87,794",R,"223,833"
61, Rodney,Davis,"Davis, Rodney",Republican,Republican - Illinois,Illinois,IL,both,D000619,IL-13,1,"Davis, Rodney",R,1,1,D,"126,811",R,"187,583"
62, Diana,DeGette,"DeGette, Diana",Democratic,Democratic - Colorado,Colorado,CO,both,D000197,CO-01,1,"DeGette, Diana",D,1,1,R,"105,030",D,"257,254"
63, Jeff,Denham,"Denham, Jeff",Republican,Republican - California,California,CA,both,D000612,CA-10,1,"Denham, Jeff",R,1,1,D,"116,470",R,"124,671"
64, Ron,DeSantis,"DeSantis, Ron",Republican,Republican - Florida,Florida,FL,both,D000621,FL-06,1,"DeSantis, Ron",R,1,1,D,"151,051",R,"213,519"
65, Mark,DeSaulnier,"DeSaulnier, Mark",Democratic,Democratic - California,California,CA,both,D000623,CA-11,1,"DeSaulnier, Mark",D,1,1,R,"83,341",D,"214,868"
66, Scott,DesJarlais,"DesJarlais, Scott",Republican,Republican - Tennessee,Tennessee,TN,both,D000616,TN-04,1,"DesJarlais, Scott",R,1,1,D,"89,141",R,"165,796"
67, Mario,Diaz-Balart,"Diaz-Balart, Mario",Republican,Republican - Florida,Florida,FL,both,D000600,FL-25,1,"Diaz-Balart, Mario",R,1,1,D,"95,319",R,"157,921"
68, Debbie,Dingell,"Dingell, Debbie",Democratic,Democratic - Michigan,Michigan,MI,both,D000624,MI-12,1,"Dingell, Debbie",D,1,1,R,"96,104",D,"211,378"
69, Lloyd,Doggett,"Doggett, Lloyd",Democratic,Democratic - Texas,Texas,TX,both,D000399,TX-35,1,"Doggett, Lloyd",D,1,1,R,"62,384",D,"124,612"
70, Jeff,Duncan,"Duncan, Jeff",Republican,Republican - South Carolina,South Carolina,SC,both,D000615,SC-03,1,"Duncan, Jeff",R,1,1,D,"72,933",R,"196,325"
71, Keith,Ellison,"Ellison, Keith",Democratic,Democratic - Minnesota,Minnesota,MN,both,E000288,MN-05,1,"Ellison, Keith",D,1,1,R,"80,660",D,"249,964"
72, Tom,Emmer,"Emmer, Tom",Republican,Republican - Minnesota,Minnesota,MN,both,E000294,MN-06,1,"Emmer, Tom",R,1,1,D,"123,008",R,"235,380"
73, Adriano,Espaillat,"Espaillat, Adriano",Democratic,Democratic - New York,New York,NY,both,E000297,NY-13,1,"Espaillat, Adriano",D,1,1,R,"16,089",D,"207,194"
74, Dwight,Evans,"Evans, Dwight",Democratic,Democratic - Pennsylvania,Pennsylvania,PA,both,E000296,PA-02,0,"Evans, Dwight",D,0,0,R,"35,131",D,"322,514"
75, Blake,Farenthold,"Farenthold, Blake",Republican,Republican - Texas,Texas,TX,both,F000460,TX-27,1,"Farenthold, Blake",R,1,1,D,"88,329",R,"142,251"
76, Bill,Flores,"Flores, Bill",Republican,Republican - Texas,Texas,TX,both,F000461,TX-17,1,"Flores, Bill",R,1,1,D,"86,603",R,"149,417"
77, Jeff,Fortenberry,"Fortenberry, Jeff",Republican,Republican - Nebraska,Nebraska,NE,both,F000449,NE-01,1,"Fortenberry, Jeff",R,1,1,D,"83,467",R,"189,771"
78, Bill,Foster,"Foster, Bill",Democratic,Democratic - Illinois,Illinois,IL,both,F000454,IL-11,1,"Foster, Bill",D,1,1,R,"108,995",D,"166,578"
79, Virginia,Foxx,"Foxx, Virginia",Republican,Republican - North Carolina,North Carolina,NC,both,F000450,NC-05,1,"Foxx, Virginia",R,1,1,D,"147,887",R,"207,625"
80, Lois,Frankel,"Frankel, Lois",Democratic,Democratic - Florida,Florida,FL,both,F000462,FL-21,1,"Frankel, Lois",D,1,1,R,"118,038",D,"210,606"
81, Trent,Franks,"Franks, Trent",Republican,Republican - Arizona,Arizona,AZ,both,F000448,AZ-08,1,"Franks, Trent",R,1,1,G,"93,954",R,"204,942"
82, Tulsi,Gabbard,"Gabbard, Tulsi",Democratic,Democratic - Hawaii,Hawaii,HI,both,G000571,HI-02,1,"Gabbard, Tulsi",D,1,1,R,"39,668",D,"170,848"
83, Matt,Gaetz,"Gaetz, Matt",Republican,Republican - Florida,Florida,FL,both,G000578,FL-01,0,"Gaetz, Matt",R,0,0,R,"114,079",D,"255,107"
84, Mike,Gallagher,"Gallagher, Mike",Republican,Republican - Wisconsin,Wisconsin,WI,both,G000579,WI-08,1,"Gallagher, Mike",R,1,1,D,"135,682",R,"227,892"
85, Ruben,Gallego,"Gallego, Ruben",Democratic,Democratic - Arizona,Arizona,AZ,both,G000574,AZ-07,1,"Gallego, Ruben",D,1,1,R,"39,286",D,"119,465"
86, John,Garamendi,"Garamendi, John",Democratic,Democratic - California,California,CA,both,G000559,CA-03,1,"Garamendi, John",D,1,1,R,"104,453",D,"152,513"
87, Bob,Gibbs,"Gibbs, Bob",Republican,Republican - Ohio,Ohio,OH,both,G000563,OH-07,1,"Gibbs, Bob",R,1,1,D,"89,638",R,"198,221"
88, Louie,Gohmert,"Gohmert, Louie",Republican,Republican - Texas,Texas,TX,both,G000552,TX-01,1,"Gohmert, Louie",R,1,1,D,"62,847",R,"192,434"
89, Vicente,Gonzalez,"Gonzalez, Vicente",Democratic,Democratic - Texas,Texas,TX,both,G000581,TX-15,1,"Gonzalez, Vicente",D,1,1,R,"66,877",D,"101,712"
90, Bob,Goodlatte,"Goodlatte, Bob",Republican,Republican - Virginia,Virginia,VA,both,G000289,VA-06,1,"Goodlatte, Bob",R,1,1,D,"112,170",R,"225,471"
91, Josh,Gottheimer,"Gottheimer, Josh",Democratic,Democratic - New Jersey,New Jersey,NJ,both,G000583,NJ-05,1,"Gottheimer, Josh",D,1,1,R,"157,690",D,"172,587"
92, Trey,Gowdy,"Gowdy, Trey",Republican,Republican - South Carolina,South Carolina,SC,both,G000566,SC-04,1,"Gowdy, Trey",R,1,1,D,"91,676",R,"198,648"
93, Kay,Granger,"Granger, Kay",Republican,Republican - Texas,Texas,TX,both,G000377,TX-12,1,"Granger, Kay",R,1,1,D,"76,029",R,"196,482"
94, Garret,Graves,"Graves, Garret",Republican,Republican - Louisiana,Louisiana,LA,both,G000577,LA-06,1,"Graves, Garret",R,1,1,D,"49,380",R,"207,483"
95, Sam,Graves,"Graves, Sam",Republican,Republican - Missouri,Missouri,MO,both,G000546,MO-06,1,"Graves, Sam",R,1,1,D,"99,692",R,"238,388"
96, Tom,Graves,"Graves, Tom",Republican,Republican - Georgia,Georgia,GA,both,G000560,GA-14,1,"Graves, Tom",R,1,1,NONE,0,R,"216,743"
97, Al,Green,"Green, Al",Democratic,Democratic - Texas,Texas,TX,both,G000553,TX-09,1,"Green, Al",D,1,1,R,"36,491",D,"152,032"
98, Gene,Green,"Green, Gene",Democratic,Democratic - Texas,Texas,TX,both,G000410,TX-29,1,"Green, Gene",D,1,1,R,"31,646",D,"95,649"
99, Glenn,Grothman,"Grothman, Glenn",Republican,Republican - Wisconsin,Wisconsin,WI,both,G000576,WI-06,1,"Grothman, Glenn",R,1,1,D,"133,072",R,"204,147"
100, Brett,Guthrie,"Guthrie, Brett",Republican,Republican - Kentucky,Kentucky,KY,both,G000558,KY-02,0,"Guthrie, Brett",R,1,1,NONE,0,R,"251,825"
101, Colleen,Hanabusa,"Hanabusa, Colleen",Democratic,Democratic - Hawaii,Hawaii,HI,both,H001050,HI-01,0,"Hanabusa, Colleen",D,0,0,R,"45,958",D,"145,417"
102, Gregg,Harper,"Harper, Gregg",Republican,Republican - Mississippi,Mississippi,MS,both,H001045,MS-03,1,"Harper, Gregg",R,1,1,D,"96,101",R,"209,490"
103, Andy,Harris,"Harris, Andy",Republican,Republican - Maryland,Maryland,MD,both,H001052,MD-01,1,"Harris, Andy",R,1,1,D,"103,622",R,"242,574"
104, Denny,Heck,"Heck, Denny",Democratic,Democratic - Washington,Washington,WA,both,H001064,WA-10,1,"Heck, Denny",D,1,1,R,"120,104",D,"170,460"
105, Jeb,Hensarling,"Hensarling, Jeb",Republican,Republican - Texas,Texas,TX,both,H001036,TX-05,1,"Hensarling, Jeb",R,1,1,L,"37,406",R,"155,469"
106, Jaime,Herrera Beutler,"Herrera Beutler, Jaime",Republican,Republican - Washington,Washington,WA,both,H001056,WA-03,1,"Herrera Beutler, Jaime",R,1,1,D,"119,820",R,"193,457"
107, Brian,Higgins,"Higgins, Brian",Democratic,Democratic - New York,New York,NY,both,H001038,NY-26,1,"Higgins, Brian",D,1,1,R,"73,377",D,"215,289"
108, Clay,Higgins,"Higgins, Clay",Republican,Republican - Louisiana,Louisiana,LA,both,H001077,LA-03,0,"Higgins, Clay",R,0,0,R,"84,912",R,"91,532"
109, George,Holding,"Holding, George",Republican,Republican - North Carolina,North Carolina,NC,both,H001065,NC-02,1,"Holding, George",R,1,1,D,"169,082",R,"221,485"
110, Trey,Hollingsworth,"Hollingsworth, Trey",Republican,Republican - Indiana,Indiana,IN,both,H001074,IN-09,1,"Hollingsworth, Trey",R,1,1,D,"130,627",R,"174,791"
111, Richard,Hudson,"Hudson, Richard",Republican,Republican - North Carolina,North Carolina,NC,both,H001067,NC-08,1,"Hudson, Richard",R,1,1,D,"133,182",R,"189,863"
112, Jared,Huffman,"Huffman, Jared",Democratic,Democratic - California,California,CA,both,H001068,CA-02,1,"Huffman, Jared",D,1,1,R,"76,572",D,"254,194"
113, Bill,Huizenga,"Huizenga, Bill",Republican,Republican - Michigan,Michigan,MI,both,H001058,MI-02,1,"Huizenga, Bill",R,1,1,D,"110,391",R,"212,508"
114, Randy,Hultgren,"Hultgren, Randy",Republican,Republican - Illinois,Illinois,IL,both,H001059,IL-14,1,"Hultgren, Randy",R,1,1,D,"137,589",R,"200,508"
115, Duncan,Hunter,"Hunter, Duncan",Republican,Republican - California,California,CA,both,H000981,CA-50,1,"Hunter, Duncan",R,1,1,D,"103,646",R,"179,937"
116, Will,Hurd,"Hurd, Will",Republican,Republican - Texas,Texas,TX,both,H001073,TX-23,1,"Hurd, Will",R,1,1,D,"107,526",R,"110,577"
117, Pramila,Jayapal,"Jayapal, Pramila",Democratic,Democratic - Washington,Washington,WA,both,J000298,WA-07,1,"Jayapal, Pramila",D,1,1,D,"166,744",D,"212,010"
118, Lynn,Jenkins,"Jenkins, Lynn",Republican,Republican - Kansas,Kansas,KS,both,J000290,KS-02,1,"Jenkins, Lynn",R,1,1,D,"96,840",R,"181,228"
119, Bill,Johnson,"Johnson, Bill",Republican,Republican - Ohio,Ohio,OH,both,J000292,OH-06,1,"Johnson, Bill",R,1,1,D,"88,780",R,"213,975"
120, Mike,Johnson,"Johnson, Mike",Republican,Republican - Louisiana,Louisiana,LA,both,J000299,LA-04,0,"Johnson, Mike",R,0,0,R,"70,580",D,"80,593"
121, Sam,Johnson,"Johnson, Sam",Republican,Republican - Texas,Texas,TX,both,J000174,TX-03,1,"Johnson, Sam",R,1,1,D,"109,420",R,"193,684"
122, Jim,Jordan,"Jordan, Jim",Republican,Republican - Ohio,Ohio,OH,both,J000289,OH-04,1,"Jordan, Jim",R,1,1,D,"98,981",R,"210,227"
123, Marcy,Kaptur,"Kaptur, Marcy",Democratic,Democratic - Ohio,Ohio,OH,both,K000009,OH-09,1,"Kaptur, Marcy",D,1,1,R,"88,427",D,"193,966"
124, John,Katko,"Katko, John",Republican,Republican - New York,New York,NY,both,K000386,NY-24,1,"Katko, John",R,1,1,D,"119,040",R,"182,761"
125, Mike,Kelly,"Kelly, Mike",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,K000376,PA-03,0,"Kelly, Mike",R,1,1,NONE,"244,893",R,"271,098"
126, Trent,Kelly,"Kelly, Trent",Republican,Republican - Mississippi,Mississippi,MS,both,K000388,MS-01,1,"Kelly, Trent",R,1,1,D,"83,947",R,"206,455"
127, Ro,Khanna,"Khanna, Ro",Democratic,Democratic - California,California,CA,both,K000389,CA-17,1,"Khanna, Ro",D,1,0,D,"90,924",D,"142,268"
128, Derek,Kilmer,"Kilmer, Derek",Democratic,Democratic - Washington,Washington,WA,both,K000381,WA-06,1,"Kilmer, Derek",D,1,1,R,"126,116",D,"201,718"
129, Ron,Kind,"Kind, Ron",Democratic,Democratic - Wisconsin,Wisconsin,WI,both,K000188,WI-03,0,"Kind, Ron",D,1,1,Write in,169,D,"257,401"
130, Steve,King,"King, Steve",Republican,Republican - Iowa,Iowa,IA,both,K000362,IA-04,1,"King, Steve",R,1,1,D,"142,993",R,"226,719"
131, Adam,Kinzinger,"Kinzinger, Adam",Republican,Republican - Illinois,Illinois,IL,both,K000378,IL-16,0,"Kinzinger, Adam",R,1,1,write in,131,R,"259,722"
132, Raja,Krishnamoorthi,"Krishnamoorthi, Raja",Democratic,Democratic - Illinois,Illinois,IL,both,K000391,IL-08,1,"Krishnamoorthi, Raja",D,1,1,R,"144,954",D,"144,954"
133, David,Kustoff,"Kustoff, David",Republican,Republican - Tennessee,Tennessee,TN,both,K000392,TN-08,0,"Kustoff, David",R,0,0,D,"70,925",R,"194,386"
134, Darin,LaHood,"LaHood, Darin",Republican,Republican - Illinois,Illinois,IL,both,L000585,IL-18,1,"LaHood, Darin",R,1,1,D,"96,770",R,"250,506"
135, Doug,LaMalfa,"LaMalfa, Doug",Republican,Republican - California,California,CA,both,L000578,CA-01,1,"LaMalfa, Doug",R,1,1,D,"128,588",R,"185,448"
136, Doug,Lamborn,"Lamborn, Doug",Republican,Republican - Colorado,Colorado,CO,both,L000564,CO-05,1,"Lamborn, Doug",R,1,1,D,"111,676",R,"225,445"
137, Leonard,Lance,"Lance, Leonard",Republican,Republican - New Jersey,New Jersey,NJ,both,L000567,NJ-07,1,"Lance, Leonard",R,1,1,D,"148,188",R,"185,850"
138, Rick,Larsen,"Larsen, Rick",Democratic,Democratic - Washington,Washington,WA,both,L000560,WA-02,1,"Larsen, Rick",D,1,1,R,"117,094",D,"208,314"
139, Barbara,Lee,"Lee, Barbara",Democratic,Democratic - California,California,CA,both,L000551,CA-13,1,"Lee, Barbara",D,1,1,R,"29,754",D,"293,117"
140, Jason,Lewis,"Lewis, Jason",Republican,Republican - Minnesota,Minnesota,MN,both,L000587,MN-02,0,"Lewis, Jason",R,0,0,D,"167,315",R,"173,970"
141, John,Lewis,"Lewis, John",Democratic,Democratic - Georgia,Georgia,GA,both,L000287,GA-05,1,"Lewis, John",D,1,1,R,"46,768",D,"253,781"
142, Ted,Lieu,"Lieu, Ted",Democratic,Democratic - California,California,CA,both,L000582,CA-33,1,"Lieu, Ted",D,1,1,R,"110,822",D,"219,397"
143, David,Loebsack,"Loebsack, David",Democratic,Democratic - Iowa,Iowa,IA,both,L000565,IA-02,1,"Loebsack, David",D,1,1,R,"170,933",D,"198,571"
144, Zoe,Lofgren,"Lofgren, Zoe",Democratic,Democratic - California,California,CA,both,L000397,CA-19,1,"Lofgren, Zoe",D,1,1,R,"64,061",D,"181,802"
145, Billy,Long,"Long, Billy",Republican,Republican - Missouri,Missouri,MO,both,L000576,MO-07,1,"Long, Billy",R,1,1,D,"92,756",R,"228,692"
146, Barry,Loudermilk,"Loudermilk, Barry",Republican,Republican - Georgia,Georgia,GA,both,L000583,GA-11,1,"Loudermilk, Barry",R,1,1,D,"105,383",R,"217,935"
147, Blaine,Luetkemeyer,"Luetkemeyer, Blaine",Republican,Republican - Missouri,Missouri,MO,both,L000569,MO-03,1,"Luetkemeyer, Blaine",R,1,1,D,"102,891",R,"249,865"
148, Michelle,Lujan Grisham,"Lujan Grisham, Michelle",Democratic,Democratic - New Mexico,New Mexico,NM,both,L000580,NM-01,1,"Lujan Grisham, Michelle",D,1,1,R,"96,879",D,"181,088"
149, Kenny,Marchant,"Marchant, Kenny",Republican,Republican - Texas,Texas,TX,both,M001158,TX-24,1,"Marchant, Kenny",R,1,1,D,"108,389",R,"154,845"
150, Tom,Marino,"Marino, Tom",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,M001179,PA-10,1,"Marino, Tom",R,1,1,D,"89,823",R,"211,282"
151, Thomas,Massie,"Massie, Thomas",Republican,Republican - Kentucky,Kentucky,KY,both,M001184,KY-04,1,"Massie, Thomas",R,1,1,D,"94,065",R,"233,922"
152, Kevin,McCarthy,"McCarthy, Kevin",Republican,Republican - California,California,CA,both,M001165,CA-23,1,"McCarthy, Kevin",R,1,1,D,"74,468",R,"167,116"
153, Tom,McClintock,"McClintock, Tom",Republican,Republican - California,California,CA,both,M001177,CA-04,1,"McClintock, Tom",R,1,1,D,"130,845",R,"220,133"
154, Betty,McCollum,"McCollum, Betty",Democratic,Democratic - Minnesota,Minnesota,MN,both,M001143,MN-04,1,"McCollum, Betty",D,1,1,R,"121,032",D,"203,299"
155, Cathy,McMorris Rodgers,"McMorris Rodgers, Cathy",Republican,Republican - Washington,Washington,WA,both,M001159,WA-05,1,"McMorris Rodgers, Cathy",R,1,1,D,"130,575",R,"192,959"
156, Jerry,McNerney,"McNerney, Jerry",Democratic,Democratic - California,California,CA,both,M001166,CA-09,1,"McNerney, Jerry",D,1,1,R,"98,992",D,"133,163"
