,Name,PartyState,bioguide,LastName,FirstName,Party,State,State_Abbrev,inc_name,inc_party,inc_ran,inc_won,had_challenger,winner_votes,runnerup_votes,winner_party,runnerup_party,Clinton2016,Trump2016,Obama 2012,Romney 2012,Obama 2008,McCain 2008
0,"Aguilar, Pete",Democratic - California,A000371,Aguilar, Pete,Democratic,California,CA,"Aguilar, Pete",D,1,1,1,"121,070","94,866",D,R,57.7,36.6,57.2,40.6,56.0,41.0
1,"Amash, Justin",Republican - Michigan,A000367,Amash, Justin,Republican,Michigan,MI,"Amash, Justin",R,1,1,1,"203,545","128,400",R,D,42.2,51.6,45.8,53.1,49.7,48.6
2,"Babin, Brian",Republican - Texas,B001291,Babin, Brian,Republican,Texas,TX,"Babin, Brian",R,1,1,1,"193,675","24,890",R,G,25.2,72.0,25.7,73.2,30.0,69.0
3,"Bacon, Don",Republican - Nebraska,B001298,Bacon, Don,Republican,Nebraska,NE,"Bacon, Don",R,1,1,1,"141,066","137,602",R,D,46.0,48.2,45.7,52.9,50.0,48.8
4,"Banks, Jim",Republican - Indiana,B001299,Banks, Jim,Republican,Indiana,IN,"Banks, Jim",R,0,0,0,"201,396","66,023",R,D,30.1,65.1,35.7,62.5,43.0,56.0
5,"Barletta, Lou",Republican - Pennsylvania,B001269,Barletta, Lou,Republican,Pennsylvania,PA,"Barletta, Lou",R,1,1,1,"199,421","113,800",R,D,36.2,60.0,44.5,53.9,47.1,51.7
6,"Barr, Andy",Republican - Kentucky,B001282,Barr, Andy,Republican,Kentucky,KY,"Barr, Andy",R,1,1,1,"202,099","128,728",R,D,39.4,54.7,42.2,55.8,44.8,53.7
7,"Barton, Joe",Republican - Texas,B000213,Barton, Joe,Republican,Texas,TX,"Barton, Joe",R,1,1,1,"159,444","106,667",R,D,41.9,54.2,40.8,57.9,42.0,57.0
8,"Bass, Karen",Democratic - California,B001270,Bass, Karen,Democratic,California,CA,"Bass, Karen",D,1,1,1,"192,490","44,782",D,D,85.7,9.6,84.9,12.7,84.0,13.0
9,"Beatty, Joyce",Democratic - Ohio,B001281,Beatty, Joyce,Democratic,Ohio,OH,"Beatty, Joyce",D,1,1,1,"199,791","91,560",D,R,67.0,28.6,69.7,28.9,67.4,31.3
10,"Becerra, Xavier",Democratic - California,B000287,Becerra, Xavier,Democratic,California,CA,"Becerra, Xavier",D,1,1,1,"122,842","36,314",D,D,83.6,10.7,83.0,14.1,77.0,19.0
11,"Bera, Ami",Democratic - California,B001287,Bera, Ami,Democratic,California,CA,"Bera, Ami",D,1,1,1,"152,133","145,168",D,R,52.3,40.9,50.8,46.8,51.0,46.0
12,"Bergman, Jack",Republican - Michigan,B001301,Bergman, Jack,Republican,Michigan,MI,"Bergman, Jack",R,0,0,0,"197,777","144,334",R,D,36.6,57.9,45.3,53.6,49.7,48.4
13,"Biggs, Andy",Republican - Arizona,B001302,Biggs, Andy,Republican,Arizona,AZ,"Biggs, Andy",R,0,0,0,"205,184","114,940",R,D,36.5,57.6,34.6,63.8,36.3,62.6
14,"Bishop, Mike",Republican - Michigan,B001293,Bishop, Mike,Republican,Michigan,MI,"Bishop, Mike",R,1,1,1,"205,629","143,791",R,D,43.9,50.6,48.0,51.1,52.0,46.4
15,"Bishop, Rob",Republican - Utah,B001250,Bishop, Rob,Republican,Utah,UT,"Bishop, Rob",R,1,1,1,"182,925","73,380",R,D,22.4,49.7,20.4,77.4,29.4,67.7
16,"Black, Diane",Republican - Tennessee,B001273,Black, Diane,Republican,Tennessee,TN,"Black, Diane",R,1,1,1,"202,234","61,995",R,D,23.7,72.6,29.5,69.1,33.5,64.9
17,"Blackburn, Marsha",Republican - Tennessee,B001243,Blackburn, Marsha,Republican,Tennessee,TN,"Blackburn, Marsha",R,1,1,1,"200,407","65,226",R,D,28.2,67.5,32.9,65.7,36.3,62.4
18,"Blum, Rod",Republican - Iowa,B001294,Blum, Rod,Republican,Iowa,IA,"Blum, Rod",R,1,1,1,"206,903","177,403",R,D,45.2,48.7,56.2,42.5,58.5,40.4
19,"Blumenauer, Earl",Democratic - Oregon,B000574,Blumenauer, Earl,Democratic,Oregon,OR,"Blumenauer, Earl",D,1,1,1,"274,687","78,154",D,I,70.7,22.5,72.0,24.7,72.9,24.3
