,week1,week2,week3,week4,week5,week6,week7,week8,week9,handle
repjimmcdermott,2.65374,3.6031155,-68.6345,-1.3454685,0.651087,-0.00205981,,-1.96075,,repjimmcdermott
repjimrenacci,2.9692835,5.26548,,3.16935666667,1.60801,1.06938,1.982305,1.006105,,repjimrenacci
repjoebarton,1.93365,,2.55,,,2.17391,2.1165,16.99308,21.8655,repjoebarton
repjoecourtney,-51.782812,-56.226165,-18.3137332,-1.60956425,-1.7714785,-3.13519666667,-0.017029298775,-3.3892,-21.830563,repjoecourtney
repjoecrowley,-56.2635633333,-98.1913981667,-65.654566,-49.6814641,-32.73062,-65.1529,-55.3582,-33.45622,-43.6505,repjoecrowley
repjoeheck,0.757465666667,8.9252375,0.954248,1.378425,2.28095,0.978098666667,1.17822,0.843837333333,1.21569,repjoeheck
repjoekennedy,-2.05351,-41.26821,-11.224889,-3.2057314,-1.7489334,-1.208995,-2.20035,17.10238169,-1.716095,repjoekennedy
repjoepitts,1.7047,7.278476,6.46339,21.2858,2.87303666667,11.71112,6.67931,16.3370633333,,repjoepitts
repjoewilson,3.46545266667,20.52605,2.608905,0.9329385,2.4370212,0.974138,1.45948633333,2.381481,1.13861,repjoewilson
repjohnconyers,-45.93528,-2.13879553333,-23.2408633333,-27.2205933333,-0.994653,-1.02655,,-22.07857,,repjohnconyers
repjohndelaney,-0.892394,-5.9709,-0.784314,-1.07639,-0.974477,-22.624015,-1.5929665,,,repjohndelaney
repjohnduncanjr,0.694593,4.55057,0.272246666667,,1.0,,,,,repjohnduncanjr
repjohnkatko,1.4709545,,4.45,1.06429,2.060575,0.909836,,,,repjohnkatko
repjohnkline,,,-0.384204,,,,,,,repjohnkline
repjohnlarson,-35.96578675,-131.029,,,-0.7537385,,,,,repjohnlarson
repjohnlewis,-2.34646,-20.615115,-2.635349,-49.9906,-11.0090666667,-26.273275,,,-0.878261,repjohnlewis
repjohnyarmuth,-60.2224454,-64.7119733333,-60.938525,-29.0894403333,-27.114925,-69.9808,-57.6422,-43.0385,-50.4610666667,repjohnyarmuth
repjoseserrano,-1.76492,-31.3671836,-3.012005,-14.28934,-1.3534475,-71.8512,-2.6471125,-7.553275,-17.9542,repjoseserrano
repjuanvargas,-30.4135202,-68.9665873333,-0.962028,-11.7001157,-0.94253825,-44.1357775,-22.1690385,-48.3974,-39.22781,repjuanvargas
repjudychu,-45.849572175,-83.8407,-17.933705,-20.39724825,-1.4581205,-27.299825,-16.953095,-8.9282,,repjudychu
repkarenbass,-14.93806,-92.0633933333,-18.224034,-19.0900975,-5.1011025,-11.5096966667,-20.1736143333,-11.3384725,-26.3740875,repkarenbass
repkathleenrice,-31.05868,-37.666981,-14.601605,-13.7702575,-14.3055125,-31.863736,-19.386372,-15.9034625,-32.3911233333,repkathleenrice
repkaygranger,,,,,,,,,,repkaygranger
repkclark,-34.6756257143,-64.301112,-13.5237408571,-40.6535957,-30.1769135,-47.1662208,-20.58157,-3.35539666667,-42.392298,repkclark
repkenbuck,1.103371,4.755525,3.103446,5.267775,-0.000635728,5.943985,,0.796748,1.4622555,repkenbuck
repkenmarchant,-0.927027,7.04972,,,,,,,,repkenmarchant
repkevinbrady,7.76292166667,18.0770575,5.08546150333,7.298835,9.630764,17.2899,10.460926,18.28328,10.4938086,repkevinbrady
repkevincramer,9.155335,0.876149,,0.0474593,7.51100666667,9.4155,1.16667,62.863,2.35306333333,repkevincramer
repkevinyoder,0.7463941132,8.088735,0.952924795333,4.5616075,1.3538075,2.0793513396,1.458124,1.861864,1.575736,repkevinyoder
repkinzinger,1.44181,10.1564942857,9.208555,13.0397955,8.86758333333,10.9574425,5.82902428571,17.1991914,15.98831,repkinzinger
repkirkpatrick,-1.31047833333,-5.084469,-9.4169525,-3.57215,-11.751425,-3.621416,-0.382118,-2.77265146,-0.6806467,repkirkpatrick
repkristinoem,3.14480125,2.66855066667,1.684848,1.27877,2.08301666667,2.379204,2.7482,10.3323126667,3.385985,repkristinoem
replahood,1.21113666667,3.51648085,,4.07761733333,0.243307,,1.009622,11.451855825,7.61239275,replahood
replamalfa,,-1.12144666667,8.20525,4.31033,,11.7561,,,,replamalfa
replancenj7,8.19672,1.45643966667,4.13986,2.0797375,2.03362,,-0.00137152,1.5,14.5305455,replancenj7
replarrybucshon,4.099385,4.48891733333,2.82355266667,11.527016,5.90678,12.15182,6.80561666667,10.63921,28.0714,replarrybucshon
replawrence,-28.3832356667,-308.088,-18.40287725,-32.2486866667,0.698665,-43.500575,,,-0.8116335,replawrence
repleezeldin,0.00384,1.36235233333,0.954248,,,,,,,repleezeldin
replindasanchez,-7.03938,-0.970588,-48.6747,-5.19844,,,-48.9317,0.408407,-63.40666,replindasanchez
replipinski,-4.13604,2.57038,-4.71299,-3.76899666667,-4.5922,,-2.683471,-5.28478556667,-5.8682,replipinski
replloyddoggett,-1.37229,-55.3711666667,-0.801169,-27.990445,-14.4665,-9.240926,-59.5321,-20.3583,-34.203114,replloyddoggett
replobiondo,1.545343,3.371634,0.295932602,1.191340335,2.12919,0.730976667667,1.340192,0.4500015,1.2899794,replobiondo
reploiscapps,-33.196006,-45.494674,-2.3844825,-22.353045,-1.0,-29.50942,-18.3585175,-20.90466,-35.9949,reploiscapps
reploisfrankel,-65.9359578333,-106.45752,-23.3990333333,-13.3906235,-2.7052302,-38.41555,-36.527012,-29.163275,-48.566041,reploisfrankel
reploubarletta,,-0.114591,3.56129,,0.182323,,,0.869231,,reploubarletta
reploudermilk,-0.0662162,,2.991784,16.207875,0.90678,2.58093333333,,3.050926,,reploudermilk
replouiegohmert,1.81380833333,9.833726,4.510191,7.0503425,1.77999333333,5.8219536,1.605495,8.7255844,4.36773166667,replouiegohmert
replowenthal,-7.46793333333,-57.731128,-7.21117875,-3.58217,-10.18587,-2.12565,-10.091672,-5.939632,-23.258932,replowenthal
replujangrisham,-30.365658,-92.89123,-16.765262,-25.234888,-10.8697236667,-14.8824975,-17.42267,-41.227568,-34.23383,replujangrisham
replukemesser,1.479195,15.18028,4.40053333333,16.349015,0.50533065,0.974138,,1.290241,,replukemesser
replynnjenkins,4.99081666667,16.4496653333,8.015185,7.74898066667,0.843987666667,9.32738,,14.1668,,replynnjenkins
repmaloney,-49.4737466667,-17.877552,-7.64772042,-27.5835516667,-9.19747,-21.9196,-35.707015,-33.3554275,-47.41255,repmaloney
repmarciafudge,-11.885584,-12.306335,-35.492936,-19.87503751,-6.488253892,-13.79045,-33.1985425,-14.15363,-39.668815,repmarciafudge
repmarcykaptur,-5.069555,-1.17963571429,-1.555755828,-1.8529,-1.652541,-1.82301,-0.5051765875,-2.70833,-4.3913,repmarcykaptur
repmarkmeadows,2.03407185714,-0.0747975,3.70657433333,6.623094,5.254774,2.10232566667,4.4187125,8.45743,18.5865666667,repmarkmeadows
repmarkpocan,-45.2187595,-57.687812,-22.162348,-15.3677325,-19.2584574,-26.293335,-1.8021,-15.07906,-22.527765,repmarkpocan
repmarktakano,-1.37229,3.6984961,-27.451,,,-51.52,-19.030025,-8.9282,-76.3053,repmarktakano
repmarkwalker,4.54513125,9.684375,2.6328206,1.48812325,1.01397333333,4.814865,2.1195,-2.31462366667,7.030302,repmarkwalker
repmartharoby,0.7345055,23.5337,,1.518086,5.58405,,,,,repmartharoby
repmattsalmon,0.390071,2.465455,4.6782,24.574385,,,0.989362,,1.15957,repmattsalmon
repmccaul,8.9792262,14.15039,4.78602533333,3.550267,2.996056,7.597065,2.47190266667,3.78578425,8.0110562,repmccaul
repmcclintock,0.967105,,,,,,,,,repmcclintock
repmcgovern,-50.8411024286,-63.4898142857,-50.4269742857,-39.45292,-37.96792,-35.509945,-2.2286888,-21.323734,-19.0612,repmcgovern
repmckinley,7.30680142857,12.0828333333,6.56714666667,7.95375944,4.85593688333,7.62006,3.8388855,22.16854,23.35788,repmckinley
repmcnerney,-1.74588183333,-40.0329836,-5.021515,-1.5193996,-1.75747233333,-1.0855525,-2.10752,-4.49240666667,-4.5281584,repmcnerney
repmcsally,2.168786292,3.068032,6.610825,1.32530666667,2.4415425,3.665998,2.4925575,5.87693,1.1632105,repmcsally
repmeehan,2.089795,1.355606,,1.68547666667,4.13912,4.46835433333,1.17822,13.0385,,repmeehan
repmgriffith,0.852349,,,,,,,,,repmgriffith
repmialove,3.96029883333,3.201824,5.565685,9.7951725,2.0426,1.360042,1.65271,0.869231,,repmialove
repmickmulvaney,4.83552,,,,,,,,,repmickmulvaney
repmikebishop,-3.0948175,2.72759475,11.32276,8.85399144,1.76801333333,1.092025,1.57482066667,8.1385,7.47268333333,repmikebishop
repmikecoffman,1.30064863333,19.6926635,3.93032666667,12.6586,,0.974138,3.07044,2.60271,,repmikecoffman
repmikehonda,-29.1321933333,-97.3387633333,-23.6539772,-2.4249848,-9.42386428571,-19.44412,-12.7034565,-31.43736,-27.7555836,repmikehonda
repmikepompeo,2.8284135,4.825435,6.2626,1.7807105,4.900255,6.71659,0.863636,1.393826,1.92066266667,repmikepompeo
repmikequigley,-41.7622485714,-51.0195285714,-31.7939857143,-9.35721285714,-6.86390333333,-17.9831614286,-15.1818,-6.64267285714,-14.1625414286,repmikequigley
repmikerogersal,3.78845666667,1.0640355,1.7755485,2.7284025,1.1577,2.06181,2.73983,3.00028666667,4.42815,repmikerogersal
repmiketurner,0.821609333333,3.71586533333,3.7844865,1.528806,3.0684,3.75371333333,1.532315,3.75,,repmiketurner
repmimiwalters,9.4017,11.2494285714,5.46926975,10.851675,3.8461375,1.791368,5.057038,7.65633483333,10.7153088333,repmimiwalters
repmobrooks,3.753665,7.327078,5.72549,13.6012,0.013986,,,,1.33673,repmobrooks
repmoolenaar,1.7047,9.44767,,-0.55353586,,0.909836,,,,repmoolenaar
repmullin,4.0359325,4.394284,3.6879552,2.060946,1.12973,1.31502533333,2.22314666667,11.5108806667,7.03430933333,repmullin
repmurphyfl,-38.16512,-1.890587,-7.87526766667,-3.6473936,0.749298428571,-11.5331091933,-29.0875215,-0.00421727,-32.8898566667,repmurphyfl
repnewhouse,1.37474,2.310694,2.21728666667,2.10714,2.508405,1.09709,17.6733,9.260145,2.10726,repnewhouse
reppaulcook,,5.57515,,,,,,,,reppaulcook
reppaultonko,-53.13188175,-111.50547,-42.5297083333,-5.4809494,-11.8295025,-3.870665,-4.28572,-2.66666,-5.24845,reppaultonko
repperlmutter,-5.230053,-87.3970175,-9.46421133333,-5.37781,-7.7944174,-28.72085,-37.3208533333,-11.355777324,-40.92131,repperlmutter
reppeteaguilar,-16.8375428333,-93.9012375,-37.647,-0.949153,-1.3499505,-29.1787,-3.77982,-3.45133,-61.3435,reppeteaguilar
reppeteking,0.024945,,4.34754,0.154969,1.08108,-0.785395,1.023806,,1.15957,reppeteking
reppeteolson,4.542934,13.18787,8.22921142857,11.2352142857,8.66976833333,9.422234,2.1876355,13.3857048571,17.8188985714,reppeteolson
reppeterdefazio,-0.927027,-5.43479,-4.49276,-16.9739,,,-0.619403333333,,,reppeterdefazio
reppittenger,-9.20233333333,3.4229106,2.28282,0.7937105,0.97078,,9.229925,19.5070333333,,reppittenger
reppoliquin,4.41976,0.7711691,5.594752,1.663265,-0.59611085,1.94828,1.53809,-0.00983662,,reppoliquin
repratcliffe,3.748715,2.9647175,2.82355266667,15.4678875,-0.0191668,5.57119,1.11731,14.9147666667,34.01508,repratcliffe
repraulgrijalva,-25.184695,-66.1436433333,-30.57614,-10.38861525,-19.4615,,-18.3636143333,,-19.1414305,repraulgrijalva
repreneeellmers,9.5557755,14.2123683333,5.58965666667,10.6817925,17.6834033333,9.0957125,2.0807819,12.68976,5.8359,repreneeellmers
repribble,3.31492,0.6508228165,4.174186,1.32837,2.298584,,5.53014,0.4283932,1.0,repribble
reprichardhanna,,4.258835,13.179188,10.4365,,,1.05825,,,reprichardhanna
reprichardneal,,,,-1.07639,-3.3084,-0.00446758,,-2.29751082,-1.75652,reprichardneal
reprichhudson,9.52496716667,13.10495,1.941058,5.6351555,4.6052442,8.538862,3.44184375,18.794567,2.4565022,reprichhudson
reprichmond,-0.344025,-2.25926,-5.663235,0.129049,-26.0,-3.19672,,,,reprichmond
reprichnugent,,,,,,,,,,reprichnugent
reprickallen,3.30991333333,7.68775666667,5.976595,4.77389666667,3.62314,1.67575925,1.64497666667,0.8096155,2.1529,reprickallen
reprickcrawford,-1.03017,4.39728,1.829157,6.45294666667,1.90678,1.314195,,,,reprickcrawford
repricklarsen,-1.21405,-182.703,-17.130765,-2.51025075,-18.43115,-4.880172,-1.8626675,-2.02123,-4.48879,repricklarsen
reproberthurt,0.9958475,-0.091158,1.0158665,,2.36364,,,0.851852,,reproberthurt
reprobinkelly,-14.2585875,-55.32712,-8.32612333333,-8.9345975,-9.3681375,-15.3366333333,-0.848739,-34.5132,0.9667625,reprobinkelly
reprobwoodall,3.0266445,10.907005,7.463395,21.0109,1.9789915,1.71415,2.851121,14.3859506667,4.55445,reprobwoodall
reprodblum,1.2159208,1.00128657143,2.24843516667,5.303685,2.060018,3.25878685714,1.3860625,1.01522025,1.0424282,reprodblum
repronkind,,-4.85294,-1.04795,,,,,,-2.06316,repronkind
reproybalallard,-0.808275333333,-38.978015,-3.08208,-21.7366242,-11.3578325,-15.498874,-3.97678666667,-3.25362,-31.951575,reproybalallard
reprubengallego,-67.91121,-66.919628,-63.7825012,-45.49974175,-22.4039708,-55.89134,-27.0990602857,-20.621056,-67.0499,reprubengallego
reprussell,,,,,,,,,,reprussell
reprwilliams,11.4925,13.0058,1.524955,0.7937105,,6.52174,,,,reprwilliams
repryancostello,0.64924875,6.86163,-0.6659385,1.65762,0.506929,2.34960333333,2.9090175,3.86111,1.13861,repryancostello
repryanzinke,1.436579622,1.6816428165,0.7152143,0.929032,,,,0.541437433333,1.93878,repryanzinke
repsamfarr,-41.9162438571,-90.888035,-18.3665366667,-28.06575362,-7.37726616667,-13.4307516667,-11.5895033333,-2.476888,-37.468274,repsamfarr
repsamgraves,1.37997,27.12345,,5.78255,11.1849,,,12.16665,,repsamgraves
repsandylevin,-66.2906333333,-125.779325,-58.4739,-23.19756,-28.9916,-60.0542,-44.24965,,-75.58555,repsandylevin
repsanfordsc,1.7001945,13.25144,2.3866576,1.2581965,3.929076,1.8513726,3.389155,6.19678,2.644827,repsanfordsc
repsarbanes,-0.957143,,,,-1.53487,,,-56.0,-1.384466,repsarbanes
repschrader,-1.33969017067,,-1.94427,-1.89831,-5.92308,-11.087475,,,,repschrader
repscottperry,-5.2530575,8.2235865,4.94336483667,7.77476,2.255575135,9.452005,6.20024333333,16.6355225,1.3966365,repscottperry
repscottpeters,-6.31422,-19.97105,-8.647878,-12.29459,-5.805896,-20.0170908,-18.4443833333,-2.58757333333,-15.49945,repscottpeters
repscottrigell,0.01143,3.8645325,1.367449,0.55051465,,1.916123,-5.71951e-05,,2.4242265,repscottrigell
repseanduffy,5.45044123,7.06345,1.89010772333,5.57419,1.508405,2.17392,7.212314,0.756381666667,,repseanduffy
repseanmaloney,-2.00224502,-3.27115366667,-5.37596285714,-3.1595595,-5.7069324,-19.5672485,-1.931081,-1.187102,-0.926557333333,repseanmaloney
repshimkus,13.4322766667,9.95374,6.301625,14.3175995,13.4483666667,1.81967,11.5387033333,15.494175,23.2466,repshimkus
repsinema,-1.82291216667,-4.23894333333,-2.3063812,-1.84433233333,-3.078995,-2.261909445,-1.55771485714,-2.78525857143,-2.03451733333,repsinema
repsires,,-41.4091,,,,-3.07965,-0.857143,,,repsires
repspeier,-11.9578956667,-55.89367994,-6.948846,-2.58111716667,-15.6915,-2.60023666667,-14.0212585,-3.180455,-37.9938525,repspeier
repstefanik,2.893556,10.2358883333,4.07505333333,2.287085,1.53478,1.2444645,1.3016304,1.221765,1.1187978,repstefanik
repstephenlynch,-2.81029233333,-5.182946,-4.09254720467,-1.9086026,-0.028194,-3.7573,-4.194588,-3.9324975,-1.37826,repstephenlynch
repstevechabot,9.609916,3.45763,7.824885,13.05167,6.6944875,13.5983,2.62413,14.566276,-0.074886,repstevechabot
repsteveisrael,-51.0455711667,-91.03824,-50.4255966667,-40.076849,-27.2631114,-51.41524,-7.96484133333,-41.8548,-38.5850675,repsteveisrael
repstevepearce,3.97044166667,14.041798,6.9936470965,7.78283666667,2.42904,6.83267,0.989305,1.27493933333,2.31914,repstevepearce
repstevestivers,-1.0496182,5.49871733333,0.4699170365,1.70314,2.06957,3.01236485,2.30104666667,1.35084033333,5.3543902,repstevestivers
repstutzman,,,,,,,,,,repstutzman
repsusandavis,0.22791073,-59.74498,-0.7993,,-1.131068,-27.60893515,-2.02151,-3.82214333333,-40.9482,repsusandavis
repswalwell,-52.8407331667,-49.66201,-25.724192,-12.96524,-6.41259471429,-17.39224,-4.69250785714,-4.94516857143,-27.6137428571,repswalwell
repteddeutch,-18.345085,-35.4429364,-8.6338412,-3.01548325,1.94683925,-4.86161466667,-1.449439,-1.921765,-11.7875303333,repteddeutch
reptedlieu,-2.66884333333,-58.1596,-15.0647252,-22.8905134,-6.0582474,-8.5569675,-30.01362,-1.467386,-11.39229,reptedlieu
reptedyoho,1.53883,3.8879005,,0.133369,1.06785,,,,,reptedyoho
repterrisewell,-28.4196506,-5.467975,-9.397006,-25.65206,-33.79485,-4.59652,-2.16802,-32.6788425,-21.8838,repterrisewell
repthomasmassie,0.884615,0.867052,1.78065,,,,,1.5,,repthomasmassie
repthompson,-20.6811633333,-109.3894325,-28.8601735,-16.4584646,-13.6019371429,-21.5185466667,-13.304543,-1.90985666667,-19.175316,repthompson
reptimmurphy,5.071618,7.85658833333,8.56347,7.747134,2.1385094,5.608805,4.2903575,4.03942866667,6.0584285,reptimmurphy
reptimryan,-0.957143,-97.59848,-26.6666,-4.76955666667,-2.56258,-3.83607,-11.3395,-1.14922175667,,reptimryan
reptimwalz,0.9868,0.863670435,-10.2359033333,-3.698382,-2.95041,-14.6400775,,,-11.4248055638,reptimwalz
reptipton,7.5315566,8.769758,6.689888,4.9291055,7.640075,11.4156641745,1.981172,15.2701,2.31915,reptipton
reptoddyoung,1.33452666667,5.62421275,3.0671,2.01617,0.97078,5.80135266667,0.989362,0.912281,,reptoddyoung
reptomemmer,1.28128204333,14.2285686667,1.308473405,0.746148,1.825336,1.72508133333,5.351245,6.220204,7.8399455,reptomemmer
reptomgraves,0.965604166667,17.3556425,6.2691245,14.78745,5.436105,3.965566,,1.5,1.33673,reptomgraves
reptommacarthur,5.31686666667,9.99311533333,4.58148866667,3.90335725,5.41407,4.5655925,3.0714556,1.7037,1.0746305,reptommacarthur
reptommarino,2.5538586,13.6308725,3.43167875,3.763189,6.33333,5.976935,0.9691425,17.1976868688,4.38653333333,reptommarino
reptomprice,4.08967758,14.81317,3.254568,9.7586,5.5599572,7.7495325,9.66511066,24.722238,15.817444,reptomprice
reptomreed,-0.0255774,,,,,,1.16667,,,reptomreed
reptomrice,-0.4596735,,1.78065,3.856081,1.0121425,2.11304,,,,reptomrice
reptrentfranks,1.665319872,,5.61036,12.6722,,0.909836,,10.7116,,reptrentfranks
reptrentkelly,1.0059425,3.22075733333,,0.801587,1.81356,1.2302728,0.94337762,0.841508666667,1.2363066,reptrentkelly
repveasey,-39.828754,-66.0017666667,-6.1606615,-27.9026125,-8.7248225,-36.4602,,-2.867425,,repveasey
repvisclosky,,,-1.561243,,-2.2056,-0.911504,,-1.15044,-1.49618,repvisclosky
repwalberg,-2.9660825,3.7697406,1.5688235,5.105665,1.023214,0.998398,2.05977433333,1.3263005,7.73990833333,repwalberg
repwalorski,7.504365,17.2559913333,9.2534015,13.3713143,1.45211,,0.989362,31.38983335,,repwalorski
repwalterjones,1.42218,6.6859635,3.12802,-0.024556,7.25424,9.27838,,,,repwalterjones
repwebster,,,,,2.80599,0.974138,0.989362,0.977778,1.33673,repwebster
repwesterman,9.13553666667,4.63154333333,2.06198,12.298038,2.03362,4.0244895,6.50009,6.54832166667,29.4081,repwesterman
repwestmoreland,1.4520978,9.113618,,0.929032,1.03478,1.552008,1.05825,,,repwestmoreland
repwilson,-58.5145325,-77.1195525,-64.2004066667,-29.1032115714,-10.0375325,-10.0213633333,-12.0911514286,-22.7359414286,-43.026312,repwilson
repzoelofgren,-47.4659,,-48.6747,-37.6736,,,,,,repzoelofgren
robert_aderholt,1.5081425,,2.45614,19.8266,,10.8463,,0.851852,,robert_aderholt
robwittman,4.34095,,2.064162255,,,,,3.75,,robwittman
rodneydavis,0.7000332,7.9422836,6.76859833333,7.326775,2.88131,2.08334,7.54379,3.378383,0.63718575,rodneydavis
ronwyden,-23.538565,-35.355218,-6.83471661,-21.209182,-0.846154,-8.48965,-2.25152376667,-2.514915,-10.1563925,ronwyden
rosadelauro,-55.30362,-118.86866,-65.83605,-41.263945,-32.9637,-70.5303666667,-36.0067666667,-49.3919,-53.181675,rosadelauro
roslehtinen,4.08279428571,0.611435285714,8.65844666667,9.70609714286,7.50430571429,10.4315967143,4.49527,8.90167142857,8.91204285714,roslehtinen
royblunt,1.293236196,10.6441475,-0.2518148,4.8087125,4.53898333333,6.6573332,6.308628,15.8166533333,13.99982,royblunt
samspressshop,,,1.275,,0.404196,,,,,samspressshop
sanfordbishop,-1.03457,0.231907,-1.02609,-49.9906,0.699301,,-0.944954,-4.69565,,sanfordbishop
sen_joemanchin,-0.918747628,-0.879457671429,-0.9258795,-1.07639,-0.657059566667,-1.01521666667,,-1.762815,-1.03158,sen_joemanchin
senalexander,1.2705745,0.3722016,2.37096,5.66333333333,0.961795,1.08696,5.26568033333,9.56680366667,3.9345525,senalexander
senatorbaldwin,-18.7845085714,-22.1632031429,-22.7523094286,-19.223713,-3.78498483333,-11.6297216667,-10.53511,-7.6054532,-8.67325,senatorbaldwin
senatorbarb,,-6.19353,,,,-0.911504,-0.865494,,-29.1756,senatorbarb
senatorboxer,,-6.36807,-61.5652,-24.810395,,-12.8731,-0.857143,,,senatorboxer
senatorburr,-4.09370675,20.18705,2.371015,5.21160333333,4.297805,5.63898025,4.36341225,2.06245,7.918155,senatorburr
senatorcantwell,-42.5723183333,-8.84589666667,-3.72993766667,-21.85432,-10.628532,-18.030278,-17.871626,-9.65519666667,-17.863474,senatorcantwell
senatorcardin,-8.692816,-4.9341826,-5.24167616667,-15.389205,-1.36532275,-8.17189833333,-9.316775,-5.43802285714,-9.632692,senatorcardin
senatorcarper,-38.9363833333,0.15367,-4.047725,-10.2278933333,-11.68786775,0.652402,-2.6037215,-1.83032,-2.4599655,senatorcarper
senatorcollins,,1.05226,1.380303,0.14090293,0.0,0.974138,0.863636,,1.13861,senatorcollins
senatordurbin,-29.6283928571,-29.3877883333,-3.2317105,-3.72352063333,-5.359328,-5.189545,-7.30508085714,-2.378870825,-6.442621,senatordurbin
senatorenzi,2.4914875,1.556405,2.42965333333,1.71432733333,1.983218,2.89788666667,4.5709515,1.5935,1.423668,senatorenzi
senatorfischer,3.75663316667,5.2602804,2.798815,3.001112,3.22024666667,,0.933992666667,4.40896124583,0.0788668333333,senatorfischer
senatorheitkamp,-8.98933257143,-18.08687,-0.90500025,-2.14021,-1.63064666667,-0.836949333333,-14.735149,-2.651522,-1.789495,senatorheitkamp
senatorisakson,4.10554333333,16.5180433333,2.06887,5.15622,2.5619832,5.99533,1.16667,1.7346705,,senatorisakson
senatorkirk,3.650122,2.9924,5.37932,3.88207778,2.53849166667,4.540435,2.69125183333,1.17521166667,2.1654476,senatorkirk
senatorlankford,0.40573,6.569222,4.71571333333,14.65216,6.4357075,4.05938666667,6.346202,15.318518,6.85167666667,senatorlankford
senatorleahy,-64.2940775,-48.1622,-28.468984,-17.7596716667,-14.4188474,-7.1208675,-16.0462475,-12.162636,-5.84250666667,senatorleahy
senatormenendez,-11.664095,-8.637506,-0.82984475,-19.8631466667,-1.79110333333,-16.889765,-13.5988375,-3.75403333333,-29.2327425,senatormenendez
senatorreid,-25.980025,,-2.0785,-25.2034633333,-2.20561,,,,-36.6565,senatorreid
senatorrisch,0.852349,1.9508175,2.5262015,,,1.08696,2.62413,5.7748075,1.33673,senatorrisch
senatorrounds,2.88976,-3.1945625,1.95747,0.58587,1.842355,4.51972,1.46385,1.40933366667,3.21113,senatorrounds
senatorshaheen,-26.9695901707,-15.7477271835,-2.19783,-2.15278,-3.06098,-2.29785205,-53.0742,,-3.8879284,senatorshaheen
senatortester,-1.047010256,-18.217557652,-2.512975,-1.66174175,-0.972498125,4.511645,-2.10671916667,-0.125,-2.42563,senatortester
senatortimscott,2.240078,11.9445136667,-0.298902,1.634652,11.6282694286,2.8522448,2.43056666667,1.5249344,0.731537333333,senatortimscott
senatortomudall,-44.00378,-16.1137,-4.39086,-2.1436854,-6.593246,-0.9936168,-1.2177235,-2.81667,-1.421002325,senatortomudall
senatorwicker,3.311616,4.62742433333,1.8654875,13.706856,3.2985025,0.54124621,2.58152,2.91501275,16.7057866667,senatorwicker
senbennetco,,,,,,,0.507937,,,senbennetco
senbillnelson,,,,-2.97313,,,,,,senbillnelson
senblumenthal,-34.8449766667,-11.6604057143,-3.908745,-3.71964916667,-3.71475666667,-14.69466,-2.09474166667,-9.4501,-3.99393514286,senblumenthal
senbobcasey,-19.9975066667,-4.65819,-1.2729415,-21.91895,-1.9442275,-3.82338666667,-12.6738597317,-7.01999,-36.6565,senbobcasey
senbobcorker,2.0968525,5.91175333333,2.7646356,4.465404,,1.81967,,1.74826,,senbobcorker
senbrianschatz,-40.88888,-29.666305,-16.0831175,-2.51363,-18.1556333333,-1.633146,-5.87877,-1.803175,-11.2287425,senbrianschatz
sencapito,6.745140904,1.93946142857,4.24871542857,1.931011468,2.2549311455,2.6684045,1.46312333333,9.88694333333,-3.701828,sencapito
sencoonsoffice,,,,,,,,,,sencoonsoffice
sencorygardner,5.0572666,1.988078,1.16126933333,3.10458333333,1.64564666667,,0.507937,0.8243,,sencorygardner
sendancoats,1.928316,1.221490825,,1.9417025,0.867233766667,3.387825,2.05875,1.81316266667,0.714777,sendancoats
sendansullivan,0.6128665,3.59063366667,2.00654866667,1.266101,0.508405,1.04167,2.96808,37.3192,0.989691,sendansullivan
sendavidperdue,2.50876557143,5.71711,1.75778698333,4.863886,2.47193275,2.5619565,4.612465,1.76948683333,6.074925,sendavidperdue
sendeanheller,2.96906333333,4.79915316667,4.14003833333,2.477304,3.061876,2.628315,4.8262825,11.48551466,11.3565296,sendeanheller
sendonnelly,-1.24402333333,0.460114571429,-1.84229,-6.1765076,-2.03095114286,-0.456892737143,-2.000039,-3.00304333333,-1.5825495,sendonnelly
senfeinstein,-22.06182,-39.3897,-7.2163675,-16.176455,-6.700642,-5.14094475,-19.0953303333,,-19.1840403333,senfeinstein
senfranken,0.17298,-29.1352833333,-1.06410914286,-20.468832,-6.640228,-22.4643975,-16.7294573333,-5.19713333333,-2.60836,senfranken
sengarypeters,-26.816004,-5.9575324,-4.8455865,-32.1779575,-2.2033912,-3.8836135,-0.905544,-4.06364666667,-1.167584,sengarypeters
sengillibrand,-3.49921833333,-9.24306,-6.73841333333,-15.6194283333,-7.45003166667,-21.6737973333,-18.842458,-7.48826833333,-21.0561157143,sengillibrand
senjackreed,-16.467005,-1.47561883333,-1.73504,-8.82790333333,-1.79233525,-2.513786,-18.7414833333,-3.11614666667,-6.627325,senjackreed
senjeffmerkley,-28.9754483333,-26.059088,-6.19488666667,-13.0808183333,-6.3761802,-15.2047316667,-12.2031033333,-5.573892,-16.338904,senjeffmerkley
senjohnbarrasso,4.94289375,6.8251275,7.0798,5.47271333333,10.3478,12.068,,10.64325525,0.9948455,senjohnbarrasso
senjohnhoeven,,2.333365,0.539624,0.45875265,2.450534,2.18540833333,3.027605,4.51297,2.63368,senjohnhoeven
senjohnmccain,9.477244,8.49740166667,9.703385,9.49681,8.694984,6.750135,5.5910564,12.636393,8.55804525,senjohnmccain
