,week1,week2,week3,week4,week5,week6,week7,week8,week9,handle
jimlangevin,-16.3493820133,-3.59220666667,-13.2171552,-5.4964875,-6.59871756967,-1.59227566667,-5.788165,-2.9118498,-5.991306,jimlangevin
jimpressoffice,,2.76,,0.929032,2.0,,,16.7317,0.969388,jimpressoffice
joaquincastrotx,-2.08127623333,-1.93879333333,-21.4889683333,-0.521664,,-1.542323,-1.0033145,-1.98907666667,-4.65094802,joaquincastrotx
johnboozman,-29.5425753333,5.69075285714,1.9521005,3.20051375,0.73545944925,5.76775,2.5584302,8.4702358,3.563882,johnboozman
johncarneyde,-40.971865,-7.26829,-10.9804,-0.66223,,,,,,johncarneyde
johncornyn,3.90583428571,4.05714533333,3.2353745,3.354876,3.0178075,5.6295476,4.949234,4.66647666667,2.0644865,johncornyn
judgecarter,2.2245066,1.81954971429,8.23511833333,10.3293764,4.1756875,0.831308,3.05815,10.051637,6.051328,judgecarter
judgetedpoe,3.56371333333,5.55474,0.974244,6.868245,,1.08696,,0.869231,,judgetedpoe
juliabrownley26,-37.2387496667,-3.03617635,-34.5098,-18.8531,-27.0769,6.0426,-0.388011,,-32.916,juliabrownley26
keithellison,-3.2186025,-7.811524,-6.1983425,-30.9232685,-2.25898666667,-3.08552,-2.0714698,-1.766465,-2.765605,keithellison
keithrothfus,9.639635,13.7347475,3.53999,3.6482224,0.171213,11.9565,7.134585,13.0385,7.8451,keithrothfus
kellyayotte,2.18392316667,7.71948994286,2.974461,4.745522,6.56189833333,3.11131685714,3.4922924,2.86748728571,5.33858571429,kellyayotte
kencalvert,,,,8.32141,1.81356,13.165,6.92553,23.2032,0.969388,kencalvert
lamarsmithtx21,3.5787308,13.5842841667,6.255488,5.975221,2.639942,5.96438,1.05825,7.83113666667,0.989691,lamarsmithtx21
lisamurkowski,2.20416,6.04440666667,1.9085,4.19160033333,1.28128,,1.36479,0.805326333333,-1.36815,lisamurkowski
lorettasanchez,-1.37524925,-4.5072466,-26.495005,-36.64735,-5.41892133333,-72.6684,-3.62521,,,lorettasanchez
louiseslaughter,-21.4431,-148.318,,-0.0115266,-11.18033,-0.911504,,-1.2551,-1.8226,louiseslaughter
luisgutierrez,,,,,,,,,,luisgutierrez
mactxpress,1.37997,1.0303,,,,,,,0.969388,mactxpress
mariodb,1.30864966667,1.029578,5.74535666667,3.8566017,4.339394,6.593705,4.584854,1.7518892,7.37116833333,mariodb
markamodeinv2,0.852349,3.3388575,,,0.90678,2.19418,1.17822,1.73846,1.13861,markamodeinv2
markwarner,-17.0736926,-39.4210775,-5.351112,-2.6731825,-1.63305,-16.3367333333,-11.78769,-3.8773175,-2.06316,markwarner
marshablackburn,1.26375,2.04484625,0.67664,3.27520125,1.04054,1.08696,1.09332566667,7.04360666667,1.85091333333,marshablackburn
martinheinrich,-8.33973666667,-2.215294,-3.81881466667,-1.69395758167,-2.592655,-2.05151333333,-1.9440575,-1.803175,-5.11094333333,martinheinrich
maxinewaters,,,,,,-0.935752,-2.10752,,,maxinewaters
maziehirono,-34.04503,-35.13,-0.905202,-17.2240933333,-4.48347,-4.800845,-8.50459,,,maziehirono
mccaskilloffice,-1.73087,-30.37182385,-8.9328975,-2.1084975,-0.586722,1.78935333333,-0.857143,-1.6571925,-0.748092,mccaskilloffice
mcconnellpress,3.7176605,10.4020533333,-1.1219825,6.52826666667,0.90678,1.4345595,1.89659,1.9581045,11.8763,mcconnellpress
michaelcburgess,3.17226385714,9.64109642857,3.910375,6.42401833333,4.90961666667,2.539408,5.619437175,3.67269833333,46.31925,michaelcburgess
mikecrapo,-2.9669216,7.06991142857,2.2891315,2.91163,1.81356,3.97712,2.62896066667,0.977778,2.00900333333,mikecrapo
mikekellypa,2.2778418,4.42623,14.582,14.4032666667,5.495695,4.17208333333,2.39391666667,25.0222333333,2.90816,mikekellypa
nancypelosi,-46.9754528333,-91.8447825,-30.7531971429,-59.847376,-19.4953531429,-52.534182,-29.355015,-47.384625,-45.23014,nancypelosi
nikiinthehouse,-24.9465433333,-46.6363594286,-10.197218,-23.8088,-10.6228961667,-21.8090693333,-13.60940675,-1.822025,-18.7013216667,nikiinthehouse
